%1$d already matched	%1$d ya coincidían
%1$d areas were checked and everything they need is here.	Se comprobaron %1$d áreas y está todo lo que necesitan.
%1$d fields overridden	%1$d campos sobrescritos
%1$d fields will be overridden when requested	%1$d campos se sobrescribirán cuando se soliciten
%1$d gates selected	%1$d interruptores seleccionados
%1$d minutes left	Quedan %1$d minutos
%1$d rejected	%1$d rechazados
%1$d results	%1$d resultados
%1$d results so far	%1$d resultados hasta ahora
%1$d results so far, and more not counted	%1$d resultados hasta ahora, y más sin contar
%1$d results, filtered to %2$s	%1$d resultados, filtrados por %2$s
%1$d setting was not in that file and was left as it is	%1$d ajuste no estaba en ese archivo y se dejó como estaba
%1$d settings were not in that file and were left as they are	%1$d ajustes no estaban en ese archivo y se dejaron como estaban
%1$d unavailable	%1$d no disponibles
%1$s (%2$s)	%1$s (%2$s)
%1$s (TikTok value)	%1$s (valor de TikTok)
%1$s (custom, unverified)	%1$s (personalizado, sin verificar)
%1$s (override returned)	%1$s (se devolvió la sobrescritura)
%1$s (will be returned when requested)	%1$s (se devolverá cuando se solicite)
%1$s / current cache only	%1$s / solo caché actual
%1$s / generated registry	%1$s / registro generado
%1$s / generated registry and current cache	%1$s / registro generado y caché actual
%1$s / local catalog	%1$s / catálogo local
%1$s and above	%1$s y superior
%1$s appears more than once in this file.	%1$s aparece más de una vez en este archivo.
%1$s changed	%1$s cambiados
%1$s is already hidden	%1$s ya está oculto
%1$s destinations must start with %2$s	Los destinos de %1$s deben empezar por %2$s
%1$s has an invalid value. %2$s	%1$s tiene un valor no válido. %2$s
%1$s is a kind of value the Lab cannot override.	%1$s es un tipo de valor que el Lab no puede sustituir.
%1$s has type %2$s, but the file says %3$s.	%1$s tiene el tipo %2$s, pero el archivo indica %3$s.
%1$s is not a country code, so no video would ever match it. Use two letters, like GB, IE or US.	%1$s no es un código de país, así que ningún vídeo coincidiría nunca. Usa dos letras, como GB, IE o US.
%1$s is not in this Lab catalog.	%1$s no está en este catálogo del Lab.
%1$s isn't installed or doesn't take links	%1$s no está instalado o no acepta enlaces
%1$s left	Queda %1$s
%1$s min left	Quedan %1$s min
%1$s to %2$s	De %1$s a %2$s
%1$s videos left	Quedan %1$s videos
%1$s was rejected. %2$s	%1$s fue rechazado. %2$s
%1$s, %2$s, %3$s, %4$s, %5$s	%1$s, %2$s, %3$s, %4$s, %5$s
%1$s, selected	%1$s, seleccionado
%1$s. %2$s	%1$s. %2$s
%1$s: %2$d found, %3$d missing	%1$s: %2$d encontrados, %3$d faltan
%1$s: %2$d found, %3$d missing, and more it stopped counting	%1$s: %2$d encontrados, %3$d faltan, y más que dejó de contar
%1$s: %2$d found, %3$d missing, and more it stopped counting. First missing: %4$s	%1$s: %2$d encontrados, %3$d faltan, y más que dejó de contar. El primero que faltó: %4$s
%1$s: %2$d found, %3$d missing. First missing: %4$s	%1$s: %2$d encontrados, %3$d faltan. El primero que faltó: %4$s
%1$s: %2$s	%1$s: %2$s
1 field overridden	1 campo sobrescrito
Filter the list	Filtrar la lista
Filter: %1$s	Filtro: %1$s
Filters, translation and copy options	Filtros, traducción y opciones de copia
Find a setting by name or description	Busca un ajuste por nombre o descripción
First caller	Primera llamada
First rejection:	Primer rechazo:
Fit the video to the screen	Ajustar el vídeo a la pantalla
Focus	Enfoque
Follow probe	Comprobación de seguir
Following	Siguiendo
For You	Para ti
For com.deniscerri.ytdl only. Ask YTDLnis for audio or video when the save button hands it a link.	Solo para com.deniscerri.ytdl. Pedir a YTDLnis audio o vídeo cuando el botón de guardar le pasa un enlace.
For com.deniscerri.ytdl only. Hide its download card and start the handoff in the background.	Solo para com.deniscerri.ytdl. Ocultar su tarjeta de descarga y empezar el traspaso en segundo plano.
Forced %1$d gates of %2$d. The rest do not take a true or false value. Restart TikTok to apply this.	%1$d interruptores de %2$d forzados. Los demás no aceptan un valor true o false. Reinicia TikTok para aplicar esto.
Forced %1$d gates. Restart TikTok to apply this.	%1$d interruptores forzados. Reinicia TikTok para aplicar esto.
Forced 1 gate of %2$d. The rest do not take a true or false value. Restart TikTok to apply this.	1 interruptor de %2$d forzado. Los demás no aceptan un valor true o false. Reinicia TikTok para aplicar esto.
Forced 1 gate. Restart TikTok to apply this.	1 interruptor forzado. Reinicia TikTok para aplicar esto.
Forced result	Resultado forzado
Forget seen videos after	Olvidar los vídeos vistos después de
Forget the %1$s seen videos.	Olvidar los %1$s vídeos vistos.
Forget what has been counted today and end any hold. The budgets themselves are left alone.	Olvidar lo que se ha contado hoy y terminar cualquier pausa. Los presupuestos en sí se quedan como están.
Friends	Amigos
Full comment sort options	Opciones completas de orden de los comentarios
Full license	Licencia completa
Full report saved to %1$s	Informe completo guardado en %1$s
GIF	GIF
Gate data unavailable	Datos de los interruptores no disponibles
Gate details	Detalles del interruptor
Generated defaults	Valores predeterminados generados
Gestures	Gestos
Ghost mode	Modo fantasma
Hand-off	Traspaso
Handle or id	Nombre de usuario o id
Hidden %1$s on this phone	%1$s se ocultó en este dispositivo
Hidden commenters	Comentaristas ocultos
Blocked and hidden creators	Creadores bloqueados y ocultos
Hidden: %1$s	Ocultos: %1$s
Hide	Ocultar
Hide AI-generated videos	Ocultar los vídeos generados por IA
Hide CAPTCHA popups	Ocultar las ventanas de CAPTCHA
Hide LIVE replays	Ocultar las repeticiones de LIVE
Hide LIVE videos	Ocultar los vídeos LIVE
Hide Series	Ocultar Series
Hide the Tako bubble	Ocultar la burbuja de Tako
Hide TikTok Shop	Ocultar TikTok Shop
Hide TikTok Shop posts from the feed.	Ocultar las publicaciones de TikTok Shop en el feed.
Shop order updates and coupon messages no longer take up rows in the Inbox. Your orders are unchanged.	Las novedades de pedidos y los mensajes de cupones de la tienda ya no ocupan filas en la bandeja de entrada. Tus pedidos no cambian.
Hide the Tako chat	Ocultar el chat de Tako
Hide the quick emoji row and automatic sticker suggestions that appear while you type. The emoji and sticker buttons still work.	Oculta la fila de emojis rápidos y las sugerencias automáticas de stickers que aparecen mientras escribes. Los botones de emojis y stickers siguen funcionando.
Hide activity	Ocultar la actividad
Hide activity status	Ocultar el estado de actividad
Hide archive	Ocultar el archivo
Hide bottom tabs TikTok adds later unless you allow them.	Ocultar las pestañas inferiores que TikTok añada más adelante salvo que las permitas.
Hide the CAPTCHA dialogs raised while you browse or watch LIVE. Login, account verification and any CAPTCHA raised over a follow, like, comment or repost stay visible.	Ocultar los CAPTCHA que salen mientras navegas o ves un LIVE. Los de inicio de sesión, los de verificación de cuenta y cualquiera que salga al seguir, dar me gusta, comentar o repostear siguen visibles.
Hide buttons in the right column	Ocultar botones de la columna derecha
Hide comment polls	Ocultar las encuestas en los comentarios
Hide comment popup ads	Ocultar los anuncios emergentes de los comentarios
Hide comments made of an image or a sticker instead of words.	Ocultar los comentarios hechos con una imagen o un sticker en vez de con palabras.
Hide comments that contain any of the words below, or that come from the accounts below.	Ocultar los comentarios que contengan cualquiera de las palabras de abajo, o que vengan de las cuentas de abajo.
Hide controls after each video starts. Tap to restore them.	Ocultar los controles después de que empiece cada vído. Toca para recuperarlos.
Hide conversations	Ocultar las conversaciones
Hide every direct message conversation. Leaves the Inbox empty apart from whatever else is still turned on.	Ocultar todas las conversaciones de mensajes directos. Deja la bandeja vacía salvo por lo que sigas teniendo activado.
Hide the save button on the feed	Ocultar el botón de guardar del feed
Hide the search button on the feed	Ocultar el botón de buscar del feed
Hide floating promotion badges, coins, and timer banners on the feed.	Ocultar las insignias promocionales flotantes, las monedas y los banners con cuenta atrás de la página de inicio.
Hide floating promotions	Ocultar las promociones flotantes
Hide inserted cards	Ocultar las tarjetas insertadas
Hide message requests	Ocultar las solicitudes de mensaje
Hide message streaks	Ocultar las rachas de mensajes
Hide new follower notifications	Ocultar las notificaciones de nuevos seguidores
Hide new followers	Ocultar los nuevos seguidores
Hide paid partnerships	Ocultar las colaboraciones pagadas
Hide people and options by name	Ocultar personas y opciones por nombre
Hide photo posts	Ocultar las publicaciones de fotos
Hide picture comments	Ocultar los comentarios con imagen
Hide playlist videos	Ocultar los vídeos de listas de reproducción
Hide promotional music	Ocultar la música promocional
Hide comment typing suggestions	Ocultar sugerencias al escribir comentarios
Hide rows by title	Ocultar filas por título
Hide the Inbox search button	Ocultar el botón de búsqueda de la bandeja de entrada
Hide suggestions on the search page	Ocultar sugerencias en la página de búsqueda
Hide sharing apps	Ocultar las apps para compartir
Hide stories tray	Ocultar la bandeja de historias
Hide stories	Ocultar las historias
The accounts TikTok suggests you follow no longer take up rows in the Inbox.	Las cuentas que TikTok te sugiere seguir ya no ocupan filas en la bandeja de entrada.
Hide suggested accounts	Ocultar las cuentas sugeridas
Hide surveys	Ocultar las encuestas
Hide tabs TikTok adds later unless you allow them.	Ocultar las pestañas que TikTok añada más adelante salvo que las permitas.
Hide the "Search this image" prompt shown over videos. The feed search button and suggestions above comments are separate settings.	Oculta el aviso «Buscar esta imagen» que aparece sobre los videos. El botón de búsqueda del feed y las sugerencias sobre los comentarios tienen ajustes independientes.
The Activity row of likes and comments on your posts leaves the Inbox. Notifications about them still arrive.	La fila Actividad, con los me gusta y comentarios en tus publicaciones, desaparece de la bandeja de entrada. Las notificaciones sobre ellos siguen llegando.
The Archive row leaves the Inbox. Archived chats are kept.	La fila Archivo desaparece de la bandeja de entrada. Los chats archivados se conservan.
Hide the LIVE button	Ocultar el botón de LIVE
Hide the LIVE button in the top left corner of the feed.	Ocultar el botón de LIVE en la esquina superior izquierda del feed.
Hide LIVE videos from the feed.	Ocultar vídeos LIVE del feed.
The Message requests row leaves the Inbox. Requests keep arriving and wait there until you turn this off.	La fila Solicitudes de mensaje desaparece de la bandeja de entrada. Las solicitudes siguen llegando y esperan ahí hasta que desactives esto.
The New followers row leaves the top of the Inbox. The accounts still follow you.	La fila Nuevos seguidores desaparece de la parte superior de la bandeja de entrada. Las cuentas te siguen igual.
Hide the Send to row	Ocultar la fila Enviar a
Hide the Tako AI bubble above the profile button, the Ask bar under videos, the Ask Tako button on the search page, the Ask Tako tab on search results and the Tako bar above comments.	Ocultar la burbuja de Tako AI encima del botón de perfil, la barra de Tako debajo de los videos, el botón Preguntar a Tako en la página de búsqueda, la pestaña Preguntar a Tako en los resultados de búsqueda y la barra de Tako encima de los comentarios.
The Tako assistant's conversation leaves the Inbox list. The Tako bubble on the feed has its own switch under Feed tabs.	La conversación con el asistente Tako desaparece de la lista de la bandeja de entrada. La burbuja de Tako en el feed tiene su propio interruptor en Pestañas del feed.
The activity status control leaves the Inbox header. Whether others see you as active is unchanged.	El control del estado de actividad desaparece de la cabecera de la bandeja de entrada. Que otros te vean activo no cambia.
Hide the add people icon	Ocultar el icono de añadir personas
The add people icon leaves the Inbox header. Only the shortcut goes, so friend suggestions elsewhere are unchanged.	El icono de añadir personas desaparece de la cabecera de la bandeja de entrada. Solo se va el acceso directo, las sugerencias de amigos en otros sitios no cambian.
Hide the caption	Ocultar la descripción
Hide the description under the creator's name on the feed.	Ocultar la descripción bajo el nombre del creador en el feed.
Hide the event badge	Ocultar la insignia de evento
Hide the floating promotional badge over the feed.	Ocultar la insignia promocional flotante sobre el feed.
Hide the follow button on the feed	Ocultar el botón de seguir del feed
Hide the friend recommendation card and the other cards TikTok slots between videos.	Ocultar la tarjeta de amigos recomendados y las demás tarjetas que TikTok mete entre vídeos.
Hide the launcher shortcuts	Ocultar los accesos directos del lanzador
Hide the music line	Ocultar la línea de música
Hide photo posts from the feed.	Ocultar publicaciones de fotos del feed.
Hide the playlist bar	Ocultar la barra de la lista de reproducción
Hide the playlist bar along the bottom of videos that belong to a series.	Ocultar la barra de la lista de reproducción en la parte de abajo de los vídeos que pertenecen a una serie.
Hide the plus button under the creator's picture in the right column. Ticking Avatar and follow button above hides the picture with it.	Oculta el botón más bajo la foto del creador en la columna derecha. Si marcas Avatar y botón de seguir arriba, la foto desaparece también.
Hide the purple rewards button beside Add friends on your profile.	Oculta el botón morado de recompensas junto a Añadir amigos en tu perfil.
Hide the question cards TikTok slides over a video near its end.	Ocultar las tarjetas con preguntas que TikTok desliza sobre un vídeo cerca del final.
Hide the rewards shortcut	Ocultar el acceso a recompensas
Hide the right column	Ocultar la columna derecha
The row of story avatars across the top of the Inbox goes. Stories still play from the feed and from profiles.	La fila de fotos de historias de la parte de arriba de la bandeja de entrada desaparece. Las historias se siguen viendo en el feed y en los perfiles.
Hide the save button in the right column. Ticking Save in the list above hides it too.	Ocultar el botón de guardar de la columna derecha. Marcar Guardar en la lista de arriba también lo oculta.
Hide the magnifying glass at the top right of the feed. Search in Inbox and suggestions above comments stay unchanged.	Oculta la lupa de la esquina superior derecha del feed. La búsqueda en la bandeja de entrada y las sugerencias sobre los comentarios no cambian.
Hide the magnifying glass at the top of Inbox. Search on the feed and in comments is unchanged.	Ocultar la lupa de la parte superior de la bandeja de entrada. La búsqueda en el feed y en los comentarios no cambia.
Hide recommended searches before you type on TikTok's search page. Your search history stays. This doesn't hide suggestions above comments.	Oculta las búsquedas recomendadas antes de escribir en la página de búsqueda de TikTok. Tu historial de búsqueda se conserva. No oculta las sugerencias sobre los comentarios.
Hide the share prompt after a like	Ocultar la sugerencia de compartir tras un me gusta
Hide the spinning music cover and the track name beside the caption.	Ocultar la portada giratoria de la música y el nombre de la pista junto a la descripción.
Hide the status bar	Ocultar la barra de estado
Hide stories from the feed.	Ocultar historias del feed.
Hide the whole column on the right, from the avatar down to the music disc.	Ocultar toda la columna derecha, desde la foto hasta el disco de música.
Hide this creator on this phone	Ocultar a este creador en este dispositivo
Hide verified accounts	Ocultar las cuentas verificadas
Hide video actions	Ocultar las acciones del vídeo
Hide videos carrying TikTok's AI-generated label.	Ocultar los vídeos con la etiqueta de contenido generado por IA de TikTok.
Hide videos marked as paid partnership or branded content.	Ocultar los vídeos marcados como colaboración pagada o contenido de marca.
Hide videos posted as part of a playlist.	Ocultar los vídeos publicados dentro de una lista de reproducción.
Hide videos posted by verified accounts.	Ocultar los vídeos publicados por cuentas verificadas.
Hide videos that belong to a paid Series.	Ocultar los vídeos que pertenecen a una Serie de pago.
Hide videos with a lot of views and few comments. Works the same way as views per like. Zero turns it off.	Oculta los vídeos con muchas visualizaciones y pocos comentarios. Funciona igual que las visualizaciones por me gusta. Cero lo desactiva.
Hide videos with a lot of views and few likes. Lower numbers are stricter, zero turns the rule off, and one video is kept back if everything the feed just sent would go.	Ocultar los vídeos con muchas visualizaciones y pocos me gusta. Los números más bajos son más estrictos, cero desactiva la regla, y se deja un vídeo si se fuera a ir todo lo que el feed acaba de enviar.
Hide videos you have already seen	Ocultar los vídeos que ya has visto
Hide Search this image prompts	Ocultar avisos de Buscar esta imagen
Hiding	Ocultar
Highest	La más alta
Historical	Histórico
Historical values	Valores históricos
Hold a gate to choose several	Mantén pulsado un gate para elegir varios
Hold the feed after the budget	Pausar el feed después del presupuesto
Home	Inicio
Hook status	Comprobación de funciones
How far each edge press moves the video.	Cuánto avanza el vídeo con cada toque en el borde.
Hushfeed cannot read the creator pattern %1$s	Hushfeed no puede leer el patrón de creador %1$s
Hushfeed hid a TikTok CAPTCHA. Turn off Hide CAPTCHA popups if something stops working.	Hushfeed ocultó un CAPTCHA de TikTok. Desactiva Ocultar las ventanas de CAPTCHA si algo deja de funcionar.
Hushfeed is active	Hushfeed está activo
Ignore the creator's choice so the Duet and Stitch entries appear. Everything else the app checks still applies, and whether the upload is accepted is the server's decision.	Ignorar la decisión del creador para que aparezcan las entradas de Dúo y Unir. Todo lo demás que comprueba la app sigue aplicándose, y que se acepte la subida lo decide el servidor.
Import finished	Importación finalizada
Import loaded values	Importar los valores cargados
Imported %1$d values	%1$d valores importados
Imported %1$d values. Undo last Lab change is in the menu.	%1$d valores importados. Deshacer el último cambio del Lab está en el menú.
Inbox	Bandeja de entrada
Include diagnostic events	Incluir eventos de diagnóstico
Included diagnostics	Diagnóstico incluido
Includes all diagnostic events.	Incluye todos los eventos de diagnóstico.
Includes these events: %1$s	Incluye estos eventos: %1$s
Inserted cards	Tarjetas insertadas
Keep a local record of what you have watched and hide those videos when the feed sends them again.	Guardar en el dispositivo un registro de lo que has visto y ocultar esos vídeos cuando el feed los vuelva a enviar.
Move to the next video when the current one ends. Pauses, open dialogs and screen-time holds stop it. Restart TikTok after changing this.	Pasa al siguiente vídeo cuando termine el actual. Las pausas, los diálogos abiertos y los bloqueos de tiempo de pantalla lo detienen. Reinicia TikTok después de cambiar este ajuste.
Keep captions in clear display	Mantener los subtítulos con los controles ocultos
Keep going	Seguir
Keep the Favorites tab	Mantener la pestaña Favoritos
Keep the clock and status icons off the screen while TikTok is open. Swipe down from the top to peek at them.	Mantener el reloj y los iconos de estado fuera de la pantalla mientras TikTok está abierto. Desliza desde arriba para verlos.
Keep the screen's refresh rate	Mantener la tasa de refresco de la pantalla
Keep the speed you chose for the next video. Off, each new video starts at 1x and a manual choice lasts for that video only.	Mantiene la velocidad elegida para el siguiente video. Desactivado, cada video nuevo empieza a 1x y una elección manual dura solo ese video.
Keep this string to %1$s characters or fewer.	Mantén esta cadena en %1$s caracteres o menos.
Keep this structured value to %1$s KB or less.	Limita este valor estructurado a %1$s KB o menos.
Kept to %1$s, the nearest value this row allows	Ajustado a %1$s, el valor más cercano que permite esta fila
Kinds of post	Tipos de publicación
LIVE	LIVE
LIVE replays	Repeticiones de LIVE
LIVE settings	Ajustes de Live
LIVE share actions	Acciones de compartir de LIVE
LIVE videos	Vídeos LIVE
Lab data reset. Undo last Lab change is in the menu. Restart TikTok to apply this.	Datos del Lab restablecidos. Deshacer el último cambio del Lab está en el menú. Reinicia TikTok para que se aplique.
Lab data was over its rule limit, so it was cleared without an undo copy. Restart TikTok to apply this.	Los datos del Lab superaban el límite de reglas, así que se borraron sin una copia para deshacer. Reinicia TikTok para que se aplique.
Lab overrides reset. Undo last Lab change is in the menu. Restart TikTok to apply this.	Sustituciones del Lab restablecidas. Deshacer el último cambio del Lab está en el menú. Reinicia TikTok para que se aplique.
Larger (1.25x)	Más grande (1,25x)
Last original value	Último valor original
Last recording: %1$d gates.	Última grabación: %1$d interruptores.
Last recording: 1 gate.	Última grabación: 1 interruptor.
Layout	Diseño
Layout, player, search and system	Diseño, reproductor, búsqueda y sistema
Leave maximum empty to keep it unlimited.	Deja el máximo vacío para que no tenga límite.
Leave the sound out of the saved video. Save the sound as well still writes the .m4a beside it if you want both.	Dejar el sonido fuera del vídeo guardado. Guardar también el sonido sigue escribiendo el .m4a al lado si quieres los dos.
Length and views per like	Duración y visualizaciones por me gusta
Less than a minute left	Queda menos de un minuto
Let screenshots, screen recording and Circle to Search work on TikTok again. Restart TikTok to apply this.	Dejar que las capturas de pantalla, la grabación de pantalla y Círculo para buscar vuelvan a funcionar en TikTok. Reinicia TikTok para que se aplique.
Let the Offline videos menu use your own limit instead of TikTok's fixed one. Restart TikTok to apply this.	Dejar que el menú de Vídeos sin conexión use tu propio límite en vez del fijo de TikTok. Reinicia TikTok para que se aplique.
Licenses	Licencias
Like	Me gusta
Limits	Límites
Link copied	Enlace copiado
Links	Enlaces
Links in comments open	Los enlaces de los comentarios se abren
Loaded current values. Loading all known gates...	Valores actuales cargados. Cargando todos los interruptores conocidos...
Loaded values are still being read. Try again in a moment.	Los valores cargados aún se están leyendo. Inténtalo de nuevo en un momento.
Loaded-value file export failed	Ha fallado la exportación de los valores cargados
Loading gates...	Cargando los interruptores...
Loading local catalog and current TikTok cache...	Cargando el catálogo local y la caché actual de TikTok...
Creators hidden on this phone	Creadores ocultos en este dispositivo
Lock today's budget	Bloquear el presupuesto de hoy
Logging, hook status and reports	Registros, estado de los hooks e informes
Long press	Pulsación larga
Lowest	La más baja
Make TikTok yours.	Haz que TikTok sea tuyo.
Manager	Gestor
Marked as not interested	Marcado como no me interesa
Match locale and timezone to country	Ajustar el idioma y la zona horaria al país
Maximum	Máximo
Maximum post age	Antigüedad máxima de la publicación
Maximum video length	Duración máxima del vídeo
Maximum views per comment	Máximo de visualizaciones por comentario
Maximum views per like	Visualizaciones máximas por me gusta
Media	Contenido
Media config (VE)	Configuración de medios (VE)
Messages, profiles and search still work.	Los mensajes, los perfiles y la búsqueda siguen funcionando.
Microphone in use	Micrófono en uso
Comments range	Rango de comentarios
Favorites range	Rango de favoritos
Likes range	Rango de me gusta
Shares range	Rango de veces compartido
Views range	Rango de visualizaciones
Minimum	Mínimo
More options	Más opciones
Move down	Mover hacia abajo
Move left	Mover hacia la izquierda
Move right	Mover hacia la derecha
Move up	Mover hacia arriba
Music disc	Disco de música
Pauses the video behind the comment sheet while you read. It plays on from the same spot when the sheet closes.	Pausa el video detrás de los comentarios mientras lees. Sigue desde el mismo punto cuando se cierran.
Nearby	Cerca de ti
Never from these countries	Nunca desde estos países
No	No
No creator to block on this video	No hay creador para bloquear en este video
No creator to hide on this video	No hay creador para ocultar en este video
No creators are hidden yet. Hide one from a video, or add a handle above.	Todavia no hay creadores ocultos. Oculta uno desde un video o agrega un nombre arriba.
No current value	Sin valor actual
No current value and no active override	No hay ningún valor actual ni una sobrescritura activa
No delay	Sin retraso
No gate data is available. Refresh values from the menu to try again.	No hay datos de los interruptores. Actualiza los valores desde el menú para intentarlo otra vez.
No gate reads were recorded. Use a TikTok feature while recording.	No se registró ninguna lectura de interruptores. Usa una función de TikTok mientras grabas.
No gates match this filter.	Ningún interruptor coincide con este filtro.
No gates match this search and filter.	Ningún interruptor coincide con esta búsqueda y este filtro.
No hidden creators match this search. Clear the search to see them all.	Ningun creador oculto coincide con esta busqueda. Borra la busqueda para verlos todos.
No limit	Sin límite
No matching comments. Try a different word, or clear the search with the X in the box.	No hay comentarios que coincidan. Prueba otra palabra o borra la búsqueda con la X del campo.
No matching countries. Try a country name or a two-letter code.	No hay paises coincidentes. Prueba un nombre de pais o un codigo de dos letras.
No matching diagnostics found	No se encontraron diagnósticos que coincidan
No matching settings	Ningún ajuste coincide
No preset selected. Choose a preset above.	No hay preset seleccionado. Elige un preset arriba.
No recording yet. Start one, use a feature, then return here.	Todavía no hay ninguna grabación. Inicia una, usa una función y vuelve aquí.
No seen videos recorded yet.	Todavía no hay vídeos vistos registrados.
No share actions have been seen yet	Todavía no se ha visto ninguna acción de compartir
No share actions match this search	Ninguna acción de compartir coincide con esta búsqueda
No sound to block on this video	No hay ningún sonido que bloquear en este vídeo
No suggested accounts to clear	No hay cuentas sugeridas que borrar
No video selected. Open a video first.	No hay video seleccionado. Abre un video primero.
None of these gates had an override to reset.	Ninguno de estos interruptores tenía una sustitución que restablecer.
None of these gates takes a true or false value.	Ninguno de estos interruptores acepta un valor true o false.
None recorded	Nada registrado
Normal	Normal
Not blocked	Sin bloquear
Not interested in this video	No me interesa este vídeo
Not read yet	Aún sin leer
Not requested in this process yet	Aún no se ha pedido en este proceso
Not saved yet	Sin guardar todavía
Not seen	No vistos
Not seen yet	Aún no visto
Nothing has been checked yet, so there is nothing to report.	Todavía no se ha comprobado nada, así que no hay nada que contar.
Nothing has been looked up yet. Use the app for a moment, then come back.	Todavía no se ha buscado nada. Usa la app un momento y vuelve.
Nothing hidden.	Nada oculto.
Nothing is playing to seek	No hay nada reproduciéndose que avanzar
Nothing new was imported. %1$d already matched, %2$d unavailable, %3$d rejected.	No se importó nada nuevo. %1$d ya coincidían, %2$d no están disponibles, %3$d se rechazaron.
Nothing new was imported. %1$d already matched, %2$d unavailable, %3$d rejected. First rejection: %4$s	No se importó nada nuevo. %1$d ya coincidían, %2$d no estaban disponibles y %3$d fueron rechazados. Primer rechazo: %4$s
Nothing on this page changes what TikTok does until they are on.	Nada de esta página cambia lo que hace TikTok mientras estén desactivadas.
Nothing to undo yet.	Todavía no hay nada que deshacer.
Notices from this project and the ones it is built on	Avisos de este proyecto y de aquellos en los que se basa
OK	OK
Off	Desactivado
Off forces false, on forces true. Reset hands the choice back to TikTok.	Apagado fuerza false y encendido fuerza true. Restablecer le devuelve la decisión a TikTok.
Offline videos	Vídeos sin conexión
Offline videos limit	Límite de vídeos sin conexión
Older overrides were kept disabled. Review their values before enabling them on TikTok %1$s.	Las sustituciones anteriores se han dejado desactivadas. Revisa sus valores antes de activarlas en TikTok %1$s.
On mobile data	Con datos móviles
Once today's budget runs out, the hold stays and cannot be dismissed. The budget settings are locked until the day starts over. Turn this off any time before the budget runs out.	Una vez que se agote el presupuesto de hoy, la pausa se queda y no se puede cerrar. Los ajustes de presupuesto se bloquean hasta que comience el nuevo día. Desactiva esto en cualquier momento antes de que se agote.
One area was checked and everything it needs is here.	Se comprobó un área y está todo lo que necesita.
One minute left	Queda un minuto
One of the quote marks in that list has nothing to close it, so the rest of the line reads as one phrase. Add the missing quote or take the stray one out.	Una de las comillas de esa lista no tiene con qué cerrarse, así que el resto de la línea se lee como una sola frase. Añade la comilla que falta o quita la que sobra.
One value per line	Un valor por línea
Only bottom tabs TikTok has loaded on this device are shown here. This does not force unavailable tabs to appear.	Aquí solo están las pestañas inferiores que TikTok ha cargado en este dispositivo. Esto no hace aparecer las que no están disponibles.
Turn this on while you record logs for a bug report, then turn it off again. While it is on, TikTok can feel slower and may crash.	Actívalo mientras grabas registros para informar de un problema y luego vuelve a apagarlo. Mientras esté activado, TikTok puede ir más lento y fallar.
Only fields the Lab can check and copy safely are shown.	Solo se muestran los campos que el Lab puede comprobar y copiar con seguridad.
Only from these countries	Solo desde estos países
Only tabs TikTok has loaded on this device are shown here. This does not force unavailable tabs to appear.	Aquí solo están las pestañas que TikTok ha cargado en este dispositivo. Esto no hace aparecer las que no están disponibles.
Open a share sheet once, then return here to choose its actions.	Abre una vez el panel de compartir y vuelve aquí para elegir sus acciones.
Open comments	Abrir los comentarios
Open external links directly	Abrir los enlaces externos directamente
Open messages	Abrir los mensajes
Open profile and story website links in your system browser instead of TikTok's in-app browser.	Abrir los enlaces web de perfiles e historias en tu navegador del sistema en vez de en el navegador interno de TikTok.
Open the feed anyway	Abrir el feed de todas formas
Open the feed anyway, %1$d left today	Abrir el feed de todas formas, quedan %1$d hoy
Open the feed anyway, the last time today	Abrir el feed de todas formas, por última vez hoy
Open the feed once so Hushfeed can see which bottom tabs TikTok loaded.	Abre el inicio de TikTok para detectar las pestañas inferiores cargadas.
Open the feed once so Hushfeed can see which tabs TikTok loaded.	Abre el feed de inicio de TikTok para detectar las pestañas cargadas.
Open the profile again and try once more	Abre el perfil otra vez e inténtalo de nuevo
Open the story again and try once more	Abre la historia otra vez e inténtalo de nuevo
Opens github.com in your browser	Abre github.com en tu navegador
Operator code	Código del operador
Operator name	Nombre del operador
Original language	Idioma original
Other	Otros
Other feed filters	Otros filtros del feed
Overridden	Sustituidos
Override	Sustitución
Override SIM details	Sustituir los datos de la SIM
Override set, not read yet	Sustitución fijada, aún sin leer
Override store region (experimental)	Sustituir la región de la tienda (experimental)
Override this configuration	Sustituir esta configuración
Override this gate	Sustituir este interruptor
Overrides are disabled in the Feature Gate Lab.	Las sustituciones están desactivadas en el Laboratorio de interruptores.
Overrides disabled. Restart TikTok to apply this.	Sustituciones desactivadas. Reinicia TikTok para que se aplique.
Overrides enabled. Restart TikTok to apply this.	Sustituciones activadas. Reinicia TikTok para que se aplique.
Paid partnerships	Colaboraciones pagadas
People, shortcuts and sending controls	Personas, atajos y controles de envío
Photo	Foto
Photo and image posts	Publicaciones de fotos e imágenes
Photo destination	Destino de las fotos
Photo filename	Nombre de archivo de la foto
Photos and stickers	Fotos y stickers
Pick the buttons to take off the column. The rest stay where they are.	Elige los botones que quieres quitar de la columna. El resto se queda donde está.
Play videos TikTok has classified without the overlay asking to be tapped through first.	Reproducir los vídeos que TikTok ha clasificado sin la capa que pide tocar para pasar.
Playback	Reproducción
Player	Reproductor
Player config	Configuración del reproductor
Playlist posts	Publicaciones de listas de reproducción
Popular	Popular
Popups	Ventanas emergentes
