%1$d already matched	%1$d já coincidiam
%1$d areas were checked and everything they need is here.	%1$d áreas foram verificadas e tudo de que precisam está aqui.
%1$d fields overridden	%1$d campos substituídos
%1$d fields will be overridden when requested	%1$d campos serão substituídos quando solicitados
%1$d gates selected	%1$d gates selecionados
%1$d minutes left	Restam %1$d minutos
%1$d rejected	%1$d rejeitados
%1$d results	%1$d resultados
%1$d results so far	%1$d resultados até agora
%1$d results so far, and more not counted	%1$d resultados até agora, e mais não contados
%1$d results, filtered to %2$s	%1$d resultados, filtrados por %2$s
%1$d setting was not in that file and was left as it is	%1$d configuração não estava nesse arquivo e ficou como estava
%1$d settings were not in that file and were left as they are	%1$d configurações não estavam nesse arquivo e ficaram como estavam
%1$d unavailable	%1$d indisponíveis
%1$s (%2$s)	%1$s (%2$s)
%1$s (TikTok value)	%1$s (valor do TikTok)
%1$s (custom, unverified)	%1$s (personalizado, não verificado)
%1$s (override returned)	%1$s (substituição retornada)
%1$s (will be returned when requested)	%1$s (será retornado quando solicitado)
%1$s / current cache only	%1$s / somente cache atual
%1$s / generated registry	%1$s / registro gerado
%1$s / generated registry and current cache	%1$s / registro gerado e cache atual
%1$s / local catalog	%1$s / catálogo local
%1$s and above	%1$s ou superior
%1$s appears more than once in this file.	%1$s aparece mais de uma vez neste arquivo.
%1$s changed	%1$s alterados
%1$s is already hidden	%1$s já está escondido
%1$s destinations must start with %2$s	Os destinos de %1$s precisam começar com %2$s
%1$s has an invalid value. %2$s	%1$s tem um valor inválido. %2$s
%1$s is a kind of value the Lab cannot override.	%1$s é um tipo de valor que o Lab não consegue substituir.
%1$s has type %2$s, but the file says %3$s.	%1$s tem o tipo %2$s, mas o arquivo informa %3$s.
%1$s is not a country code, so no video would ever match it. Use two letters, like GB, IE or US.	%1$s não é um código de país, então nenhum vídeo combinaria com ele. Use duas letras, como GB, IE ou US.
%1$s is not in this Lab catalog.	%1$s não está neste catálogo do Lab.
%1$s isn't installed or doesn't take links	%1$s não está instalado ou não aceita links
%1$s left	Resta %1$s
%1$s min left	Restam %1$s min
%1$s to %2$s	De %1$s a %2$s
%1$s videos left	Restam %1$s vídeos
%1$s was rejected. %2$s	%1$s foi rejeitado. %2$s
%1$s, %2$s, %3$s, %4$s, %5$s	%1$s, %2$s, %3$s, %4$s, %5$s
%1$s, selected	%1$s, selecionado
%1$s. %2$s	%1$s. %2$s
%1$s: %2$d found, %3$d missing	%1$s: %2$d encontrados, %3$d faltando
%1$s: %2$d found, %3$d missing, and more it stopped counting	%1$s: %2$d encontrados, %3$d faltando, e mais que parou de contar
%1$s: %2$d found, %3$d missing, and more it stopped counting. First missing: %4$s	%1$s: %2$d encontrados, %3$d faltando, e mais que parou de contar. O primeiro que faltou: %4$s
%1$s: %2$d found, %3$d missing. First missing: %4$s	%1$s: %2$d encontrados, %3$d faltando. O primeiro que faltou: %4$s
%1$s: %2$s	%1$s: %2$s
1 field overridden	1 campo substituído
For com.deniscerri.ytdl only. Hide its download card and start the handoff in the background.	Só para com.deniscerri.ytdl. Esconder o card de download dele e começar a passagem em segundo plano.
Forced %1$d gates of %2$d. The rest do not take a true or false value. Restart TikTok to apply this.	%1$d de %2$d gates forçados. Os demais não aceitam um valor true ou false. Reinicie o TikTok para aplicar.
Forced %1$d gates. Restart TikTok to apply this.	%1$d gates forçados. Reinicie o TikTok para aplicar.
Forced 1 gate of %2$d. The rest do not take a true or false value. Restart TikTok to apply this.	1 de %2$d gates forçado. Os demais não aceitam um valor true ou false. Reinicie o TikTok para aplicar.
Forced 1 gate. Restart TikTok to apply this.	1 gate forçado. Reinicie o TikTok para aplicar.
Forced result	Resultado forçado
Forget seen videos after	Esquecer os vídeos vistos depois de
Forget the %1$s seen videos.	Esquecer os %1$s vídeos vistos.
Forget what has been counted today and end any hold. The budgets themselves are left alone.	Esquecer o que foi contado hoje e encerrar qualquer pausa. Os limites em si ficam como estão.
Friends	Amigos
Full comment sort options	Opções completas de ordenação dos comentários
Full license	Licença completa
Full report saved to %1$s	Relatório completo salvo em %1$s
GIF	GIF
Gate data unavailable	Dados dos gates não disponíveis
Gate details	Detalhes do gate
Generated defaults	Padrões gerados
Gestures	Gestos
Ghost mode	Modo fantasma
Hand-off	Passagem
Handle or id	Nome de usuário ou id
Hidden %1$s on this phone	%1$s escondido neste aparelho
Hidden commenters	Comentaristas escondidos
Blocked and hidden creators	Criadores bloqueados e escondidos
Hidden: %1$s	Ocultos: %1$s
Hide	Esconder
Hide AI-generated videos	Esconder vídeos gerados por IA
Hide CAPTCHA popups	Esconder as janelas de CAPTCHA
Hide LIVE replays	Esconder as reprises de LIVE
Hide LIVE videos	Esconder os vídeos LIVE
Hide Series	Esconder Séries
Hide the Tako bubble	Esconder a bolha do Tako
Hide TikTok Shop	Esconder o TikTok Shop
Hide TikTok Shop posts from the feed.	Esconder as publicações do TikTok Shop no feed.
Shop order updates and coupon messages no longer take up rows in the Inbox. Your orders are unchanged.	As atualizações de pedidos e as mensagens de cupom da loja deixam de ocupar linhas na caixa de entrada. Seus pedidos não mudam.
Hide the Tako chat	Esconder o chat do Tako
Hide the quick emoji row and automatic sticker suggestions that appear while you type. The emoji and sticker buttons still work.	Oculte a fileira de emojis rápidos e as sugestões automáticas de figurinhas que aparecem enquanto você digita. Os botões de emoji e figurinha continuam funcionando.
Hide activity	Esconder a atividade
Hide activity status	Esconder o status de atividade
Hide archive	Esconder o arquivo
Hide bottom tabs TikTok adds later unless you allow them.	Esconder as abas de baixo que o TikTok adicionar depois, a menos que você as permita.
Hide the CAPTCHA dialogs raised while you browse or watch LIVE. Login, account verification and any CAPTCHA raised over a follow, like, comment or repost stay visible.	Esconder os CAPTCHAs que aparecem enquanto você navega ou assiste a um LIVE. Os de login, os de verificação de conta e qualquer um que apareça ao seguir, curtir, comentar ou repostar continuam visíveis.
Hide buttons in the right column	Ocultar botões da coluna da direita
Hide comment polls	Esconder enquetes nos comentários
Show poll results before voting	Mostrar resultados das enquetes antes de votar
A comment poll shows how many picked each answer before you vote. Tapping an answer still votes.	Uma enquete nos comentários mostra quantos escolheram cada resposta antes de você votar. Tocar em uma resposta ainda vota.
Hide comment popup ads	Esconder os anúncios pop-up dos comentários
Hide comments made of an image or a sticker instead of words.	Esconder os comentários feitos com imagem ou sticker em vez de palavras.
Hide comments that contain any of the words below, or that come from the accounts below.	Esconder os comentários que tenham qualquer uma das palavras abaixo, ou que venham das contas abaixo.
Hide controls after each video starts. Tap to restore them.	Esconder os controles depois que cada vídeo começa. Toque para trazê-los de volta.
Hide conversations	Esconder as conversas
Hide every direct message conversation. Leaves the Inbox empty apart from whatever else is still turned on.	Esconder todas as conversas de mensagens diretas. Deixa a caixa de entrada vazia, tirando o que você ainda tiver ligado.
Hide the save button on the feed	Esconder o botão de salvar do feed
Hide the search button on the feed	Esconder o botão de busca do feed
Hide floating promotion badges, coins, and timer banners on the feed.	Esconder os selos promocionais flutuantes, as moedas e os banners com contagem regressiva da página inicial.
Hide floating promotions	Esconder as promoções flutuantes
Hide inserted cards	Esconder os cards inseridos
Hide message requests	Esconder as solicitações de mensagem
Hide message streaks	Esconder as sequências de mensagens
Hide new follower notifications	Esconder as notificações de novos seguidores
Hide new followers	Esconder os novos seguidores
Hide paid partnerships	Esconder as parcerias pagas
Hide people and options by name	Esconder pessoas e opções por nome
Hide photo posts	Esconder as publicações de fotos
Hide picture comments	Esconder os comentários com imagem
Hide playlist videos	Esconder os vídeos de playlists
Hide promotional music	Esconder a música promocional
Hide comment typing suggestions	Ocultar sugestões ao digitar comentários
Hide rows by title	Esconder linhas por título
Hide the Inbox search button	Ocultar o botão de pesquisa da Caixa de entrada
Hide suggestions on the search page	Ocultar sugestões na página de pesquisa
Hide sharing apps	Esconder os apps de compartilhamento
Hide stories tray	Esconder a bandeja de stories
Hide stories	Esconder os stories
The accounts TikTok suggests you follow no longer take up rows in the Inbox.	As contas que o TikTok sugere que você siga deixam de ocupar linhas na caixa de entrada.
Hide suggested accounts	Esconder as contas sugeridas
Hide surveys	Esconder as enquetes
Hide tabs TikTok adds later unless you allow them.	Esconder as abas que o TikTok adicionar depois, a menos que você as permita.
Hide the "Search this image" prompt shown over videos. The feed search button and suggestions above comments are separate settings.	Oculte o aviso "Pesquisar esta imagem" mostrado sobre os vídeos. O botão de pesquisa do feed e as sugestões acima dos comentários têm configurações separadas.
The Activity row of likes and comments on your posts leaves the Inbox. Notifications about them still arrive.	A linha Atividade, com curtidas e comentários nas suas publicações, some da caixa de entrada. As notificações sobre eles continuam chegando.
The Archive row leaves the Inbox. Archived chats are kept.	A linha Arquivo some da caixa de entrada. As conversas arquivadas são mantidas.
Hide the LIVE button	Esconder o botão de LIVE
Hide the LIVE button in the top left corner of the feed.	Esconder o botão de LIVE no canto superior esquerdo do feed.
Hide LIVE videos from the feed.	Esconder vídeos LIVE do feed.
The Message requests row leaves the Inbox. Requests keep arriving and wait there until you turn this off.	A linha Solicitações de mensagem some da caixa de entrada. As solicitações continuam chegando e ficam esperando lá até você desligar isto.
The New followers row leaves the top of the Inbox. The accounts still follow you.	A linha Novos seguidores some do topo da caixa de entrada. As contas continuam seguindo você.
Hide the Send to row	Esconder a linha Enviar para
Hide the Tako AI bubble above the profile button, the Ask bar under videos, the Ask Tako button on the search page, the Ask Tako tab on search results and the Tako bar above comments.	Esconder a bolha do Tako AI acima do botão de perfil, a barra do Tako abaixo dos vídeos, o botão Perguntar ao Tako na página de busca, a aba Perguntar ao Tako nos resultados da busca e a barra do Tako acima dos comentários.
The Tako assistant's conversation leaves the Inbox list. The Tako bubble on the feed has its own switch under Feed tabs.	A conversa com o assistente Tako some da lista da caixa de entrada. A bolha do Tako no feed tem um interruptor próprio em Abas do feed.
The activity status control leaves the Inbox header. Whether others see you as active is unchanged.	O controle de status de atividade some do cabeçalho da caixa de entrada. Se os outros veem você como ativo não muda.
Hide the add people icon	Esconder o ícone de adicionar pessoas
The add people icon leaves the Inbox header. Only the shortcut goes, so friend suggestions elsewhere are unchanged.	O ícone de adicionar pessoas some do cabeçalho da caixa de entrada. Só o atalho vai embora, as sugestões de amigos em outros lugares não mudam.
Hide the caption	Esconder a legenda
Hide the description under the creator's name on the feed.	Esconder a descrição embaixo do nome do criador no feed.
Hide the event badge	Esconder o selo de evento
Hide the floating promotional badge over the feed.	Esconder o selo promocional flutuante sobre o feed.
Hide the follow button on the feed	Esconder o botão de seguir do feed
Hide the friend recommendation card and the other cards TikTok slots between videos.	Esconder o card de amigos recomendados e os outros cards que o TikTok encaixa entre os vídeos.
Hide the launcher shortcuts	Ocultar os atalhos do inicializador
Hide the music line	Esconder a linha da música
Hide photo posts from the feed.	Esconder publicações de fotos do feed.
Hide the playlist bar	Esconder a barra da playlist
Hide the playlist bar along the bottom of videos that belong to a series.	Esconder a barra da playlist na parte de baixo dos vídeos que fazem parte de uma série.
Hide the plus button under the creator's picture in the right column. Ticking Avatar and follow button above hides the picture with it.	Oculta o botão de mais sob a foto do criador na coluna da direita. Marcar Avatar e botão de seguir acima esconde a foto junto.
Hide the purple rewards button beside Add friends on your profile.	Ocultar o botão roxo de recompensas ao lado de Adicionar amigos no seu perfil.
Hide the question cards TikTok slides over a video near its end.	Esconder os cards com perguntas que o TikTok desliza sobre o vídeo perto do fim.
Hide the rewards shortcut	Ocultar o atalho de recompensas
Hide the right column	Esconder a coluna da direita
The row of story avatars across the top of the Inbox goes. Stories still play from the feed and from profiles.	A linha de fotos de stories no topo da caixa de entrada some. Os stories continuam abrindo no feed e nos perfis.
Hide the save button in the right column. Ticking Save in the list above hides it too.	Esconder o botão de salvar da coluna direita. Marcar Salvar na lista acima também o esconde.
Hide the magnifying glass at the top right of the feed. Search in Inbox and suggestions above comments stay unchanged.	Oculte a lupa no canto superior direito do feed. A pesquisa na Caixa de entrada e as sugestões acima dos comentários não mudam.
Hide the magnifying glass at the top of Inbox. Search on the feed and in comments is unchanged.	Esconder a lupa na parte superior da caixa de entrada. A pesquisa no feed e nos comentários não muda.
Hide recommended searches before you type on TikTok's search page. Your search history stays. This doesn't hide suggestions above comments.	Oculte as pesquisas recomendadas antes de digitar na página de pesquisa do TikTok. Seu histórico de pesquisa é mantido. Isso não oculta as sugestões acima dos comentários.
Hide the share prompt after a like	Ocultar o pedido de compartilhar depois de curtir
Hide the spinning music cover and the track name beside the caption.	Esconder a capa giratória da música e o nome da faixa ao lado da legenda.
Hide the status bar	Esconder a barra de status
Hide stories from the feed.	Esconder stories do feed.
Hide the whole column on the right, from the avatar down to the music disc.	Esconder a coluna da direita inteira, da foto até o disco de música.
Hide this creator on this phone	Esconder este criador neste aparelho
Hide verified accounts	Esconder as contas verificadas
Hide video actions	Esconder as ações do vídeo
Hide videos carrying TikTok's AI-generated label.	Esconder os vídeos com o rótulo de conteúdo gerado por IA do TikTok.
Hide videos marked as paid partnership or branded content.	Esconder os vídeos marcados como parceria paga ou conteúdo de marca.
Hide videos posted as part of a playlist.	Esconder os vídeos publicados dentro de uma playlist.
Hide videos posted by verified accounts.	Esconder os vídeos publicados por contas verificadas.
Hide videos that belong to a paid Series.	Esconder os vídeos que fazem parte de uma Série paga.
Hide videos with a lot of views and few comments. Works the same way as views per like. Zero turns it off.	Oculta vídeos com muitas visualizações e poucos comentários. Funciona do mesmo jeito que visualizações por curtida. Zero desliga.
Hide videos with a lot of views and few likes. Lower numbers are stricter, zero turns the rule off, and one video is kept back if everything the feed just sent would go.	Esconder os vídeos com muitas visualizações e poucas curtidas. Números mais baixos são mais rígidos, zero desliga a regra, e um vídeo é guardado se tudo o que o feed acabou de enviar fosse embora.
Hide videos you have already seen	Esconder os vídeos que você já viu
Hide Search this image prompts	Ocultar avisos de Pesquisar esta imagem
Hiding	Ocultar
Highest	A mais alta
Historical	Histórico
Historical values	Valores históricos
Hold a gate to choose several	Segure um gate para escolher vários
Hold the feed after the budget	Pausar o feed depois do limite
Home	Início
Hook status	Verificação de recursos
How far each edge press moves the video.	Quanto o vídeo anda a cada toque na borda.
Hushfeed cannot read the creator pattern %1$s	O Hushfeed não consegue ler o padrão de criador %1$s
Hushfeed hid a TikTok CAPTCHA. Turn off Hide CAPTCHA popups if something stops working.	O Hushfeed escondeu um CAPTCHA do TikTok. Desligue Esconder as janelas de CAPTCHA se alguma coisa parar de funcionar.
Hushfeed is active	O Hushfeed está ativo
Ignore the creator's choice so the Duet and Stitch entries appear. Everything else the app checks still applies, and whether the upload is accepted is the server's decision.	Ignorar a escolha do criador para que as entradas de Dueto e Costura apareçam. Todo o resto que o app verifica continua valendo, e se o envio é aceito quem decide é o servidor.
Import finished	Importação concluída
Import loaded values	Importar os valores carregados
Imported %1$d values	%1$d valores importados
Imported %1$d values. Undo last Lab change is in the menu.	%1$d valores importados. Desfazer a última alteração do Lab está no menu.
Inbox	Caixa de entrada
Include diagnostic events	Incluir eventos de diagnóstico
Included diagnostics	Diagnóstico incluído
Includes all diagnostic events.	Inclui todos os eventos de diagnóstico.
Includes these events: %1$s	Inclui estes eventos: %1$s
Inserted cards	Cards inseridos
Keep a local record of what you have watched and hide those videos when the feed sends them again.	Guardar no aparelho um registro do que você viu e esconder esses vídeos quando o feed os enviar de novo.
Keep a paused video paused	Manter pausado um vídeo pausado
Move to the next video when the current one ends. Pauses, open dialogs and screen-time holds stop it. Restart TikTok after changing this.	Avance para o próximo vídeo quando o atual terminar. Pausas, caixas de diálogo abertas e bloqueios de tempo de tela interrompem o avanço. Reinicie o TikTok depois de mudar esta configuração.
Keep captions in clear display	Manter as legendas com a tela limpa
Keep going	Continuar
Keep the Favorites tab	Manter a aba Favoritos
Keep the clock and status icons off the screen while TikTok is open. Swipe down from the top to peek at them.	Manter o relógio e os ícones de status fora da tela enquanto o TikTok está aberto. Deslize de cima para dar uma olhada.
Keep the screen's refresh rate	Manter a taxa de atualização da tela
Keep the speed you chose for the next video. Off, each new video starts at 1x and a manual choice lasts for that video only.	Mantém a velocidade escolhida para o próximo vídeo. Desligado, cada vídeo novo começa em 1x e uma escolha manual vale só para aquele vídeo.
Keep this string to %1$s characters or fewer.	Mantenha esta string com %1$s caracteres ou menos.
Keep this structured value to %1$s KB or less.	Limite este valor estruturado a %1$s KB ou menos.
Kept to %1$s, the nearest value this row allows	Ajustado para %1$s, o valor mais próximo que esta linha aceita
Kinds of post	Tipos de post
LIVE	LIVE
LIVE replays	Reprises de LIVE
LIVE settings	Configurações de Live
LIVE share actions	Ações de compartilhamento de LIVE
LIVE videos	Vídeos LIVE
Lab data reset. Undo last Lab change is in the menu. Restart TikTok to apply this.	Dados do Lab redefinidos. Desfazer a última alteração do Lab está no menu. Reinicie o TikTok para aplicar.
Lab data was over its rule limit, so it was cleared without an undo copy. Restart TikTok to apply this.	Os dados do Lab ultrapassavam o limite de regras, então foram apagados sem uma cópia para desfazer. Reinicie o TikTok para aplicar.
Lab overrides reset. Undo last Lab change is in the menu. Restart TikTok to apply this.	Substituições do Lab redefinidas. Desfazer a última alteração do Lab está no menu. Reinicie o TikTok para aplicar.
Larger (1.25x)	Maior (1,25x)
Last original value	Último valor original
Last recording: %1$d gates.	Última gravação: %1$d gates.
Last recording: 1 gate.	Última gravação: 1 gate.
Layout	Layout
Layout, player, search and system	Layout, player, pesquisa e sistema
Leave maximum empty to keep it unlimited.	Deixe o máximo vazio para ficar sem limite.
Leave the sound out of the saved video. Save the sound as well still writes the .m4a beside it if you want both.	Deixar o som fora do vídeo salvo. Salvar o som também continua escrevendo o .m4a ao lado se você quiser os dois.
Length and views per like	Duração e visualizações por curtida
Less than a minute left	Resta menos de um minuto
Let screenshots, screen recording and Circle to Search work on TikTok again. Restart TikTok to apply this.	Deixar as capturas de tela, a gravação de tela e o Círculo para pesquisar voltarem a funcionar no TikTok. Reinicie o TikTok para aplicar.
Let the Offline videos menu use your own limit instead of TikTok's fixed one. Restart TikTok to apply this.	Deixar o menu de Vídeos offline usar o seu próprio limite em vez do fixo do TikTok. Reinicie o TikTok para aplicar.
Licenses	Licenças
Like	Curtir
Limits	Limites
Link copied	Link copiado
Links	Links
Links in comments open	Os links nos comentários abrem
More opens the comments	Mais abre os comentários
Tapping more under a video opens its comments with the whole caption at the top instead of spreading the caption over the video. A tap on the caption itself does the same. Photo posts keep TikTok's own page for this.	Tocar em mais abaixo de um vídeo abre os comentários com a legenda inteira no topo em vez de espalhá-la sobre o vídeo. Tocar na própria legenda faz o mesmo. Posts de fotos mantêm a página do próprio TikTok para isso.
Caption above comments	Legenda acima dos comentários
The comment button also opens a video's comments with its caption at the top.	O botão de comentários também abre os comentários de um vídeo com a legenda no topo.
Loaded current values. Loading all known gates...	Valores atuais carregados. Carregando todos os gates conhecidos...
Loaded values are still being read. Try again in a moment.	Os valores carregados ainda estão sendo lidos. Tente novamente em instantes.
Loaded-value file export failed	A exportação do arquivo de valores carregados falhou
Loading gates...	Carregando os gates...
Loading local catalog and current TikTok cache...	Carregando o catálogo local e o cache atual do TikTok...
Creators hidden on this phone	Criadores escondidos neste aparelho
Lock today's budget	Travar o limite de hoje
Logging, hook status and reports	Registros, status dos hooks e relatórios
Long press	Toque longo
Hold speed on Comment	Velocidade de segurar em Comentários
A long press on Comment plays the video at the hold speed instead of opening the emoji row. It needs Long press on TikTok default and Seek from the edges off.	Um toque longo em Comentários reproduz o vídeo na velocidade de segurar em vez de abrir a fileira de emojis. Requer Toque longo no Padrão do TikTok e Avançar pelas bordas desligado.
Hold speed on Share	Velocidade de segurar em Compartilhar
A long press on Share plays the video at the hold speed instead of opening the quick share row. It needs Long press on TikTok default and Seek from the edges off.	Um toque longo em Compartilhar reproduz o vídeo na velocidade de segurar em vez de abrir a fileira de compartilhamento rápido. Requer Toque longo no Padrão do TikTok e Avançar pelas bordas desligado.
Hold speed on Favorites	Velocidade de segurar em Favoritos
A long press on Favorites plays the video at the hold speed instead of offering a new collection. It needs Long press on TikTok default and Seek from the edges off.	Um toque longo em Favoritos reproduz o vídeo na velocidade de segurar em vez de oferecer uma nova coleção. Requer Toque longo no Padrão do TikTok e Avançar pelas bordas desligado.
Lowest	A mais baixa
Make TikTok yours.	Deixe o TikTok do seu jeito.
Manager	Gerenciador
Marked as not interested	Marcado como não tenho interesse
Match locale and timezone to country	Ajustar o idioma e o fuso horário ao país
Maximum	Máximo
Maximum post age	Idade máxima da publicação
Maximum video length	Duração máxima do vídeo
Maximum views per comment	Máximo de visualizações por comentário
Maximum views per like	Visualizações máximas por curtida
Media	Mídia
Media config (VE)	Configuração de mídia (VE)
Messages, profiles and search still work.	As mensagens, os perfis e a busca continuam funcionando.
Microphone in use	Microfone em uso
Comments range	Faixa de comentários
Favorites range	Faixa de favoritos
Likes range	Faixa de curtidas
Shares range	Faixa de compartilhamentos
Views range	Faixa de visualizações
Minimum	Mínimo
More options	Mais opções
Move down	Mover para baixo
Move left	Mover para a esquerda
Move right	Mover para a direita
Move up	Mover para cima
Music disc	Disco de música
Pauses the video behind the comment sheet while you read. It plays on from the same spot when the sheet closes.	Pausa o vídeo atrás dos comentários enquanto você lê. Ele continua do mesmo ponto quando os comentários fecham.
Nearby	Por perto
Never from these countries	Nunca destes países
No	Não
No creator to block on this video	Nenhum criador para bloquear neste video
No creator to hide on this video	Nenhum criador para esconder neste video
No creators are hidden yet. Hide one from a video, or add a handle above.	Nenhum criador escondido ainda. Esconda um de um video, ou adicione um handle acima.
No current value	Sem valor atual
No current value and no active override	Não há valor atual nem substituição ativa
No delay	Sem atraso
No gate data is available. Refresh values from the menu to try again.	Não há dados dos gates. Atualize os valores pelo menu para tentar de novo.
No gate reads were recorded. Use a TikTok feature while recording.	Nenhuma leitura de gate foi gravada. Use um recurso do TikTok durante a gravação.
No gates match this filter.	Nenhum gate combina com este filtro.
No gates match this search and filter.	Nenhum gate combina com esta busca e este filtro.
No hidden creators match this search. Clear the search to see them all.	Nenhum criador escondido corresponde a essa busca. Limpe a busca para ver todos.
No limit	Sem limite
No matching comments. Try a different word, or clear the search with the X in the box.	Nenhum comentário encontrado. Tente outra palavra ou limpe a pesquisa com o X no campo.
No matching countries. Try a country name or a two-letter code.	Nenhum pais corresponde. Tente um nome de pais ou um codigo de duas letras.
No matching diagnostics found	Nenhum diagnóstico correspondente foi encontrado
No matching settings	Nenhuma configuração combina
No preset selected. Choose a preset above.	Nenhum preset selecionado. Escolha um preset acima.
No recording yet. Start one, use a feature, then return here.	Nenhuma gravação ainda. Inicie uma, use um recurso e volte aqui.
No seen videos recorded yet.	Nenhum vídeo visto registrado ainda.
No share actions have been seen yet	Nenhuma ação de compartilhamento foi vista ainda
No share actions match this search	Nenhuma ação de compartilhamento combina com esta busca
No sound to block on this video	Não há som para bloquear neste vídeo
No suggested accounts to clear	Não há contas sugeridas para limpar
No video selected. Open a video first.	Nenhum video selecionado. Abra um video primeiro.
None of these gates had an override to reset.	Nenhum destes gates tinha uma substituição para redefinir.
None of these gates takes a true or false value.	Nenhum destes gates aceita um valor true ou false.
None recorded	Nada registrado
Normal	Normal
Not blocked	Não bloqueado
Not interested in this video	Não tenho interesse neste vídeo
Not read yet	Ainda não lido
Not requested in this process yet	Ainda não foi pedido neste processo
Not saved yet	Ainda não salvo
Not seen	Não vistos
Not seen yet	Ainda não visto
Nothing has been checked yet, so there is nothing to report.	Nada foi verificado ainda, então não há o que contar.
Nothing has been looked up yet. Use the app for a moment, then come back.	Nada foi procurado ainda. Use o app um pouco e volte.
Nothing hidden.	Nada oculto.
Nothing is playing to seek	Não há nada tocando para avançar
Nothing new was imported. %1$d already matched, %2$d unavailable, %3$d rejected.	Nada de novo foi importado. %1$d já coincidiam, %2$d não estão disponíveis, %3$d foram rejeitados.
Nothing new was imported. %1$d already matched, %2$d unavailable, %3$d rejected. First rejection: %4$s	Nada novo foi importado. %1$d já correspondiam, %2$d estavam indisponíveis e %3$d foram rejeitados. Primeira rejeição: %4$s
Nothing on this page changes what TikTok does until they are on.	Nada nesta página muda o que o TikTok faz enquanto elas estiverem desligadas.
Nothing to undo yet.	Ainda não há nada para desfazer.
Notices from this project and the ones it is built on	Avisos deste projeto e daqueles em que ele se baseia
OK	OK
Off	Desligado
Off forces false, on forces true. Reset hands the choice back to TikTok.	Desligado força false e ligado força true. Redefinir devolve a decisão ao TikTok.
Offline videos	Vídeos offline
Offline videos limit	Limite de vídeos offline
Older overrides were kept disabled. Review their values before enabling them on TikTok %1$s.	As substituições antigas ficaram desligadas. Confira os valores antes de ligá-las no TikTok %1$s.
On mobile data	Nos dados móveis
Once today's budget runs out, the hold stays and cannot be dismissed. The budget settings are locked until the day starts over. Turn this off any time before the budget runs out.	Quando o orçamento de hoje acaba, a pausa fica e não pode ser fechada. As configurações de orçamento ficam bloqueadas até o dia recomeçar. Desative isso a qualquer momento antes do orçamento acabar.
One area was checked and everything it needs is here.	Uma área foi verificada e tudo de que ela precisa está aqui.
One minute left	Resta um minuto
One of the quote marks in that list has nothing to close it, so the rest of the line reads as one phrase. Add the missing quote or take the stray one out.	Uma das aspas dessa lista não tem com o que fechar, então o resto da linha é lido como uma frase só. Adicione a aspa que falta ou tire a que sobrou.
One value per line	Um valor por linha
Only bottom tabs TikTok has loaded on this device are shown here. This does not force unavailable tabs to appear.	Aqui só aparecem as abas de baixo que o TikTok carregou neste aparelho. Isto não faz aparecer as que não estão disponíveis.
Turn this on while you record logs for a bug report, then turn it off again. While it is on, TikTok can feel slower and may crash.	Ligue enquanto grava registros para relatar um problema e depois desligue de novo. Enquanto estiver ligado, o TikTok pode ficar mais lento e travar.
Only fields the Lab can check and copy safely are shown.	Só aparecem os campos que o Lab consegue verificar e copiar com segurança.
Only from these countries	Só destes países
Only tabs TikTok has loaded on this device are shown here. This does not force unavailable tabs to appear.	Aqui só aparecem as abas que o TikTok carregou neste aparelho. Isto não faz aparecer as que não estão disponíveis.
Open a share sheet once, then return here to choose its actions.	Abra uma vez a folha de compartilhamento e volte aqui para escolher as ações dela.
Open comments	Abrir os comentários
Open external links directly	Abrir os links externos direto
Open messages	Abrir as mensagens
Open profile and story website links in your system browser instead of TikTok's in-app browser.	Abrir os links de sites de perfis e stories no navegador do sistema em vez do navegador interno do TikTok.
Open the feed anyway	Abrir o feed mesmo assim
Open the feed anyway, %1$d left today	Abrir o feed mesmo assim, restam %1$d hoje
Open the feed anyway, the last time today	Abrir o feed mesmo assim, pela última vez hoje
Open the feed once so Hushfeed can see which bottom tabs TikTok loaded.	Abra o início do TikTok para detectar as abas de baixo carregadas.
Open the feed once so Hushfeed can see which tabs TikTok loaded.	Abra o feed inicial do TikTok para detectar as abas carregadas.
Open the profile again and try once more	Abra o perfil de novo e tente mais uma vez
Open the story again and try once more	Abra o story de novo e tente mais uma vez
Open TikTok on	Abrir o TikTok em
Opens github.com in your browser	Abre github.com no seu navegador
Operator code	Código da operadora
Operator name	Nome da operadora
Original language	Idioma original
Other	Outros
Other feed filters	Outros filtros do feed
Overridden	Substituídos
Override	Substituição
Override SIM details	Substituir os dados do SIM
Override set, not read yet	Substituição definida, ainda não lido
Override store region (experimental)	Substituir a região da loja (experimental)
Override this configuration	Substituir esta configuração
Override this gate	Substituir este gate
Overrides are disabled in the Feature Gate Lab.	As substituições estão desligadas no Laboratório de gates.
Overrides disabled. Restart TikTok to apply this.	Substituições desativadas. Reinicie o TikTok para aplicar.
Overrides enabled. Restart TikTok to apply this.	Substituições ativadas. Reinicie o TikTok para aplicar.
Paid partnerships	Parcerias pagas
People, shortcuts and sending controls	Pessoas, atalhos e controles de envio
Photo	Foto
Photo and image posts	Publicações de fotos e imagens
Photo destination	Destino das fotos
Photo filename	Nome do arquivo da foto
Photos and stickers	Fotos e figurinhas
Pick the buttons to take off the column. The rest stay where they are.	Escolha os botões para tirar da coluna. O resto fica onde está.
