%1$d minutes left	Restam %1$d minutos
%1$d setting was not in that file and was left as it is.	%1$d configuração não estava nesse arquivo e ficou como estava.
%1$d settings were not in that file and were left as they are.	%1$d configurações não estavam nesse arquivo e ficaram como estavam.
%1$s and above	%1$s ou superior
%1$s destinations must start with %2$s	Os destinos de %1$s precisam começar com %2$s
%1$s isn't installed or doesn't take links	%1$s não está instalado ou não aceita links
%1$s left	Resta %1$s
%1$s on	%1$s ativados
%1$s to %2$s	De %1$s a %2$s
Off by default. Switched on, the feed dims over the last three quarters of a minute of a time budget, most of it in the final half minute, so the hold is somewhere you arrive rather than somewhere you land. Needs a budget in minutes and a hold to arrive at: a budget counted in videos has no time left to follow, and with the hold switched off there is nothing to lead into. Nothing fades if you have turned animations off.	Desligado por padrão. Ligado, o feed escurece ao longo dos últimos três quartos de minuto de um limite de tempo, a maior parte no último meio minuto, para a pausa ser algo a que você chega e não algo que cai em cima de você. Precisa de um limite em minutos e de uma pausa para chegar: um contado em vídeos não tem tempo restante para seguir, e sem pausa não há aonde chegar. Nada escurece se você desligou as animações.
Off by default. Switched on, the hold that starts when today's budget runs out has no way out, and the budgets, the reset hour and this switch cannot be changed again until the day starts over. Switch it off any time before the budget runs out.	Desligado por padrão. Ligado, a pausa que começa quando o limite de hoje acaba não tem saída, e os limites, a hora de reinício e esta própria chave não podem ser mudados de novo até o dia virar. Você pode desligar a qualquer momento antes de o limite acabar.
Off by default. The video behind the comment sheet keeps playing, with sound, while you read. Switched on, Hushfeed asks for the sound the moment a sheet opens and hands it back when it closes, which is how one app tells another to stop.	Desligado por padrão. O vídeo atrás da folha de comentários continua tocando, com som, enquanto você lê. Ligado, o Hushfeed pede o som assim que a folha abre e devolve quando ela fecha, que é como um app diz a outro para parar.
Off by default. TikTok plays again by itself every time you come back to the app. Switched on, the feed waits for one tap first. The tab bar is left alone, so messages, a profile and search are still one tap away.	Desligado por padrão. O TikTok volta a tocar sozinho toda vez que você retorna ao app. Ligado, o feed espera um toque antes. A barra de abas fica como está, então mensagens, um perfil e a busca continuam a um toque.
Offline videos limit	Limite de vídeos offline
On mobile data	Nos dados móveis
One minute left	Resta um minuto
One of the quote marks in that list has nothing to close it, so the rest of the line reads as one phrase. Add the missing quote or take the stray one out.	Uma das aspas dessa lista não tem com o que fechar, então o resto da linha é lido como uma frase só. Adicione a aspa que falta ou tire a que sobrou.
One area was checked and everything it needs is here.	Uma área foi verificada e tudo de que ela precisa está aqui.
Only enable when recording logs to report an issue. Leaving it on for too long can make TikTok feel laggy and may lead to crashes.	Ligue só quando estiver gravando registros para relatar um problema. Deixar ligado por muito tempo pode deixar o TikTok lento e causar falhas.
Only from these countries	Só destes países
Only internal storage folders are supported	Só há suporte para pastas do armazenamento interno
Open TikTok home feed to detect loaded tabs.	Abra o feed inicial do TikTok para detectar as abas carregadas.
Open TikTok home to detect loaded bottom tabs.	Abra o início do TikTok para detectar as abas de baixo carregadas.
Open a share sheet once, then return here to choose its actions.	Abra uma vez a folha de compartilhamento e volte aqui para escolher as ações dela.
Open comments	Abrir os comentários
Open external links directly	Abrir os links externos direto
Open feed filter settings	Abrir as configurações do filtro do feed
Open messages	Abrir as mensagens
Open profile and story website links in your system browser instead of TikTok's in-app browser.	Abrir os links de sites de perfis e stories no navegador do sistema em vez do navegador interno do TikTok.
Open the feed anyway	Abrir o feed mesmo assim
Open the feed anyway, %1$d left today	Abrir o feed mesmo assim, restam %1$d hoje
Open the feed anyway, the last time today	Abrir o feed mesmo assim, pela última vez hoje
Open the profile again and try once more	Abra o perfil de novo e tente mais uma vez
Open the story again and try once more	Abra o story de novo e tente mais uma vez
Operator MCC/MNC	MCC/MNC da operadora
Operator name	Nome da operadora
Original language	Idioma original
Other feed filters	Outros filtros do feed
Override SIM details	Substituir os dados do SIM
Override store region (experimental)	Substituir a região da loja (experimental)
Paid partnerships	Parcerias pagas
People, shortcuts and sending controls	Pessoas, atalhos e controles de envio
Photo	Foto
Photo and image posts	Publicações de fotos e imagens
Photo destination	Destino das fotos
Photo filename	Nome do arquivo da foto
Play videos TikTok has classified without the overlay asking to be tapped through first.	Tocar os vídeos que o TikTok classificou sem a camada que pede um toque para passar.
Playback	Reprodução
Playlist posts	Publicações de playlists
Press and hold a profile picture to save the full size original to your photo destination.	Segure uma foto de perfil para salvar o original em tamanho cheio no seu destino de fotos.
Press and hold a story to save it. Stories have no save button of their own, and holding one is how TikTok pauses it, so this takes that gesture over.	Segure um story para salvá-lo. Os stories não têm botão de salvar próprio, e segurar é como o TikTok os pausa, então isto assume esse gesto.
Press and hold the left or right third of the screen to jump back or forward. The middle third keeps the Long press action.	Segure o terço esquerdo ou direito da tela para pular para trás ou para frente. O terço do meio mantém a ação de Toque longo.
Profile picture saved to %1$s	Foto de perfil salva em %1$s
Promotional music	Música promocional
Publication age	Idade da publicação
Put a box above the comments that narrows them to the ones matching what you type, by what they say or who said it. Clearing the box brings the rest back.	Colocar acima dos comentários um campo que reduz a lista aos que combinam com o que você digita, pelo que dizem ou por quem disse. Esvaziar o campo traz o resto de volta.
Quality, files, subtitles and hand-off	Qualidade, arquivos, legendas e passagem
Quality, speed and automatic advance	Qualidade, velocidade e avanço automático
Quieten the feed while comments are open	Silenciar o feed enquanto os comentários estão abertos
Recorded gate reads (%1$d)	Leituras de gates registradas (%1$d)
Recording gate reads. Use a feature, then return here to stop.	Gravando as leituras dos gates. Use um recurso e volte aqui para parar.
Recover the settings saved before the last restore or reset.	Recuperar as configurações salvas antes da última restauração ou redefinição.
Recovered an interrupted settings change. Restart TikTok to apply it.	Uma mudança de configuração interrompida foi recuperada. Reinicie o TikTok para aplicá-la.
Region rules	Regras da região
Region settings	Configurações de região
Remind me every	Me lembrar a cada
Remove	Remover
Remove %1$s	Remover %1$s
Remove feed ads	Remover os anúncios do feed
Remove the Share via row.	Remover a linha Compartilhar via.
Remove the actions row from the share sheet.	Remover a linha de ações da folha de compartilhamento.
Remove the ads TikTok puts between videos.	Remover os anúncios que o TikTok coloca entre os vídeos.
Remove the row of friends from the top of the share sheet.	Remover a linha de amigos do topo da folha de compartilhamento.
Remove tracking parameters from shared links.	Remover os parâmetros de rastreamento dos links compartilhados.
Remove watermark	Remover a marca d'água
Report saved to %1$s	Relatório salvo em %1$s
Reset settings	Redefinir as configurações
Restore defaults immediately. Your current settings are kept for Undo.	Restaurar os padrões agora mesmo. Suas configurações atuais ficam guardadas para Desfazer.
Restore failed. Some settings may still be changed.	A restauração falhou. Algumas configurações podem ter mudado mesmo assim.
Restore failed. Some settings may still be changed. Use Undo to recover.	A restauração falhou. Algumas configurações podem ter mudado mesmo assim. Use Desfazer para recuperá-las.
Restore settings	Restaurar as configurações
Resume videos after scrolling	Continuar os vídeos depois de rolar
Return after using a TikTok feature to see every gate read during the recording.	Volte depois de usar um recurso do TikTok para ver cada leitura de gate durante a gravação.
SIM country preset	País predefinido do SIM
SIM preset saved	Predefinição de SIM salva
SIM preset saved. Restart TikTok to apply it.	Predefinição de SIM salva. Reinicie o TikTok para aplicá-la.
Sanitize sharing links	Limpar os links ao compartilhar
Save	Salvar
Save JSON	Salvar JSON
Save SRT files with the video. Paired saves use Movies on Android 11+, Download on Android 10, and your video folder on older versions.	Salvar os arquivos SRT junto com o vídeo. Os salvamentos em par usam Movies no Android 11 ou superior, Download no Android 10, e sua pasta de vídeos em versões mais antigas.
Save a profile picture on a long press	Salvar uma foto de perfil com um toque longo
Save a story on a long press	Salvar um story com um toque longo
Save every photo in the post directly from its source URL, without rendering it again.	Salvar cada foto da publicação direto da URL de origem, sem renderizar de novo.
Save media	Salvar a mídia
Save patch settings and Feature Gate Lab rules to a JSON file.	Salvar as configurações dos patches e as regras do Laboratório de gates em um arquivo JSON.
Save subtitles beside videos	Salvar as legendas junto com os vídeos
Save the latest available TikTok crash report for diagnostic export.	Guardar o último relatório de falha do TikTok disponível para exportar com o diagnóstico.
Save the original sound	Salvar o som original
Save the sound as well	Salvar o som também
Save videos without sound	Salvar os vídeos sem som
Saved %1$s of %2$s photos before the story failed	Foram salvas %1$s de %2$s fotos antes de o story falhar
Saved %1$s original photos	%1$s fotos originais salvas
Saved %1$s photos. The rest failed, so try again.	%1$s fotos salvas. As outras falharam, tente de novo.
Saving %1$s original photos	Salvando %1$s fotos originais
Saving settings backup	Salvando o backup das configurações
Saving sticker	Salvando o sticker
Saving the selected video quality	Salvando a qualidade de vídeo escolhida
Saving the selected video quality without sound	Salvando a qualidade de vídeo escolhida sem som
Saving the story	Salvando o story
Saving video and subtitles to %1$s	Salvando o vídeo e as legendas em %1$s
Search a title, description or category.	Busque um título, uma descrição ou uma categoria.
Search and override gate flags	Buscar e substituir marcas de gates
Search hidden creators	Buscar criadores escondidos
Search settings	Buscar nas configurações
%1$s: %2$d found, %3$d missing	%1$s: %2$d encontrados, %3$d faltando
%1$s: %2$d found, %3$d missing, and more it stopped counting	%1$s: %2$d encontrados, %3$d faltando, e mais que parou de contar
%1$s: %2$d found, %3$d missing. First missing: %4$s	%1$s: %2$d encontrados, %3$d faltando. O primeiro que faltou: %4$s
%1$s: %2$d found, %3$d missing, and more it stopped counting. First missing: %4$s	%1$s: %2$d encontrados, %3$d faltando, e mais que parou de contar. O primeiro que faltou: %4$s
Include diagnostic events	Incluir eventos de diagnóstico
Apply	Aplicar
All events	Todos os eventos
Follow probe	Verificação de seguir
Feed and navigation	Feed e navegação
Errors	Erros
Other	Outros
Saved. Restart TikTok to apply this.	Salvo. Reinicie o TikTok para aplicar.
Diagnostic data cleared.	Dados de diagnóstico apagados.
Includes these events: %1$s	Inclui estes eventos: %1$s
Gate details	Detalhes do gate
This catalog entry is no longer available. Refresh the Lab and try again.	Esta entrada do catálogo não está mais disponível. Atualize o Laboratório e tente de novo.
An override changes the value returned by the getter. It does not rewrite TikTok's cached value or prove the named feature changed.	Uma substituição muda o valor devolvido pelo leitor. Ela não reescreve o valor que o TikTok tem em cache nem prova que o recurso citado mudou.
Account-sensitive name: forcing this key may affect security, login, compliance, region, payment, or account safety behavior.	Nome sensível para a conta: forçar esta chave pode afetar a segurança, o login, a conformidade, a região, os pagamentos ou a proteção da conta.
Save field values	Salvar os valores dos campos
Reset override	Redefinir a substituição
Overrides are disabled in the Feature Gate Lab.	As substituições estão desligadas no Laboratório de gates.
This configuration has no fields that can be copied and changed safely on this build.	Esta configuração não tem campos que dê para copiar e mudar com segurança nesta build.
Only fields that can be type-checked and applied to a copied configuration object are shown.	Só aparecem os campos cujo tipo dá para verificar e aplicar a uma cópia da configuração.
Technical details	Detalhes técnicos
None recorded	Nada registrado
Account warning: forced client values apply to every account in this app data and cannot bypass server controls.	Aviso sobre a conta: os valores forçados no aparelho valem para todas as contas nestes dados do app e não passam por cima dos controles do servidor.
Loading gates...	Carregando os gates...
Restoring your settings	Restaurando suas configurações
Putting the settings back to their defaults	Voltando as configurações para os padrões
Undoing the last change	Desfazendo a última mudança
Settings are back to their defaults. Restart TikTok to apply all changes.	As configurações voltaram para os padrões. Reinicie o TikTok para aplicar todas as mudanças.
The last change is undone. Restart TikTok to apply all changes.	A última mudança foi desfeita. Reinicie o TikTok para aplicar todas as mudanças.
Value to return	Valor devolvido
Enable overrides	Ativar as substituições
Applies saved rules at supported getters	Aplica as regras salvas onde dá
%1$s, selected	%1$s, selecionado
Custom %1$s value (unverified)	Valor %1$s próprio (não verificado)
Custom value (unverified)	Valor próprio (não verificado)
Use value	Usar o valor
Using TikTok's value	Usando o valor do TikTok
Override saved but off	Substituição salva mas desligada
Getter requested, override rejected: %1$s	O valor foi pedido e a substituição recusada: %1$s
Getter requested	O valor foi pedido
Getter not requested yet	O valor ainda não foi pedido
One value per line	Um valor por linha
Advanced JSON value	Valor JSON avançado
Value	Valor
Show	Mostrar
Hide	Esconder
Search words or key	Buscar palavras ou chave
Loading local catalog and current TikTok cache...	Carregando o catálogo local e o cache atual do TikTok...
No gates match this search and filter.	Nenhum gate combina com esta busca e este filtro.
Refreshing current TikTok cache...	Atualizando o cache atual do TikTok...
Loaded current values. Loading all known gates...	Valores atuais carregados. Carregando todos os gates conhecidos...
Current cache unavailable: %1$s	O cache atual não está disponível: %1$s
Gate data unavailable	Dados dos gates não disponíveis
No gate data is available. Refresh values from the menu to try again.	Não há dados dos gates. Atualize os valores pelo menu para tentar de novo.
Filter: %1$s	Filtro: %1$s
Show gates	Mostrar gates
1 gate selected	1 gate selecionado
%1$d gates selected	%1$d gates selecionados
Preview shortened. Save JSON includes the full report.	Prévia encurtada. Salvar JSON traz o relatório inteiro.
Choose a preset to fill the SIM details.	Escolha uma predefinição para preencher os dados do SIM.
Search countries or operators	Buscar países ou operadoras
Only bottom tabs TikTok has loaded on this device are shown here. This does not force unavailable tabs to appear.	Aqui só aparecem as abas de baixo que o TikTok carregou neste aparelho. Isto não faz aparecer as que não estão disponíveis.
Only tabs TikTok has loaded on this device are shown here. This does not force unavailable tabs to appear.	Aqui só aparecem as abas que o TikTok carregou neste aparelho. Isto não faz aparecer as que não estão disponíveis.
Required	Obrigatório
Search share actions	Buscar ações de compartilhamento
Search the comments	Buscar nos comentários
Search these comments	Buscar nestes comentários
Search translated titles and descriptions, then open the original setting.	Buscar entre os títulos e descrições traduzidos e depois abrir a configuração original.
Search without personalization, whatever your account is set to.	Buscar sem personalização, seja qual for a configuração da sua conta.
Seconds. Zero keeps every length. If a whole batch would be filtered out, the video closest to your limit is kept so the feed is not empty.	Segundos. Zero aceita qualquer duração. Se um lote inteiro fosse filtrado, o vídeo mais perto do seu limite fica para o feed não ficar vazio.
Seek by	Avançar
Seek from the edges	Avançar pelas bordas
Seen video history cleared. Tap again to put it back.	Histórico de vídeos vistos limpo. Toque de novo para trazer de volta.
Seen video history put back	Histórico de vídeos vistos de volta
Seen videos	Vídeos vistos
Send links to another app	Mandar os links para outro app
Sending feedback	Enviando feedback
Series posts	Publicações de Séries
Settings	Configurações
Settings backup saved	Backup das configurações salvo
Settings restored. Restart TikTok to apply all changes.	Configurações restauradas. Reinicie o TikTok para aplicar todas as mudanças.
Settings restored. The Feature Gate Lab rules were for another TikTok version and were left out. Restart TikTok to apply all changes.	Configurações restauradas. As regras do Laboratório de gates eram de outra versão do TikTok e ficaram de fora. Reinicie o TikTok para aplicar todas as mudanças.
The last change is undone. The Feature Gate Lab rules were for another TikTok version and were left out. Restart TikTok to apply all changes.	A última mudança foi desfeita. As regras do Laboratório de gates eram de outra versão do TikTok e ficaram de fora. Reinicie o TikTok para aplicar todas as mudanças.
Share action checklist	Lista de ações de compartilhamento
Share links through another host	Compartilhar os links por outro host
Share sheet	Folha de compartilhamento
Shop posts	Publicações da loja
Show @username beside a video instead of the display name the creator chose.	Mostrar @usuário ao lado do vídeo em vez do nome de exibição que o criador escolheu.
Show LIVE search	Mostrar a busca do LIVE
Show TikTok's own progress bar on videos where it is normally hidden.	Mostrar a barra de progresso do TikTok nos vídeos onde ela normalmente fica escondida.
Show TikTok's own sort sheet on every post, with its hot, newest, media and creator options, instead of whichever cut-down row your account was given. Restart TikTok to apply this: it reads the style once per run and remembers it.	Mostrar a folha de ordenação do TikTok em todas as publicações, com as opções de populares, mais recentes, mídia e criador, em vez da linha reduzida que a sua conta recebeu. Reinicie o TikTok para aplicar: ele lê o estilo uma vez por execução e guarda.
Show TikTok's search entry in the LIVE drawer where supported.	Mostrar a entrada de busca do TikTok na gaveta do LIVE onde houver suporte.
Show a video preview thumbnail while dragging the progress bar.	Mostrar uma miniatura do vídeo enquanto você arrasta a barra de progresso.
Show block button on videos	Mostrar o botão de bloquear nos vídeos
Show the progress bar	Mostrar a barra de progresso
Show the progress bar thumbnail	Mostrar a miniatura da barra de progresso
Show the country a video was posted from next to the creator's name.	Mostrar o país de onde o vídeo foi publicado ao lado do nome do criador.
Show the current spoken caption while the other controls are hidden.	Mostrar a legenda que está sendo falada enquanto os outros controles estão escondidos.
Show the handle instead of the name	Mostrar o nome de usuário em vez do nome
Show the whole Activity and New followers lists instead of stopping at a View all button.	Mostrar as listas completas de Atividade e Novos seguidores em vez de parar num botão de Ver tudo.
Show the whole video instead of cropping it to the window. Nothing changes on a tall phone, where it already fits. On a folding phone opened up, a squarer screen or a split view the sides or the ends stop being cut off.	Mostrar o vídeo inteiro em vez de cortá-lo para a janela. Num celular alto nada muda, porque já cabe. Num dobrável aberto, numa tela mais quadrada ou numa tela dividida, as laterais ou as pontas deixam de ser cortadas.
Show where a video was posted	Mostrar de onde o vídeo foi publicado
Showing %1$s again	Mostrando %1$s de novo
Skip blocked sounds	Pular os sons bloqueados
Skip content warnings	Pular os avisos de conteúdo
Skip recorded LIVE broadcasts in the feed.	Pular no feed as transmissões LIVE gravadas.
Skip videos marked as using promotional music.	Pular os vídeos marcados como usando música promocional.
Skip videos that use a sound blocked with the player's sound button, or named below.	Pular os vídeos que usam um som bloqueado pelo botão de som do player, ou citado abaixo.
Skipping videos with %1$s	Pulando os vídeos com %1$s
Something is missing from %1$s. Tap for the whole report.	Falta alguma coisa em %1$s. Toque para ver o relatório inteiro.
Sound link copied	Link do som copiado
Sound saved to %1$s	Som salvo em %1$s
Source code and releases	Código-fonte e versões
Speed menu choices	Opções do menu de velocidade
Split comment minimum width	Largura mínima para os comentários ao lado
Start each new video at your default. A manual choice lasts until the video changes.	Começar cada vídeo novo na sua velocidade padrão. Uma escolha manual dura até o vídeo mudar.
Start feature gate recording	Começar a gravar os gates
Start the day at	Começar o dia às
Start today over	Recomeçar o dia de hoje
Sticker	Sticker
Sticker destination	Destino dos stickers
Sticker saved as %1$s	Sticker salvo como %1$s
Still here. Nothing is waiting.	Você ainda está aqui. Nada está esperando.
Still reading the record. Tap again in a moment.	O registro ainda está sendo lido. Toque de novo daqui a pouco.
Still saving the last one	O anterior ainda está sendo salvo
Stop ByteDance AppLog events, AppsFlyer attribution, explicit Firebase screen reports and crash reporting from being sent. TikTok's own diagnostics go quiet with them.	Impedir o envio dos eventos AppLog da ByteDance, da atribuição do AppsFlyer, dos relatórios explícitos de tela do Firebase e dos relatórios de falha. Os diagnósticos do próprio TikTok se calam junto.
Stop TikTok asking the screen to run at the frame rate of the video it is playing. On a 90 or 120 Hz phone that ask slows the whole app down to the video's rate, scrolling included.	Impedir que o TikTok peça à tela para rodar na taxa de quadros do vídeo que está tocando. Num celular de 90 ou 120 Hz esse pedido derruba o app inteiro para a taxa do vídeo, inclusive a rolagem.
Stop TikTok reporting that you viewed a story or a profile, or that you are typing. Online status is unchanged. It cannot undo what the server has already recorded.	Impede que o TikTok informe que você viu um story ou um perfil, ou que está digitando. O status on-line não muda. Não dá para desfazer o que o servidor já registrou.
Stop feature gate recording	Parar de gravar os gates
Stop the brand animation that plays over the comments when what someone typed matches an advertiser's trigger.	Parar a animação de marca que aparece sobre os comentários quando o que alguém escreveu bate com o gatilho de um anunciante.
Stop video looping	Parar a repetição dos vídeos
Stop videos at the end instead of replaying them.	Parar os vídeos no fim em vez de tocá-los de novo.
Storage permission is needed to save a sound	É preciso permissão de armazenamento para salvar um som
Storage permission is needed to save a story	É preciso permissão de armazenamento para salvar um story
Storage permission is needed to save a profile picture	É preciso permissão de armazenamento para salvar uma foto de perfil
Stories	Stories
Story saved to %1$s	Story salvo em %1$s
Subtitle language	Idioma das legendas
Take away the streak button in a chat and the reminder message that goes with it.	Tirar o botão de sequência de um chat e a mensagem de lembrete que vem com ele.
Tap %1$s again to send	Toque em %1$s de novo para enviar
Tap again to follow	Toque de novo para seguir
Tap again to like	Toque de novo para curtir
Tap the feed Follow button twice within four seconds.	Toque no botão Seguir do feed duas vezes dentro de quatro segundos.
Tap the like heart twice within four seconds. Removing a like stays immediate.	Toque no coração de curtir duas vezes dentro de quatro segundos. Tirar uma curtida continua sendo imediato.
Tap to start the feed	Toque para iniciar o feed
That backup was written by a newer Hushfeed than this one. Nothing was altered.	Esse backup foi escrito por um Hushfeed mais novo que este. Nada foi alterado.
That creator is already in the list	Esse criador já está na lista
That file is not readable text, so it may have been damaged in transit. Nothing was altered.	Esse arquivo não é texto legível, então pode ter se danificado no caminho. Nada foi alterado.
That file is too large to be a settings backup. Nothing was altered.	Esse arquivo é grande demais para ser um backup de configurações. Nada foi alterado.
That is %1$d minutes today	Isso dá %1$d minutos hoje
That is %1$d videos today	Isso dá %1$d vídeos hoje
That is not a Hushfeed settings backup. Nothing was altered.	Isso não é um backup de configurações do Hushfeed. Nada foi alterado.
That is not an app name. Try something like com.example.downloader, or leave the box empty to keep saving in TikTok.	Isso não é um nome de app. Tente algo como com.example.downloader, ou deixe o campo vazio para continuar salvando no TikTok.
That is one minute today	Isso dá um minuto hoje
That is one video today	Isso dá um vídeo hoje
That settings backup holds a value Hushfeed cannot read. Nothing was altered.	Esse backup tem um valor que o Hushfeed não consegue ler. Nada foi alterado.
That settings backup holds more Feature Gate Lab rules than the Lab takes. Nothing was altered.	Esse backup de configurações tem mais regras do Feature Gate Lab do que o Lab aceita. Nada foi alterado.
That settings backup is damaged or only partly downloaded. Nothing was altered.	Esse backup está danificado ou só foi baixado em parte. Nada foi alterado.
That settings backup is incomplete, so it may have been cut short. Nothing was altered.	Esse backup está incompleto, então pode ter sido cortado. Nada foi alterado.
That settings change did not go through. Nothing was altered.	Essa mudança de configuração não chegou a valer. Nada foi alterado.
That sticker is in a format Hushfeed cannot read	Esse sticker está num formato que o Hushfeed não consegue ler
The destination contains an invalid folder name	O destino tem um nome de pasta inválido
The feed does not end. This is a fine time to leave it.	O feed não acaba. Esta é uma boa hora para largá-lo.
The feed is open again	O feed está aberto de novo
This phone has no file picker, so there is no way to choose a file here.	Este celular não tem seletor de arquivos, então não dá para escolher um aqui.
The minimum or maximum comments on a video to show.	O mínimo ou o máximo de comentários que um vídeo precisa ter para aparecer.
The minimum or maximum favorites of a video to show.	O mínimo ou o máximo de favoritos que um vídeo precisa ter para aparecer.
The minimum or maximum likes of a video to show.	O mínimo ou o máximo de curtidas que um vídeo precisa ter para aparecer.
The minimum or maximum shares of a video to show.	O mínimo ou o máximo de compartilhamentos que um vídeo precisa ter para aparecer.
The minimum or maximum views of a video to show.	O mínimo ou o máximo de visualizações que um vídeo precisa ter para aparecer.
The original photos aren't available, so TikTok's own save runs instead	As fotos originais não estão disponíveis, então o salvamento do próprio TikTok é usado
The profile picture couldn't be saved.	Não foi possível salvar a foto de perfil.
The report couldn't be saved. Try again.	Não foi possível salvar o relatório. Tente de novo.
The settings backup was rejected. Nothing was altered.	O backup das configurações foi recusado. Nada foi alterado.
The smallest value is above the largest	O valor mínimo está acima do máximo
The sound couldn't be saved. Try again.	Não foi possível salvar o som. Tente de novo.
The sticker couldn't be saved. Try again.	Não foi possível salvar o sticker. Tente de novo.
The story couldn't be saved.	Não foi possível salvar o story.
The thumbs down on each comment blocks the account that posted it instead of disliking. The comment dims, an undo banner follows, and a second tap unblocks.	O joinha para baixo de cada comentário bloqueia a conta que o publicou em vez de descurtir. O comentário escurece, aparece um aviso para desfazer, e um segundo toque desbloqueia.
The video couldn't be saved. Try again, or choose Automatic.	Não foi possível salvar o vídeo. Tente de novo, ou escolha Automático.
There was nothing to put back	Não havia nada para trazer de volta
This line opens a rule and does not finish it: %1$s. Write two phrases as "a" & "b" for both, or "a" !& "b" for the first without the second.	Esta linha abre uma regra e não a fecha: %1$s. Escreva duas frases como "a" & "b" para pedir as duas, ou "a" !& "b" para a primeira sem a segunda.
This profile picture isn't available to save	Esta foto de perfil não está disponível para salvar
This quality isn't available as a complete file, so TikTok's own save runs instead	Esta qualidade não está disponível como arquivo completo, então o salvamento do próprio TikTok é usado
This story isn't available to save	Este story não está disponível para salvar
This video has no link to copy	Este vídeo não tem link para copiar
This video has no link to send, so TikTok's own save runs instead	Este vídeo não tem link para mandar, então o salvamento do próprio TikTok é usado
This video has no original sound to save	Este vídeo não tem som original para salvar
This video has no sound of its own	Este vídeo não tem som próprio
Thumbs down blocks the commenter	O joinha para baixo bloqueia quem comentou
TikTok default	Padrão do TikTok
TikTok default (2x hold, quick share)	Padrão do TikTok (segurar para 2x, compartilhamento rápido)
TikTok didn't accept the feedback. Try again later.	O TikTok não aceitou o feedback. Tente mais tarde.
TikTok refused the follow: %1$s	O TikTok recusou o seguir: %1$s
Times you can open the feed anyway	Vezes que você pode abrir o feed mesmo assim
Today has moved on, so there is nothing to put back	O dia já andou, então não há nada para trazer de volta
Today is back where it was	Hoje está como estava
Today starts again	Hoje começa de novo
Today's budget is locked. The day starts over at %1$s.	O limite de hoje está travado. O dia recomeça às %1$s.
Today started over. Tap again to put the counts back.	Hoje recomeçou. Toque de novo para trazer as contagens de volta.
Today's budget is locked. The feed opens again at %1$s. Messages, profiles and search still work.	O limite de hoje está travado. O feed abre de novo às %1$s. As mensagens, os perfis e a busca continuam funcionando.
Today's budget is locked. This can be changed again at %1$s.	O limite de hoje está travado. Isto poderá ser mudado de novo às %1$s.
Today: %1$d minute	Hoje: %1$d minuto
Today: %1$d minutes	Hoje: %1$d minutos
Today: %1$d video	Hoje: %1$d vídeo
Today: %1$d videos	Hoje: %1$d vídeos
Tokens: {creator}, {date}, {video_id}, {index}. {index} numbers the photos of a slideshow you save with Download original photos; anything saved through TikTok's own button is numbered by the folder instead. The file extension is kept automatically.	Curingas: {creator}, {date}, {video_id}, {index}. {index} numera as fotos de uma apresentação salva com Baixar as fotos originais; o que for salvo pelo botão do próprio TikTok é numerado pela pasta. A extensão do arquivo é mantida automaticamente.
Tokens: {creator}, {date}, {video_id}. The file extension is kept automatically.	Curingas: {creator}, {date}, {video_id}. A extensão do arquivo é mantida automaticamente.
Tokens: {date}, {media_id}. Works for image and video stickers.	Curingas: {date}, {media_id}. Serve para os stickers de imagem e de vídeo.
Too many media saves are already running. Try again shortly.	Muitos salvamentos de mídia já estão em andamento. Tente daqui a pouco.
Translate comments as they load, using TikTok's own translator.	Traduzir os comentários conforme eles carregam, com o tradutor do próprio TikTok.
Transparent	Transparente
Try a country name, or a two-letter code	Tente o nome de um país, ou um código de duas letras
Try a different word or clear the search.	Tente outra palavra ou limpe a busca.
Two letters, like us, gb or jp.	Duas letras, como us, gb ou jp.
Type to search settings	Digite para buscar nas configurações
Unblock this commenter	Desbloquear quem comentou
Unblocked %1$s	%1$s desbloqueado
Undo	Desfazer
Undo last restore or reset	Desfazer a última restauração ou redefinição
Up to 8 speeds from 0.5 to 3, separated by commas. Example: 0.5, 1, 1.5, 2, 2.5, 3. Leave empty for TikTok's list. Restart TikTok to apply this.	Até 8 velocidades de 0.5 a 3, separadas por vírgula. Por exemplo: 0.5, 1, 1.5, 2, 2.5, 3. Deixe vazio para a lista do TikTok. Reinicie o TikTok para aplicar.
Use 0 for TikTok's size, or 12 to 48. Applies to the next caption.	Use 0 para o tamanho do TikTok, ou de 12 a 48. Vale para a próxima legenda.
Use Save JSON for this large report	Use Salvar JSON para este relatório grande
Use TikTok's native hold, slide down, and release gesture to lock 2x speed.	Usar o gesto nativo do TikTok de segurar, deslizar para baixo e soltar para travar a velocidade 2x.
Use a default playback speed	Usar uma velocidade de reprodução padrão
Use non-personalized search	Usar a busca sem personalização
Use the selected country and operator values. Restart TikTok to apply this.	Usar o país e os valores de operadora selecionados. Reinicie o TikTok para aplicar.
Use the selected country. Restart TikTok to apply this.	Usar o país selecionado. Reinicie o TikTok para aplicar.
Use the split layout on wider screens. Restart TikTok to apply this, or unfold again if the old layout is still there.	Usar o layout dividido em telas mais largas. Reinicie o TikTok para aplicar, ou desdobre de novo se o layout antigo ainda estiver lá.
Verified creators	Criadores verificados
Video	Vídeo
Video (MP4)	Vídeo (MP4)
Video destination	Destino dos vídeos
Video download quality	Qualidade de download do vídeo
Video filename	Nome do arquivo do vídeo
Video playback quality	Qualidade de reprodução do vídeo
Video saved	Vídeo salvo
