%1$d already matched	%1$d tanesi zaten eşleşiyor
%1$d areas were checked and everything they need is here.	%1$d alan kontrol edildi ve ihtiyaç duydukları her şey burada.
%1$d fields overridden	%1$d alan geçersiz kılındı
%1$d fields will be overridden when requested	İstendiğinde %1$d alan geçersiz kılınacak
%1$d gates selected	%1$d özellik kapısı seçildi
%1$d minutes left	%1$d dakika kaldı
%1$d rejected	%1$d reddedildi
%1$d results	%1$d sonuç
%1$d results so far	Şimdiye kadar %1$d sonuç
%1$d results so far, and more not counted	Şimdiye kadar %1$d sonuç, sayılmayan başkaları da var
%1$d results, filtered to %2$s	%1$d sonuç, filtre: %2$s
%1$d setting was not in that file and was left as it is	%1$d ayar o dosyada yoktu ve olduğu gibi bırakıldı
%1$d settings were not in that file and were left as they are	%1$d ayar o dosyada yoktu ve oldukları gibi bırakıldı
%1$d unavailable	%1$d kullanılamıyor
%1$s (%2$s)	%1$s (%2$s)
%1$s (TikTok value)	%1$s (TikTok değeri)
%1$s (custom, unverified)	%1$s (özel, doğrulanmamış)
%1$s (override returned)	%1$s (geçersiz kılma döndürüldü)
%1$s (will be returned when requested)	%1$s (istendiğinde döndürülecek)
%1$s / current cache only	%1$s / yalnızca mevcut önbellek
%1$s / generated registry	%1$s / oluşturulmuş kayıt defteri
%1$s / generated registry and current cache	%1$s / oluşturulmuş kayıt defteri ve mevcut önbellek
%1$s / local catalog	%1$s / yerel katalog
%1$s and above	%1$s ve üzeri
%1$s appears more than once in this file.	%1$s bu dosyada birden fazla kez geçiyor.
%1$s changed	%1$s değişti
%1$s destinations must start with %2$s	%1$s hedefleri %2$s ile başlamalı
%1$s has an invalid value. %2$s	%1$s değeri geçersiz. %2$s
%1$s is a kind of value the Lab cannot override.	%1$s, Lab'in geçersiz kılamayacağı bir değer türü.
%1$s has type %2$s, but the file says %3$s.	%1$s türü %2$s, ama dosyada %3$s yazıyor.
%1$s is already hidden	%1$s zaten gizli
%1$s is not a country code, so no video would ever match it. Use two letters, like GB, IE or US.	%1$s bir ülke kodu değil, bu yüzden hiçbir video onunla eşleşmez. GB, IE veya US gibi iki harf kullan.
%1$s is not in this Lab catalog.	%1$s bu Lab kataloğunda yok.
%1$s isn't installed or doesn't take links	%1$s yüklü değil veya bağlantı kabul etmiyor
%1$s left	%1$s kaldı
%1$s min left	%1$s dk kaldı
%1$s to %2$s	%1$s ile %2$s arası
%1$s videos left	%1$s video kaldı
%1$s was rejected. %2$s	%1$s reddedildi. %2$s
%1$s, %2$s, %3$s, %4$s, %5$s	%1$s, %2$s, %3$s, %4$s, %5$s
%1$s, selected	%1$s, seçili
%1$s. %2$s	%1$s. %2$s
%1$s: %2$d found, %3$d missing	%1$s: %2$d bulundu, %3$d eksik
%1$s: %2$d found, %3$d missing, and more it stopped counting	%1$s: %2$d bulundu, %3$d eksik, daha fazlası da var ama saymayı bıraktı
%1$s: %2$d found, %3$d missing, and more it stopped counting. First missing: %4$s	%1$s: %2$d bulundu, %3$d eksik, daha fazlası da var ama saymayı bıraktı. İlk eksik: %4$s
%1$s: %2$d found, %3$d missing. First missing: %4$s	%1$s: %2$d bulundu, %3$d eksik. İlk eksik: %4$s
%1$s: %2$s	%1$s: %2$s
1 field overridden	1 alan geçersiz kılındı
Hide the notification saying somebody new followed you before it reaches the drawer. Every other notification is left alone, and the follower still appears in the Inbox.	Birinin seni takip etmeye başladığını söyleyen bildirimi bildirim paneline ulaşmadan gizle. Diğer tüm bildirimlere dokunulmaz ve takipçi yine Gelen Kutusu'nda görünür.
Each area, how many of the things it looks for are in this build and how many are not.	Her alan için, aradığı şeylerden kaçının bu sürümde bulunduğu ve kaçının bulunmadığı.
Easier comment likes	Daha kolay yorum beğenme
Empty	Boş
Empty the menu that opens when you press and hold TikTok's icon on the home screen. Turning this off asks TikTok to build them again. Tapping the icon still opens the app, and a shortcut you pinned yourself stays where you put it.	Ana ekranda TikTok simgesine basılı tuttuğunda açılan menüyü boşalt. Bunu kapatırsan TikTok'tan kısayolları yeniden oluşturması istenir. Simgeye dokunmak yine uygulamayı açar ve kendi sabitlediğin bir kısayol koyduğun yerde kalır.
Enable	Etkinleştir
Log diagnostics	Tanılamayı günlüğe kaydet
Lock the hold speed with a pull down	Basılı tutma hızını aşağı çekerek kilitle
Apply overrides	Geçersiz kılmaları uygula
Enabled	Etkin
Enter a JSON object or array.	Bir JSON nesnesi veya dizisi gir.
Enter a creator handle or id	İçerik üreticisinin kullanıcı adını veya kimliğini gir
Enter a finite number.	Sonlu bir sayı gir.
Enter a number	Bir sayı gir
Enter a number.	Bir sayı gir.
Enter a valid structured value.	Geçerli bir yapılandırılmış değer gir.
Enter a valid two-letter country code	Geçerli bir iki harfli ülke kodu gir
Enter a whole number, or one like 20K, 1.5M or 2B	Bir tam sayı ya da 20K, 1.5M veya 2B gibi bir değer gir
Enter a whole number.	Bir tam sayı gir.
Enter true or false.	true veya false gir.
Enter up to %1$d comma-separated speeds from %2$s to %3$s	%2$s ile %3$s arasında, virgülle ayrılmış en fazla %1$d hız gir
Enter valid JSON.	Geçerli bir JSON gir.
Entry %1$d has a field with the wrong data type.	%1$d numaralı girdide veri türü yanlış olan bir alan var.
Entry %1$d is not an object.	%1$d numaralı girdi bir nesne değil.
Errors	Hatalar
Expand activity list	Etkinlik listesini genişlet
Explore	Keşfet
Export diagnostic report	Tanılama raporunu dışa aktar
Export loaded values	Yüklenen değerleri dışa aktar
Exported %1$d loaded values	%1$d yüklenen değer dışa aktarıldı
Exported 1 loaded value	1 yüklenen değer dışa aktarıldı
Extend the heart's touch area into nearby blank space. The icon and row spacing stay the same. Text, Reply and other controls keep their own space.	Kalbin dokunma alanını yakındaki boş alana doğru genişlet. Simge ve satır aralığı aynı kalır. Metin, Yanıtla ve diğer kontroller kendi alanlarını korur.
Fade the feed out before the hold	Bekletmeden önce akışı yavaşça karart
Feature Gate Lab	Feature Gate Lab
Feature gate override reset	Özellik kapısı geçersiz kılması sıfırlandı
Feature gate override saved	Özellik kapısı geçersiz kılması kaydedildi
Feed and navigation	Akış ve gezinme
Feed button size	Akış düğmesi boyutu
Feed filter	Akış filtresi
Feed screen	Akış ekranı
Feed tabs	Akış sekmeleri
Feed tabs to keep	Kalacak akış sekmeleri
Field %1$s can't be changed on this build. Take it out of the override, or reset the override.	%1$s alanı bu sürümde değiştirilemez. Onu geçersiz kılmadan çıkar veya geçersiz kılmayı sıfırla.
Field edits were discarded	Alan düzenlemelerinden vazgeçildi
Field edits were not saved	Alan düzenlemeleri kaydedilmedi
Files	Dosyalar
Filter bottom tabs	Alt sekmeleri filtrele
Filter comments by keyword	Yorumları anahtar kelimeye göre filtrele
Filter feed tabs	Akış sekmelerini filtrele
Filter location-tagged videos	Konum etiketli videoları filtrele
Filter TikTok's offline videos	TikTok'un çevrimdışı videolarını filtrele
Filter settings	Filtre ayarları
Filter the list	Listeyi filtrele
Filter: %1$s	Filtre: %1$s
Filters, translation and copy options	Filtreler, çeviri ve kopyalama seçenekleri
Find a setting by name or description	Ada veya açıklamaya göre ayar bul
First caller	İlk çağıran
First rejection:	İlk ret:
Fit the video to the screen	Videoyu ekrana sığdır
Fill the screen with the video	Ekranı videoyla doldur
Crop the video until it covers the whole window. On a tall phone the black strip TikTok leaves under a video goes and so does a little of each side.	Video tüm pencereyi kaplayana kadar kırpılır. Uzun bir telefonda TikTok'un videonun altında bıraktığı siyah şerit kaybolur ve her kenardan biraz da onunla gider.
Focus	Odak
Follow probe	Takip yoklaması
Following	Takip Edilenler
For You	Senin İçin
For com.deniscerri.ytdl only. Ask YTDLnis for audio or video when the save button hands it a link.	Yalnızca com.deniscerri.ytdl için. Kaydet düğmesi bir bağlantı aktardığında YTDLnis'ten ses veya video iste.
For com.deniscerri.ytdl only. Hide its download card and start the handoff in the background.	Yalnızca com.deniscerri.ytdl için. İndirme kartını gizle ve aktarımı arka planda başlat.
Forced %1$d gates of %2$d. The rest do not take a true or false value. Restart TikTok to apply this.	%1$d / %2$d kapı zorlandı. Geri kalanı true veya false değeri almıyor. Uygulamak için TikTok'u yeniden başlat.
Forced %1$d gates. Restart TikTok to apply this.	%1$d kapı zorlandı. Uygulamak için TikTok'u yeniden başlat.
Forced 1 gate of %2$d. The rest do not take a true or false value. Restart TikTok to apply this.	1 / %2$d kapı zorlandı. Geri kalanı true veya false değeri almıyor. Uygulamak için TikTok'u yeniden başlat.
Forced 1 gate. Restart TikTok to apply this.	1 kapı zorlandı. Uygulamak için TikTok'u yeniden başlat.
Forced result	Zorlanan sonuç
Forget seen videos after	Görülen videoları şu süreden sonra unut
Forget the %1$s seen videos.	Görülen %1$s videoyu unut.
Forget what has been counted today and end any hold. The budgets themselves are left alone.	Bugün sayılanları unut ve varsa bekletmeyi bitir. Bütçelerin kendisine dokunulmaz.
Friends	Arkadaşlar
Full comment sort options	Tüm yorum sıralama seçenekleri
Full license	Lisansın tamamı
Full report saved to %1$s	Tam rapor şuraya kaydedildi: %1$s
GIF	GIF
Gate data unavailable	Kapı verileri kullanılamıyor
Gate details	Kapı ayrıntıları
Generated defaults	Oluşturulan varsayılanlar
Gestures	Hareketler
Ghost mode	Hayalet modu
Hand-off	Aktarım
Handle or id	Kullanıcı adı veya kimlik
Hidden %1$s on this phone	%1$s bu telefonda gizlendi
Hidden commenters	Gizlenen yorumcular
Blocked and hidden creators	Engellenen ve gizlenen içerik üreticileri
Hidden: %1$s	Gizlenen: %1$s
Hide	Gizle
Hide AI-generated videos	Yapay zeka ile üretilmiş videoları gizle
Hide CAPTCHA popups	CAPTCHA pencerelerini gizle
Hide LIVE replays	CANLI tekrarlarını gizle
Hide LIVE videos	CANLI videolarını gizle
Hide LIVE videos from the feed.	CANLI videolarını akıştan gizle.
Hide Search this image prompts	Bu görseli ara istemlerini gizle
Hide Series	Serileri gizle
Hide TikTok Shop	TikTok Shop'u gizle
Hide TikTok Shop posts from the feed.	TikTok Shop gönderilerini akıştan gizle.
Shop order updates and coupon messages no longer take up rows in the Inbox. Your orders are unchanged.	Mağaza sipariş güncellemeleri ve kupon mesajları artık Gelen Kutusu'nda satır kaplamaz. Siparişlerin değişmez.
Hide TikTok's "Search: ..." banner above the comment count. This doesn't hide the comments or Hushfeed's comment-search box.	Yorum sayısının üzerindeki TikTok'un "Ara: ..." bandını gizle. Bu, yorumları veya Hushfeed'in yorum arama kutusunu gizlemez.
Hide the quick emoji row and automatic sticker suggestions that appear while you type. The emoji and sticker buttons still work.	Yazarken görünen hızlı emoji satırını ve otomatik çıkartma önerilerini gizle. Emoji ve çıkartma düğmeleri çalışmaya devam eder.
Hide activity	Etkinliği gizle
Hide activity status	Etkinlik durumunu gizle
Hide ads, Shop posts, LIVE videos and replays, promotional music, and paid partnerships.	Reklamları, Mağaza gönderilerini, CANLI videolarını ve tekrarlarını, tanıtım amaçlı müzikleri ve ücretli ortaklıkları gizle.
Hide archive	Arşivi gizle
Hide bottom tabs TikTok adds later unless you allow them.	TikTok'un sonradan eklediği alt sekmeleri, sen izin vermedikçe gizle.
Hide the CAPTCHA dialogs raised while you browse or watch LIVE. Login, account verification and any CAPTCHA raised over a follow, like, comment or repost stay visible.	Gezinirken veya CANLI izlerken çıkan CAPTCHA pencerelerini gizle. Giriş, hesap doğrulama ve bir takip, beğeni, yorum veya yeniden yayınlama yüzünden çıkan CAPTCHA'lar görünür kalır.
Hide buttons in the right column	Sağ sütundaki düğmeleri gizle
Hide comment polls	Yorum anketlerini gizle
Show poll results before voting	Oylamadan önce anket sonuçlarını göster
A comment poll shows how many picked each answer before you vote. Tapping an answer still votes.	Yorum anketi, sen oy vermeden önce her cevabı kaç kişinin seçtiğini gösterir. Bir cevaba dokunmak yine oy verir.
Hide comment popup ads	Yorumlardaki açılır reklamları gizle
Hide comments made of an image or a sticker instead of words.	Kelimeler yerine bir görselden veya çıkartmadan oluşan yorumları gizle.
Hide comments that contain any of the words below, or that come from the accounts below.	Aşağıdaki kelimelerden herhangi birini içeren veya aşağıdaki hesaplardan gelen yorumları gizle.
Hide controls after each video starts. Tap to restore them.	Her video başladıktan sonra kontrolleri gizle. Geri getirmek için dokun.
Hide conversations	Sohbetleri gizle
Hide every direct message conversation. Leaves the Inbox empty apart from whatever else is still turned on.	Tüm direkt mesaj sohbetlerini gizle. Hâlâ açık olan diğer şeyler dışında Gelen Kutusu boş kalır.
Hide floating promotion badges, coins, and timer banners on the feed.	Akıştaki yüzen promosyon rozetlerini, jetonları ve sayaç bantlarını gizle.
Hide floating promotions	Yüzen promosyonları gizle
Hide inserted cards	Araya eklenen kartları gizle
Hide location labels	Konum etiketlerini gizle
Hide message requests	Mesaj isteklerini gizle
Hide message streaks	Mesajlaşma serilerini gizle
Hide new follower notifications	Yeni takipçi bildirimlerini gizle
Hide new followers	Yeni takipçileri gizle
Hide paid partnerships	Ücretli ortaklıkları gizle
Hide people and options by name	Kişileri ve seçenekleri ada göre gizle
Hide photo posts	Fotoğraf gönderilerini gizle
Hide photo posts from the feed.	Fotoğraf gönderilerini akıştan gizle.
Hide picture comments	Görselli yorumları gizle
Hide place badges on videos, including cards with multiple places. Videos and your location permissions stay unchanged.	Videolardaki yer rozetlerini, birden fazla yer içeren kartlar dahil gizle. Videolar ve konum izinlerin değişmez.
Hide playlist videos	Oynatma listesi videolarını gizle
Hide promotional music	Tanıtım amaçlı müzikleri gizle
Hide comment typing suggestions	Yorum yazma önerilerini gizle
Hide recommended searches before you type on TikTok's search page. Your search history stays. This doesn't hide suggestions above comments.	TikTok'un arama sayfasında sen yazmadan önce çıkan önerilen aramaları gizle. Arama geçmişin kalır. Bu, yorumların üzerindeki önerileri gizlemez.
Hide rows by title	Satırları başlığa göre gizle
Hide search rewards	Arama ödüllerini gizle
Hide search suggestions above comments	Yorumların üzerindeki arama önerilerini gizle
Hide share actions	Paylaşım eylemlerini gizle
Hide sharing apps	Paylaşım uygulamalarını gizle
Hide stories	Hikayeleri gizle
Hide stories from the feed.	Hikayeleri akıştan gizle.
Hide stories tray	Hikaye şeridini gizle
The accounts TikTok suggests you follow no longer take up rows in the Inbox.	TikTok'un takip etmen için önerdiği hesaplar artık Gelen Kutusu'nda satır kaplamaz.
Hide suggested accounts	Önerilen hesapları gizle
Hide suggestions on the search page	Arama sayfasındaki önerileri gizle
Hide surveys	Anketleri gizle
Hide tabs TikTok adds later unless you allow them.	TikTok'un sonradan eklediği sekmeleri, sen izin vermedikçe gizle.
Hide the "Search this image" prompt shown over videos. The feed search button and suggestions above comments are separate settings.	Videoların üzerinde gösterilen "Bu görseli ara" istemini gizle. Akıştaki arama düğmesi ve yorumların üzerindeki öneriler ayrı ayarlardır.
The Activity row of likes and comments on your posts leaves the Inbox. Notifications about them still arrive.	Gönderilerindeki beğeni ve yorumları gösteren Etkinlik satırı Gelen Kutusu'ndan kalkar. Bunlarla ilgili bildirimler gelmeye devam eder.
The Archive row leaves the Inbox. Archived chats are kept.	Arşiv satırı Gelen Kutusu'ndan kalkar. Arşivlenen sohbetler korunur.
Hide the Full screen button	Tam ekran düğmesini gizle
Hide the Full screen button over videos. Playback and automatic rotation keep working as before.	Videoların üzerindeki Tam ekran düğmesini gizle. Oynatma ve otomatik döndürme eskisi gibi çalışmaya devam eder.
Hide the Inbox search button	Gelen Kutusu arama düğmesini gizle
Hide the LIVE button	CANLI düğmesini gizle
Hide the LIVE button in the top left corner of the feed.	Akışın sol üst köşesindeki CANLI düğmesini gizle.
The Message requests row leaves the Inbox. Requests keep arriving and wait there until you turn this off.	Mesaj istekleri satırı Gelen Kutusu'ndan kalkar. İstekler gelmeye devam eder ve sen bunu kapatana kadar orada bekler.
The New followers row leaves the top of the Inbox. The accounts still follow you.	Yeni takipçiler satırı Gelen Kutusu'nun üstünden kalkar. Hesaplar seni takip etmeye devam eder.
Hide the Report button on videos	Videolardaki Bildir düğmesini gizle
Hide the Send to row	Şuraya gönder satırını gizle
Hide the Tako AI bubble above the profile button, the Ask bar under videos, the Ask Tako button on the search page, the Ask Tako tab on search results and the Tako bar above comments.	Profil düğmesinin üzerindeki Tako AI balonunu, videoların altındaki Sor çubuğunu, arama sayfasındaki Tako'ya Sor düğmesini, arama sonuçlarındaki Tako'ya Sor sekmesini ve yorumların üstündeki Tako çubuğunu gizle.
The Tako assistant's conversation leaves the Inbox list. The Tako bubble on the feed has its own switch under Feed tabs.	Tako asistanıyla olan sohbet Gelen Kutusu listesinden kalkar. Akıştaki Tako balonunun Akış sekmeleri altında kendi anahtarı var.
Hide the Tako bubble	Tako balonunu gizle
Hide the Tako chat	Tako sohbetini gizle
The activity status control leaves the Inbox header. Whether others see you as active is unchanged.	Etkinlik durumu denetimi Gelen Kutusu başlığından kalkar. Başkalarının seni aktif görüp görmemesi değişmez.
Hide the add people icon	Kişi ekle simgesini gizle
The add people icon leaves the Inbox header. Only the shortcut goes, so friend suggestions elsewhere are unchanged.	Kişi ekle simgesi Gelen Kutusu başlığından kalkar. Yalnızca kısayol gider, başka yerlerdeki arkadaş önerileri değişmez.
Hide the caption	Açıklamayı gizle
Hide the description under the creator's name on the feed.	Akışta içerik üreticisinin adının altındaki açıklamayı gizle.
Hide the event badge	Etkinlik rozetini gizle
Hide the flag button TikTok puts above the creator's picture in some regions. You can still report a video from the share menu.	TikTok'un bazı bölgelerde içerik üreticisinin resminin üstüne koyduğu bayrak düğmesini gizle. Bir videoyu paylaşım menüsünden yine bildirebilirsin.
Hide the floating promotional badge over the feed.	Akışın üzerindeki yüzen tanıtım rozetini gizle.
Hide the follow button on the feed	Akıştaki takip et düğmesini gizle
Hide the friend recommendation card and the other cards TikTok slots between videos.	Arkadaş öneri kartını ve TikTok'un videoların arasına yerleştirdiği diğer kartları gizle.
Hide the launcher shortcuts	Başlatıcı kısayollarını gizle
Hide the magnifying glass at the top right of the feed. Search in Inbox and suggestions above comments stay unchanged.	Akışın sağ üstündeki büyüteci gizle. Gelen Kutusu'ndaki arama ve yorumların üzerindeki öneriler değişmez.
Hide the music line	Müzik satırını gizle
Hide the playlist bar	Oynatma listesi çubuğunu gizle
Hide the playlist bar along the bottom of videos that belong to a series.	Bir seriye ait videoların alt kısmındaki oynatma listesi çubuğunu gizle.
Hide the plus button under the creator's picture in the right column. Ticking Avatar and follow button above hides the picture with it.	Sağ sütunda içerik üreticisinin resminin altındaki artı düğmesini gizle. Yukarıdaki Avatar ve takip et düğmesi seçeneğini işaretlersen resim de onunla birlikte gizlenir.
Hide the points banner under the search box and the coin counter floating over search results, which TikTok shows in some regions. Searching works as before.	TikTok'un bazı bölgelerde gösterdiği, arama kutusunun altındaki puan bannerını ve arama sonuçlarının üzerinde duran jeton sayacını gizle. Arama eskisi gibi çalışır.
Hide the purple rewards button beside Add friends on your profile.	Profilinde Arkadaş ekle'nin yanındaki mor ödül düğmesini gizle.
Hide the question cards TikTok slides over a video near its end.	TikTok'un bir videonun sonuna doğru üzerine kaydırdığı soru kartlarını gizle.
Hide the rewards shortcut	Ödül kısayolunu gizle
Hide the right column	Sağ sütunu gizle
The row of story avatars across the top of the Inbox goes. Stories still play from the feed and from profiles.	Gelen Kutusu'nun üst kısmındaki hikaye avatarları satırı kalkar. Hikayeler akıştan ve profillerden oynatılmaya devam eder.
Hide the save button on the feed	Akıştaki kaydet düğmesini gizle
Hide the save button in the right column. Ticking Save in the list above hides it too.	Sağ sütundaki kaydet düğmesini gizle. Yukarıdaki listede Kaydet'i işaretlemek de onu gizler.
Hide the search bar below videos	Videoların altındaki arama çubuğunu gizle
Hide the search button on the feed	Akıştaki arama düğmesini gizle
Hide the tab names above the feed	Akışın üstündeki sekme adlarını gizle
The Following and For You names above the feed go away. Swiping between the feeds and the search button stay as they are.	Akışın üstündeki Takip ettiklerim ve Sana özel adları kaybolur. Akışlar arasında kaydırma ve arama düğmesi olduğu gibi kalır.
Hide the share prompt after a like	Beğeniden sonra çıkan paylaşım istemini gizle
Hide the spinning music cover and the track name beside the caption.	Dönen müzik kapağını ve açıklamanın yanındaki parça adını gizle.
Hide the status bar	Durum çubuğunu gizle
Hide the whole column on the right, from the avatar down to the music disc.	Avatardan müzik diskine kadar sağdaki tüm sütunu gizle.
Hide this creator on this phone	Bu içerik üreticisini bu telefonda gizle
Hide verified accounts	Doğrulanmış hesapları gizle
Hide video actions	Video eylemlerini gizle
Hide videos carrying TikTok's AI-generated label.	TikTok'un yapay zeka ile üretildi etiketini taşıyan videoları gizle.
Hide videos marked as paid partnership or branded content.	Ücretli ortaklık veya markalı içerik olarak işaretlenen videoları gizle.
Hide videos posted as part of a playlist.	Bir oynatma listesinin parçası olarak paylaşılan videoları gizle.
Hide videos posted by verified accounts.	Doğrulanmış hesapların paylaştığı videoları gizle.
Hide videos that belong to a paid Series.	Ücretli bir Seri'ye ait videoları gizle.
Hide videos with a lot of views and few comments. Works the same way as views per like. Zero turns it off.	Görüntülenmesi çok, yorumu az olan videoları gizle. Beğeni başına görüntülenme ile aynı şekilde çalışır. Sıfır bunu kapatır.
Hide videos with a lot of views and few likes. Lower numbers are stricter, zero turns the rule off, and one video is kept back if everything the feed just sent would go.	Görüntülenmesi çok, beğenisi az olan videoları gizle. Düşük sayılar daha katıdır, sıfır kuralı kapatır ve akışın az önce gönderdiği her şey gidecek olursa bir video bırakılır.
Hide videos you have already seen	Daha önce gördüğün videoları gizle
Hide voting cards and poll results above the comments, including polls that have ended.	Yorumların üzerindeki oylama kartlarını ve anket sonuçlarını, sona ermiş anketler dahil gizle.
Hiding	Gizleme
Highest	En yüksek
Historical	Geçmiş
Historical values	Geçmiş değerler
Hold a gate to choose several	Birden fazla seçmek için bir kapıya basılı tut
Hold the feed after the budget	Bütçe dolunca akışı beklet
Home	Ana Sayfa
Hook status	Kanca durumu
How far each edge press moves the video.	Kenara her basışın videoyu ne kadar sardığı.
Hushfeed cannot read the creator pattern %1$s	Hushfeed, %1$s içerik üreticisi kalıbını okuyamıyor
Hushfeed hid a TikTok CAPTCHA. Turn off Hide CAPTCHA popups if something stops working.	Hushfeed bir TikTok CAPTCHA'sını gizledi. Bir şey çalışmazsa CAPTCHA pencerelerini gizle ayarını kapat.
Hushfeed is active	Hushfeed etkin
Ignore the creator's choice so the Duet and Stitch entries appear. Everything else the app checks still applies, and whether the upload is accepted is the server's decision.	Düet ve Stitch seçeneklerinin görünmesi için içerik üreticisinin tercihini yok say. Uygulamanın kontrol ettiği diğer her şey yine geçerlidir ve yüklemenin kabul edilip edilmeyeceğine sunucu karar verir.
Import finished	İçe aktarma tamamlandı
Import loaded values	Yüklenen değerleri içe aktar
Imported %1$d values	%1$d değer içe aktarıldı
Imported %1$d values. Undo last Lab change is in the menu.	%1$d değer içe aktarıldı. Son Lab değişikliğini geri al seçeneği menüde.
Inbox	Gelen Kutusu
Include diagnostic events	Tanılama olaylarını dahil et
Included diagnostics	Dahil edilen tanılama
Includes all diagnostic events.	Tüm tanılama olaylarını içerir.
Includes these events: %1$s	Şu olayları içerir: %1$s
Inserted cards	Araya eklenen kartlar
Keep a local record of what you have watched and hide those videos when the feed sends them again.	İzlediklerinin yerel bir kaydını tut ve akış o videoları yeniden gönderdiğinde onları gizle.
Keep a paused video paused	Duraklatılan videoyu duraklatılmış tut
Keep captions in clear display	Temiz ekranda altyazıları koru
Keep going	Devam et
Keep the Favorites tab	Favoriler sekmesini koru
Keep the clock and status icons off the screen while TikTok is open. Swipe down from the top to peek at them.	TikTok açıkken saati ve durum simgelerini ekrandan uzak tut. Onlara göz atmak için üstten aşağı kaydır.
Keep the screen's refresh rate	Ekranın yenileme hızını koru
Keep the speed you chose for the next video. Off, each new video starts at 1x and a manual choice lasts for that video only.	Seçtiğin hızı sonraki videoda da koru. Kapalıyken her yeni video 1x hızında başlar ve elle yapılan seçim yalnızca o video için geçerli olur.
Keep this string to %1$s characters or fewer.	Bu metni en fazla %1$s karakterle sınırla.
Keep this structured value to %1$s KB or less.	Bu yapılandırılmış değeri en fazla %1$s KB ile sınırla.
Kept to %1$s, the nearest value this row allows	%1$s olarak ayarlandı, bu satırın izin verdiği en yakın değer
Kinds of post	Gönderi türleri
LIVE	CANLI
LIVE replays	CANLI tekrarları
LIVE settings	CANLI ayarları
LIVE share actions	CANLI paylaşım eylemleri
LIVE videos	CANLI videoları
Lab data reset. Undo last Lab change is in the menu. Restart TikTok to apply this.	Lab verileri sıfırlandı. Son Lab değişikliğini geri al seçeneği menüde. Uygulamak için TikTok'u yeniden başlat.
Lab data was over its rule limit, so it was cleared without an undo copy. Restart TikTok to apply this.	Lab verileri kural sınırını aştığı için geri alma kopyası olmadan temizlendi. Uygulamak için TikTok'u yeniden başlat.
Lab overrides reset. Undo last Lab change is in the menu. Restart TikTok to apply this.	Lab geçersiz kılmaları sıfırlandı. Son Lab değişikliğini geri al seçeneği menüde. Uygulamak için TikTok'u yeniden başlat.
Larger (1.25x)	Daha büyük (1.25x)
Last original value	Son özgün değer
Last recording: %1$d gates.	Son kayıt: %1$d kapı.
Last recording: 1 gate.	Son kayıt: 1 kapı.
Layout	Düzen
Layout, player, search and system	Düzen, oynatıcı, arama ve sistem
Leave maximum empty to keep it unlimited.	Sınırsız kalması için maksimumu boş bırak.
Leave the sound out of the saved video. Save the sound as well still writes the .m4a beside it if you want both.	Sesi kaydedilen videonun dışında bırak. İkisini de istersen Sesi de kaydet seçeneği .m4a dosyasını yine videonun yanına yazar.
Length and views per like	Süre ve beğeni başına görüntülenme
Less than a minute left	Bir dakikadan az kaldı
Let screenshots, screen recording and Circle to Search work on TikTok again. Restart TikTok to apply this.	Ekran görüntüsü, ekran kaydı ve Circle to Search'ün TikTok'ta yeniden çalışmasına izin ver. Uygulamak için TikTok'u yeniden başlat.
Let the Offline videos menu use your own limit instead of TikTok's fixed one. Restart TikTok to apply this.	Çevrimdışı videolar menüsünün TikTok'un sabit sınırı yerine senin belirlediğin sınırı kullanmasına izin ver. Uygulamak için TikTok'u yeniden başlat.
Licenses	Lisanslar
Like	Beğen
Limits	Sınırlar
Link copied	Bağlantı kopyalandı
Links	Bağlantılar
Links in comments open	Yorumlardaki bağlantıların açılacağı yer
More opens the comments	Daha fazla yorumları açar
Tapping more under a video opens its comments with the whole caption at the top instead of spreading the caption over the video. A tap on the caption itself does the same. Photo posts keep TikTok's own page for this.	Bir videonun altındaki daha fazla seçeneğine dokunmak açıklamayı videonun üzerine yaymak yerine yorumları tüm açıklama en üstte olacak şekilde açar. Açıklamanın kendisine dokunmak da aynısını yapar. Fotoğraf gönderileri bunun için TikTok'un kendi sayfasını kullanmaya devam eder.
Caption above comments	Yorumların üstünde açıklama
The comment button also opens a video's comments with its caption at the top. The caption over the video goes away while this is on.	Yorum düğmesi de bir videonun yorumlarını açıklaması en üstte olacak şekilde açar. Bu açıkken videonun üzerindeki açıklama gizlenir.
Loaded current values. Loading all known gates...	Geçerli değerler yüklendi. Bilinen tüm kapılar yükleniyor...
Loaded values are still being read. Try again in a moment.	Yüklenen değerler hâlâ okunuyor. Birazdan yeniden dene.
Loaded-value file export failed	Yüklenen değer dosyası dışa aktarılamadı
Loading gates...	Kapılar yükleniyor...
Loading local catalog and current TikTok cache...	Yerel katalog ve geçerli TikTok önbelleği yükleniyor...
Location-tagged videos	Konum etiketli videolar
Lock today's budget	Bugünün bütçesini kilitle
Logging, hook status and reports	Günlük kaydı, kanca durumu ve raporlar
Long press	Uzun basma
Hold speed on Comment	Yorumlar'da basılı tutma hızı
A long press on Comment plays the video at the hold speed instead of opening the emoji row. It needs Long press on TikTok default and Seek from the edges off.	Yorumlar'a uzun basmak emoji satırını açmak yerine videoyu basılı tutma hızında oynatır. Uzun basma TikTok varsayılanında ve Kenarlardan sar kapalı olmalıdır.
Hold speed on Share	Paylaş'ta basılı tutma hızı
