source,target
Hide search suggestions above comments,Hide search suggestions above comments
Hide share actions,Hide share actions
Hide sharing apps,Hide sharing apps
Hide stories,Hide stories
Hide stories from the feed.,Hide stories from the feed.
Hide stories tray,Hide stories tray
Hide suggested accounts,Hide suggested accounts
Hide suggestions on the search page,Hide suggestions on the search page
Hide surveys,Hide surveys
Hide tabs TikTok adds later unless you allow them.,Hide tabs TikTok adds later unless you allow them.
"Hide the ""Search this image"" prompt shown over videos. The feed search button and suggestions above comments are separate settings.","Hide the ""Search this image"" prompt shown over videos. The feed search button and suggestions above comments are separate settings."
"Hide the CAPTCHA dialogs raised while you browse or watch LIVE. Login, account verification and any CAPTCHA raised over a follow, like, comment or repost stay visible.","Hide the CAPTCHA dialogs raised while you browse or watch LIVE. Login, account verification and any CAPTCHA raised over a follow, like, comment or repost stay visible."
Hide the Full screen button,Hide the Full screen button
Hide the Full screen button over videos. Playback and automatic rotation keep working as before.,Hide the Full screen button over videos. Playback and automatic rotation keep working as before.
Hide the Inbox search button,Hide the Inbox search button
Hide the LIVE button,Hide the LIVE button
Hide the LIVE button in the top left corner of the feed.,Hide the LIVE button in the top left corner of the feed.
Hide the Products block and product cards in search results.,Hide the Products block and product cards in search results.
Hide the Report button on videos,Hide the Report button on videos
Hide the Send to row,Hide the Send to row
Hide the Share via row.,Hide the Share via row.
"Hide the Tako AI bubble above the profile button, the Ask bar under videos, the Ask Tako button on the search page, the Ask Tako tab on search results and the Tako bar above comments.","Hide the Tako AI bubble above the profile button, the Ask bar under videos, the Ask Tako button on the search page, the Ask Tako tab on search results and the Tako bar above comments."
Hide the Tako bubble,Hide the Tako bubble
Hide the Tako chat,Hide the Tako chat
Hide the actions row of the share sheet.,Hide the actions row of the share sheet.
Hide the add people icon,Hide the add people icon
Hide the caption,Hide the caption
Hide the description under the creator's name on the feed.,Hide the description under the creator's name on the feed.
Hide the event badge,Hide the event badge
Hide the flag button TikTok puts above the creator's picture in some regions. You can still report a video from the share menu.,Hide the flag button TikTok puts above the creator's picture in some regions. You can still report a video from the share menu.
Hide the floating promotional badge over the feed.,Hide the floating promotional badge over the feed.
Hide the follow button on the feed,Hide the follow button on the feed
Hide the friend recommendation card and the other cards TikTok slots between videos.,Hide the friend recommendation card and the other cards TikTok slots between videos.
Hide the launcher shortcuts,Hide the launcher shortcuts
Hide the magnifying glass at the top of Inbox. Search on the feed and in comments is unchanged.,Hide the magnifying glass at the top of Inbox. Search on the feed and in comments is unchanged.
Hide the magnifying glass at the top right of the feed. Search in Inbox and suggestions above comments stay unchanged.,Hide the magnifying glass at the top right of the feed. Search in Inbox and suggestions above comments stay unchanged.
Hide the music line,Hide the music line
"Hide the notification saying somebody new followed you before it reaches the drawer. Every other notification is left alone, and the follower still appears in the Inbox.","Hide the notification saying somebody new followed you before it reaches the drawer. Every other notification is left alone, and the follower still appears in the Inbox."
Hide the playlist bar,Hide the playlist bar
Hide the playlist bar along the bottom of videos that belong to a series.,Hide the playlist bar along the bottom of videos that belong to a series.
Hide the plus button under the creator's picture in the right column. Ticking Avatar and follow button above hides the picture with it.,Hide the plus button under the creator's picture in the right column. Ticking Avatar and follow button above hides the picture with it.
"Hide the points banner under the search box and the coin counter floating over search results, which TikTok shows in some regions. Searching works as before.","Hide the points banner under the search box and the coin counter floating over search results, which TikTok shows in some regions. Searching works as before."
Hide the purple rewards button beside Add friends on your profile.,Hide the purple rewards button beside Add friends on your profile.
Hide the question cards TikTok slides over a video near its end.,Hide the question cards TikTok slides over a video near its end.
Hide the quick emoji row and automatic sticker suggestions that appear while you type. The emoji and sticker buttons still work.,Hide the quick emoji row and automatic sticker suggestions that appear while you type. The emoji and sticker buttons still work.
"Hide the red counts and dots on every bottom tab, Inbox and Profile included. The inbox itself still shows what came in.","Hide the red counts and dots on every bottom tab, Inbox and Profile included. The inbox itself still shows what came in."
Hide the rewards shortcut,Hide the rewards shortcut
Hide the right column,Hide the right column
Hide the row of friends at the top of the share sheet.,Hide the row of friends at the top of the share sheet.
Hide the save button in the right column. Ticking Save in the list above hides it too.,Hide the save button in the right column. Ticking Save in the list above hides it too.
Hide the save button on the feed,Hide the save button on the feed
Hide the search bar below videos,Hide the search bar below videos
Hide the search button on the feed,Hide the search button on the feed
Hide the share prompt after a like,Hide the share prompt after a like
Hide the spinning music cover and the track name beside the caption.,Hide the spinning music cover and the track name beside the caption.
Hide the status bar,Hide the status bar
Hide the streak button in a chat and the reminder message that goes with it.,Hide the streak button in a chat and the reminder message that goes with it.
Hide the suggested-search strip above the bottom tabs and let video details and side controls use its space. The top search button and comments stay unchanged.,Hide the suggested-search strip above the bottom tabs and let video details and side controls use its space. The top search button and comments stay unchanged.
Hide the unread badges on the bottom tabs,Hide the unread badges on the bottom tabs
"Hide the whole column on the right, from the avatar down to the music disc.","Hide the whole column on the right, from the avatar down to the music disc."
Hide this creator on this phone,Hide this creator on this phone
Hide verified accounts,Hide verified accounts
Hide video actions,Hide video actions
Hide videos carrying TikTok's AI-generated label.,Hide videos carrying TikTok's AI-generated label.
Hide videos marked as paid partnership or branded content.,Hide videos marked as paid partnership or branded content.
Hide videos marked as using promotional music.,Hide videos marked as using promotional music.
Hide videos posted as part of a playlist.,Hide videos posted as part of a playlist.
Hide videos posted by verified accounts.,Hide videos posted by verified accounts.
Hide videos that belong to a paid Series.,Hide videos that belong to a paid Series.
"Hide videos that use a sound blocked with the player's sound button, or named below.","Hide videos that use a sound blocked with the player's sound button, or named below."
Hide videos with a lot of views and few comments. Works the same way as views per like. Zero turns it off.,Hide videos with a lot of views and few comments. Works the same way as views per like. Zero turns it off.
"Hide videos with a lot of views and few likes. Lower numbers are stricter, zero turns the rule off, and one video is kept back if everything the feed just sent would go.","Hide videos with a lot of views and few likes. Lower numbers are stricter, zero turns the rule off, and one video is kept back if everything the feed just sent would go."
Hide videos with blocked sounds,Hide videos with blocked sounds
Hide videos you have already seen,Hide videos you have already seen
"Hide voting cards and poll results above the comments, including polls that have ended.","Hide voting cards and poll results above the comments, including polls that have ended."
Hiding,Hiding
Highest,Highest
Historical,Historical
Historical values,Historical values
Hold a gate to choose several,Hold a gate to choose several
Hold speed on Comment,Hold speed on Comment
Hold speed on Favorites,Hold speed on Favorites
Hold speed on Share,Hold speed on Share
Hold the feed after the budget,Hold the feed after the budget
Home,Home
Hook status,Hook status
How far each edge press moves the video.,How far each edge press moves the video.
Hushfeed cannot read the creator pattern %1$s,Hushfeed cannot read the creator pattern %1$s
Hushfeed hid a TikTok CAPTCHA. Turn off Hide CAPTCHA popups if something stops working.,Hushfeed hid a TikTok CAPTCHA. Turn off Hide CAPTCHA popups if something stops working.
Hushfeed is active,Hushfeed is active
Hushfeed is paused,Hushfeed is paused
Hushfeed turns back on when TikTok restarts.,Hushfeed turns back on when TikTok restarts.
"Ignore the creator's choice so the Duet and Stitch entries appear. Everything else the app checks still applies, and whether the upload is accepted is the server's decision.","Ignore the creator's choice so the Duet and Stitch entries appear. Everything else the app checks still applies, and whether the upload is accepted is the server's decision."
Import finished,Import finished
Import loaded values,Import loaded values
Imported %1$d values,Imported %1$d values
Imported %1$d values. Undo last Lab change is in the menu.,Imported %1$d values. Undo last Lab change is in the menu.
Inbox,Inbox
Include diagnostic events,Include diagnostic events
Included diagnostics,Included diagnostics
Includes all diagnostic events.,Includes all diagnostic events.
Includes these events: %1$s,Includes these events: %1$s
Inserted cards,Inserted cards
Keep For You on a Home tap,Keep For You on a Home tap
Keep For You on a pull down,Keep For You on a pull down
Keep a local record of what you have watched and hide those videos when the feed sends them again.,Keep a local record of what you have watched and hide those videos when the feed sends them again.
Keep a paused video paused,Keep a paused video paused
Keep captions in clear display,Keep captions in clear display
Keep going,Keep going
Keep long press from quick sharing,Keep long press from quick sharing
Keep long press from reposting,Keep long press from reposting
Keep the Favorites tab,Keep the Favorites tab
Keep the clock and status icons off the screen while TikTok is open. Swipe down from the top to peek at them.,Keep the clock and status icons off the screen while TikTok is open. Swipe down from the top to peek at them.
Keep the screen's refresh rate,Keep the screen's refresh rate
"Keep the speed you chose for the next video. Off, each new video starts at 1x and a manual choice lasts for that video only.","Keep the speed you chose for the next video. Off, each new video starts at 1x and a manual choice lasts for that video only."
Keep this string to %1$s characters or fewer.,Keep this string to %1$s characters or fewer.
Keep this structured value to %1$s KB or less.,Keep this structured value to %1$s KB or less.
"Keep websites outside TikTok from using its connection back into the app. TikTok pages such as Activity center, Watch history, shop checkout and CAPTCHA keep working.","Keep websites outside TikTok from using its connection back into the app. TikTok pages such as Activity center, Watch history, shop checkout and CAPTCHA keep working."
"Kept to %1$s, the nearest value this row allows","Kept to %1$s, the nearest value this row allows"
Kinds of post,Kinds of post
LIVE,LIVE
LIVE replays,LIVE replays
LIVE settings,LIVE settings
LIVE share actions,LIVE share actions
LIVE videos,LIVE videos
Lab data reset. Undo last Lab change is in the menu. Restart TikTok to apply this.,Lab data reset. Undo last Lab change is in the menu. Restart TikTok to apply this.
"Lab data was over its rule limit, so it was cleared without an undo copy. Restart TikTok to apply this.","Lab data was over its rule limit, so it was cleared without an undo copy. Restart TikTok to apply this."
Lab overrides reset. Undo last Lab change is in the menu. Restart TikTok to apply this.,Lab overrides reset. Undo last Lab change is in the menu. Restart TikTok to apply this.
Lab settings put back. Restart TikTok to apply this.,Lab settings put back. Restart TikTok to apply this.
Larger (1.25x),Larger (1.25x)
Last change put back. Restart TikTok to apply all changes.,Last change put back. Restart TikTok to apply all changes.
Last change put back. The Feature Gate Lab rules were for another TikTok version and were left out. Restart TikTok to apply all changes.,Last change put back. The Feature Gate Lab rules were for another TikTok version and were left out. Restart TikTok to apply all changes.
Last original value,Last original value
Last recording: %1$d gates.,Last recording: %1$d gates.
Last recording: 1 gate.,Last recording: 1 gate.
Layout,Layout
"Layout, player, search and system","Layout, player, search and system"
Leave maximum empty to keep it unlimited.,Leave maximum empty to keep it unlimited.
Leave the sound out of the saved video. Save the sound as well still writes the .m4a beside it if you want both.,Leave the sound out of the saved video. Save the sound as well still writes the .m4a beside it if you want both.
Leave when TikTok says time is up,Leave when TikTok says time is up
Length and views per like,Length and views per like
Less than a minute left,Less than a minute left
"Let screenshots, screen recording and Circle to Search work on TikTok again. Restart TikTok to apply this.","Let screenshots, screen recording and Circle to Search work on TikTok again. Restart TikTok to apply this."
Let the Offline videos menu use your own limit instead of TikTok's fixed one. Restart TikTok to apply this.,Let the Offline videos menu use your own limit instead of TikTok's fixed one. Restart TikTok to apply this.
Licenses,Licenses
Like,Like
Likes range,Likes range
Limits,Limits
Link copied,Link copied
Links,Links
Links in comments open,Links in comments open
Live photo clip saved to %1$s,Live photo clip saved to %1$s
Loaded current values. Loading all known gates...,Loaded current values. Loading all known gates...
Loaded values are still being read. Try again in a moment.,Loaded values are still being read. Try again in a moment.
Loaded-value file export failed,Loaded-value file export failed
Loading gates...,Loading gates...
Loading local catalog and current TikTok cache...,Loading local catalog and current TikTok cache...
Location-tagged videos,Location-tagged videos
Lock the hold speed with a pull down,Lock the hold speed with a pull down
Lock today's budget,Lock today's budget
Log diagnostics,Log diagnostics
"Logging, hook status and reports","Logging, hook status and reports"
Long press,Long press
Lowest,Lowest
Make TikTok yours.,Make TikTok yours.
Manager,Manager
Marked as not interested,Marked as not interested
Match locale and timezone to country,Match locale and timezone to country
Maximum,Maximum
Maximum post age,Maximum post age
Maximum video length,Maximum video length
Maximum views per comment,Maximum views per comment
Maximum views per like,Maximum views per like
Media,Media
Media config (VE),Media config (VE)
"Messages, profiles and search still work.","Messages, profiles and search still work."
Microphone in use,Microphone in use
Mini dramas,Mini dramas
Minimum,Minimum
More options,More options
Move down,Move down
Move left,Move left
Move right,Move right
"Move to the next video when the current one ends. Pauses, open dialogs and screen-time holds stop it. Restart TikTok after changing this.","Move to the next video when the current one ends. Pauses, open dialogs and screen-time holds stop it. Restart TikTok after changing this."
Move up,Move up
Music disc,Music disc
Nearby,Nearby
Never from these countries,Never from these countries
No,No
No app on this phone opens that file,No app on this phone opens that file
No creator to block on this video,No creator to block on this video
No creator to hide on this video,No creator to hide on this video
"No creators are hidden yet. Hide one from a video, or add a handle above.","No creators are hidden yet. Hide one from a video, or add a handle above."
No current value,No current value
No current value and no active override,No current value and no active override
No delay,No delay
No gate data is available. Refresh values from the menu to try again.,No gate data is available. Refresh values from the menu to try again.
No gate reads were recorded. Use a TikTok feature while recording.,No gate reads were recorded. Use a TikTok feature while recording.
No gates match this filter.,No gates match this filter.
No gates match this search and filter.,No gates match this search and filter.
No hidden creators match this search. Clear the search to see them all.,No hidden creators match this search. Clear the search to see them all.
No limit,No limit
"No matching comments. Try a different word, or clear the search with the X in the box.","No matching comments. Try a different word, or clear the search with the X in the box."
No matching countries. Try a country name or a two-letter code.,No matching countries. Try a country name or a two-letter code.
No matching diagnostics found,No matching diagnostics found
No matching settings,No matching settings
No preset selected. Choose a preset above.,No preset selected. Choose a preset above.
"No recording yet. Start one, use a feature, then return here.","No recording yet. Start one, use a feature, then return here."
No seen videos recorded yet.,No seen videos recorded yet.
No share actions have been seen yet,No share actions have been seen yet
No share actions match this search,No share actions match this search
No sound to block on this video,No sound to block on this video
No suggested accounts to clear,No suggested accounts to clear
No video selected. Open a video first.,No video selected. Open a video first.
None of the photos could be saved. Try again.,None of the photos could be saved. Try again.
None of these gates had an override to reset.,None of these gates had an override to reset.
None of these gates takes a true or false value.,None of these gates takes a true or false value.
None recorded,None recorded
Normal,Normal
"Not a handle or id, so ignored: %1$s","Not a handle or id, so ignored: %1$s"
Not blocked,Not blocked
Not interested in this video,Not interested in this video
Not read yet,Not read yet
Not requested in this process yet,Not requested in this process yet
Not saved yet,Not saved yet
Not seen,Not seen
Not seen yet,Not seen yet
"Nothing has been checked yet, so there is nothing to report.","Nothing has been checked yet, so there is nothing to report."
"Nothing has been looked up yet. Use the app for a moment, then come back.","Nothing has been looked up yet. Use the app for a moment, then come back."
Nothing hidden.,Nothing hidden.
Nothing is playing to seek,Nothing is playing to seek
"Nothing new was imported. %1$d already matched, %2$d unavailable, %3$d rejected.","Nothing new was imported. %1$d already matched, %2$d unavailable, %3$d rejected."
"Nothing new was imported. %1$d already matched, %2$d unavailable, %3$d rejected. First rejection: %4$s","Nothing new was imported. %1$d already matched, %2$d unavailable, %3$d rejected. First rejection: %4$s"
Nothing on this page changes what TikTok does until they are on.,Nothing on this page changes what TikTok does until they are on.
Nothing to undo yet.,Nothing to undo yet.
Notices from this project and the ones it is built on,Notices from this project and the ones it is built on
OK,OK
Off,Off
"Off forces false, on forces true. Reset hands the choice back to TikTok.","Off forces false, on forces true. Reset hands the choice back to TikTok."
Offline videos,Offline videos
Offline videos limit,Offline videos limit
Older overrides were kept disabled. Review their values before enabling them on TikTok %1$s.,Older overrides were kept disabled. Review their values before enabling them on TikTok %1$s.
On,On
On mobile data,On mobile data
On. Restore puts back the feed setup you had before.,On. Restore puts back the feed setup you had before.
"Once today's budget runs out, the hold stays and cannot be dismissed. The budget settings are locked until the day starts over. Turn this off any time before the budget runs out.","Once today's budget runs out, the hold stays and cannot be dismissed. The budget settings are locked until the day starts over. Turn this off any time before the budget runs out."
One area was checked and everything it needs is here.,One area was checked and everything it needs is here.
One minute left,One minute left
"One of the quote marks in that list has nothing to close it, so the rest of the line reads as one phrase. Add the missing quote or take the stray one out.","One of the quote marks in that list has nothing to close it, so the rest of the line reads as one phrase. Add the missing quote or take the stray one out."
One value per line,One value per line
Only bottom tabs TikTok has loaded on this device are shown here. This does not force unavailable tabs to appear.,Only bottom tabs TikTok has loaded on this device are shown here. This does not force unavailable tabs to appear.
Only fields the Lab can check and copy safely are shown.,Only fields the Lab can check and copy safely are shown.
Only from these countries,Only from these countries
Only tabs TikTok has loaded on this device are shown here. This does not force unavailable tabs to appear.,Only tabs TikTok has loaded on this device are shown here. This does not force unavailable tabs to appear.
Open,Open
Open TikTok on,Open TikTok on
"Open a share sheet once, then return here to choose its actions.","Open a share sheet once, then return here to choose its actions."
Open comments,Open comments
Open external links directly,Open external links directly
Open messages,Open messages
Open profile and story website links in your system browser instead of TikTok's in-app browser.,Open profile and story website links in your system browser instead of TikTok's in-app browser.
Open the feed anyway,Open the feed anyway
"Open the feed anyway, %1$d left today","Open the feed anyway, %1$d left today"
"Open the feed anyway, the last time today","Open the feed anyway, the last time today"
Open the feed once so Hushfeed can see which bottom tabs TikTok loaded.,Open the feed once so Hushfeed can see which bottom tabs TikTok loaded.
Open the feed once so Hushfeed can see which tabs TikTok loaded.,Open the feed once so Hushfeed can see which tabs TikTok loaded.
Open the profile again and try once more,Open the profile again and try once more
Open the story again and try once more,Open the story again and try once more
Opens github.com in your browser,Opens github.com in your browser
Operator code,Operator code
Operator name,Operator name
Original language,Original language
Other,Other
Other feed filters,Other feed filters
Overridden,Overridden
Override,Override
Override SIM details,Override SIM details
"Override set, not read yet","Override set, not read yet"
Override store region (experimental),Override store region (experimental)
Override this configuration,Override this configuration
Override this gate,Override this gate
Overrides are disabled in the Feature Gate Lab.,Overrides are disabled in the Feature Gate Lab.
Overrides disabled. Restart TikTok to apply this.,Overrides disabled. Restart TikTok to apply this.
Overrides enabled. Restart TikTok to apply this.,Overrides enabled. Restart TikTok to apply this.
Paid partnerships,Paid partnerships
Pause Hushfeed,Pause Hushfeed
Pauses the video behind the comment sheet while you read. It plays on from the same spot when the sheet closes.,Pauses the video behind the comment sheet while you read. It plays on from the same spot when the sheet closes.
"People, shortcuts and sending controls","People, shortcuts and sending controls"
Photo,Photo
Photo and image posts,Photo and image posts
Photo destination,Photo destination
Photo filename,Photo filename
Photos and stickers,Photos and stickers
Pick the actions to remove from the share sheet. Names you typed by hand that TikTok hasn't shown yet stay in the list above.,Pick the actions to remove from the share sheet. Names you typed by hand that TikTok hasn't shown yet stay in the list above.
Pick the buttons to take off the column. The rest stay where they are.,Pick the buttons to take off the column. The rest stay where they are.
Play videos TikTok has classified without the overlay asking to be tapped through first.,Play videos TikTok has classified without the overlay asking to be tapped through first.
Playback,Playback
Player,Player
Player config,Player config
Playlist posts,Playlist posts
Popular,Popular
Popups,Popups
Post age,Post age
Preset,Preset
Press and hold a profile picture to save the full size original to your photo destination.,Press and hold a profile picture to save the full size original to your photo destination.
"Press and hold a story to save it. Stories have no save button of their own, and holding one is how TikTok pauses it, so this takes that gesture over.","Press and hold a story to save it. Stories have no save button of their own, and holding one is how TikTok pauses it, so this takes that gesture over."
Press and hold the left or right third of the screen to jump back or forward. The middle third keeps the Long press action.,Press and hold the left or right third of the screen to jump back or forward. The middle third keeps the Long press action.
Preview shortened. Save JSON includes the full report.,Preview shortened. Save JSON includes the full report.
Privacy,Privacy
Privacy and system,Privacy and system
Profile,Profile
Profile picture saved to %1$s,Profile picture saved to %1$s
Profile share actions,Profile share actions
Promotional music,Promotional music
Proof,Proof
Protect external pages in TikTok's browser,Protect external pages in TikTok's browser
Pulling down at the top of For You no longer reloads it.,Pulling down at the top of For You no longer reloads it.
Put back the settings saved before the last restore or reset.,Put back the settings saved before the last restore or reset.
Put every setting back to its default straight away. Your current settings are kept for Undo.,Put every setting back to its default straight away. Your current settings are kept for Undo.
Putting the settings back to their defaults,Putting the settings back to their defaults
Quality,Quality
"Quality, files, subtitles and hand-off","Quality, files, subtitles and hand-off"
"Quality, speed and auto-advance","Quality, speed and auto-advance"
Quick setup,Quick setup
Reading,Reading
Recorded gate reads (%1$d),Recorded gate reads (%1$d)
"Recording gate reads. Use a feature, then return here to stop.","Recording gate reads. Use a feature, then return here to stop."
Recovered an interrupted settings change. Restart TikTok to apply this.,Recovered an interrupted settings change. Restart TikTok to apply this.
Refresh values,Refresh values
Refreshing current TikTok cache...,Refreshing current TikTok cache...
Region,Region
Remember the last speed,Remember the last speed
Remind me every,Remind me every
Remove,Remove
Remove %1$s,Remove %1$s
Remove all overrides,Remove all overrides
Remove feed ads,Remove feed ads
"Remove feed ads, creator commission posts, paid partnerships, and branded content.","Remove feed ads, creator commission posts, paid partnerships, and branded content."
Remove tracking parameters from shared links.,Remove tracking parameters from shared links.
Remove watermark,Remove watermark
Removed %1$s,Removed %1$s
Replace values when TikTok asks for them,Replace values when TikTok asks for them
Report saved to %1$s,Report saved to %1$s
Required,Required
Researched,Researched
Researched values,Researched values
Reset,Reset
Reset %1$d gates of %2$d. Restart TikTok to apply this.,Reset %1$d gates of %2$d. Restart TikTok to apply this.
Reset %1$d gates. Restart TikTok to apply this.,Reset %1$d gates. Restart TikTok to apply this.
Reset 1 gate of %2$d. Restart TikTok to apply this.,Reset 1 gate of %2$d. Restart TikTok to apply this.
Reset 1 gate. Restart TikTok to apply this.,Reset 1 gate. Restart TikTok to apply this.
Reset override,Reset override
Reset position,Reset position
Reset settings,Reset settings
Restart TikTok to apply %1$d changes,Restart TikTok to apply %1$d changes
Restart TikTok to apply this,Restart TikTok to apply this
Restart TikTok to apply this change,Restart TikTok to apply this change
Restart TikTok to apply this.,Restart TikTok to apply this.
Restart now,Restart now
Restart pending,Restart pending
Restore failed. Some settings may still be changed.,Restore failed. Some settings may still be changed.
Restore failed. Some settings may still be changed. Use Undo to put them back.,Restore failed. Some settings may still be changed. Use Undo to put them back.
Restore settings,Restore settings
Restore setup,Restore setup
Restoring setup,Restoring setup
Restoring your settings,Restoring your settings
Resume videos after scrolling,Resume videos after scrolling
Retry,Retry
Return a copy with the fields below changed,Return a copy with the fields below changed
Return after using a TikTok feature to see every gate read during the recording.,Return after using a TikTok feature to see every gate read during the recording.
Returns %1$s,Returns %1$s
Right column,Right column
Rows,Rows
SIM country preset,SIM country preset
STEM,STEM
Sanitize sharing links,Sanitize sharing links
Save,Save
Save Hushfeed settings and Feature Gate Lab rules to a JSON file.,Save Hushfeed settings and Feature Gate Lab rules to a JSON file.
Save JSON,Save JSON
"Save SRT files with the video. Paired saves use Movies on Android 11+, Download on Android 10, and your video folder on older versions.","Save SRT files with the video. Paired saves use Movies on Android 11+, Download on Android 10, and your video folder on older versions."
Save a profile picture on a long press,Save a profile picture on a long press
Save a story on a long press,Save a story on a long press
"Save every photo in the post as TikTok received it, not as the screen shows it.","Save every photo in the post as TikTok received it, not as the screen shows it."
Save field values,Save field values
Save full report,Save full report
Save media,Save media
Save subtitles beside videos,Save subtitles beside videos
Save the latest available TikTok crash report for diagnostic export.,Save the latest available TikTok crash report for diagnostic export.
Save the original sound,Save the original sound
Save the sound as well,Save the sound as well
Save videos without sound,Save videos without sound
"Save, restore, reset and undo your settings","Save, restore, reset and undo your settings"
Saved,Saved
Saved %1$s,Saved %1$s
Saved %1$s of %2$s photos before the story failed,Saved %1$s of %2$s photos before the story failed
"Saved %1$s of %2$s, %3$s skipped","Saved %1$s of %2$s, %3$s skipped"
"Saved %1$s of %2$s, %3$s skipped and the rest cancelled","Saved %1$s of %2$s, %3$s skipped and the rest cancelled"
"Saved %1$s of %2$s, the rest cancelled","Saved %1$s of %2$s, the rest cancelled"
"Saved %1$s of %2$s, the rest need more free space","Saved %1$s of %2$s, the rest need more free space"
"Saved %1$s of %2$s, the rest ran out of time","Saved %1$s of %2$s, the rest ran out of time"
Saved %1$s original photos,Saved %1$s original photos
Saved one original photo,Saved one original photo
"Saved, override off","Saved, override off"
Saved. Restart TikTok to apply this.,Saved. Restart TikTok to apply this.
Saving,Saving
Saving %1$s of %2$s,Saving %1$s of %2$s
Saving %1$s original photos,Saving %1$s original photos
Saving one original photo,Saving one original photo
Saving settings backup,Saving settings backup
Saving sticker,Saving sticker
Saving the selected video quality,Saving the selected video quality
Saving the selected video quality without sound,Saving the selected video quality without sound
Saving the story,Saving the story
Saving video and subtitles to %1$s,Saving video and subtitles to %1$s
Screen,Screen
Screen time,Screen time
Search,Search
Search and override gates,Search and override gates
Search by name or gate key,Search by name or gate key
"Search by name, description or category.","Search by name, description or category."
Search countries or operators,Search countries or operators
Search hidden creators,Search hidden creators
Search settings,Search settings
Search share actions,Search share actions
Search these comments,Search these comments
"Search translated titles and descriptions, then open the original setting.","Search translated titles and descriptions, then open the original setting."
Search within comments,Search within comments
"Seconds. Zero keeps every length. If everything the feed just sent would be filtered out, the video closest to your limit is kept so the feed is not empty.","Seconds. Zero keeps every length. If everything the feed just sent would be filtered out, the video closest to your limit is kept so the feed is not empty."
Seek by,Seek by
Seek from the edges,Seek from the edges
Seen,Seen
Seen this session,Seen this session
Seen videos,Seen videos
Seen videos cleared. You can undo until TikTok closes.,Seen videos cleared. You can undo until TikTok closes.
Seen videos put back,Seen videos put back
Select,Select
Select at least one field.,Select at least one field.
Select every tab,Select every tab
Selected,Selected
Send links to another app,Send links to another app
Sending feedback,Sending feedback
Series posts,Series posts
Settings,Settings
Settings are back to their defaults. Restart TikTok to apply all changes.,Settings are back to their defaults. Restart TikTok to apply all changes.
Settings backup saved,Settings backup saved
Settings couldn't open,Settings couldn't open
Settings couldn't refresh completely. Reopen settings and try again.,Settings couldn't refresh completely. Reopen settings and try again.
Settings restored. Restart TikTok to apply all changes.,Settings restored. Restart TikTok to apply all changes.
Settings restored. The Feature Gate Lab rules were for another TikTok version and were left out. Restart TikTok to apply all changes.,Settings restored. The Feature Gate Lab rules were for another TikTok version and were left out. Restart TikTok to apply all changes.
Share,Share
Share links through another host,Share links through another host
Share sheet,Share sheet
Shares range,Shares range
Shop,Shop
Shop order updates and coupon messages no longer take up rows in the Inbox. Your orders are unchanged.,Shop order updates and coupon messages no longer take up rows in the Inbox. Your orders are unchanged.
Shop posts,Shop posts
Show,Show
Show @username beside a video instead of the display name the creator chose.,Show @username beside a video instead of the display name the creator chose.
Show TikTok's feed buttons,Show TikTok's feed buttons
Show TikTok's own progress bar on videos where it is normally hidden.,Show TikTok's own progress bar on videos where it is normally hidden.
"Show TikTok's own sort sheet on every post, with its hot, newest, media and creator options, instead of whichever cut-down row your account was given. Restart TikTok to apply this. It reads the style once per run and remembers it.","Show TikTok's own sort sheet on every post, with its hot, newest, media and creator options, instead of whichever cut-down row your account was given. Restart TikTok to apply this. It reads the style once per run and remembers it."
Show a video preview thumbnail while dragging the progress bar.,Show a video preview thumbnail while dragging the progress bar.
Show failures on screen,Show failures on screen
Show gates,Show gates
Show last report,Show last report
Show only videos with this many comments.,Show only videos with this many comments.
Show only videos with this many favorites.,Show only videos with this many favorites.
Show only videos with this many likes.,Show only videos with this many likes.
Show only videos with this many shares.,Show only videos with this many shares.
Show only videos with this many views.,Show only videos with this many views.
Show poll results before voting,Show poll results before voting
Show search in LIVE,Show search in LIVE
Show the Not interested button,Show the Not interested button
Show the block button on videos,Show the block button on videos
Show the block sound button,Show the block sound button
Show the country a video was posted from next to the creator's name.,Show the country a video was posted from next to the creator's name.
Show the current spoken caption while the other controls are hidden.,Show the current spoken caption while the other controls are hidden.
Show the handle instead of the name,Show the handle instead of the name
Show the hide button on videos,Show the hide button on videos
Show the progress bar,Show the progress bar
Show the progress bar thumbnail,Show the progress bar thumbnail
"Show the search entry inside TikTok's LIVE drawer, where available. This doesn't add a search box to video comments.","Show the search entry inside TikTok's LIVE drawer, where available. This doesn't add a search box to video comments."
Show the switch,Show the switch
Show the whole Activity and New followers lists instead of stopping at a View all button.,Show the whole Activity and New followers lists instead of stopping at a View all button.
"Show the whole video instead of cropping it to the window. Nothing changes on a tall phone, where it already fits. On a folding phone opened up, a squarer screen or a split view the sides or the ends stop being cut off.","Show the whole video instead of cropping it to the window. Nothing changes on a tall phone, where it already fits. On a folding phone opened up, a squarer screen or a split view the sides or the ends stop being cut off."
Show what is left of the budget,Show what is left of the budget
Show when the camera or microphone is in use,Show when the camera or microphone is in use
Show where a video was posted,Show where a video was posted
Showing %1$s again,Showing %1$s again
Silence the feed while comments are open,Silence the feed while comments are open
Skip content warnings,Skip content warnings
Skipping videos with %1$s,Skipping videos with %1$s
