# Settings text, English on the left, German on the right, one entry per line, tab separated.
# Keep %s and %d placeholders, {tokens} and product names as they are.
# scripts/gen-l10n.py turns this into a table inside L10nTranslations.java.
%1$d already matched	%1$d stimmten bereits überein
%1$d areas were checked and everything they need is here.	%1$d Bereiche wurden geprüft und alles, was sie brauchen, ist vorhanden.
%1$d fields overridden	%1$d Felder überschrieben
%1$d fields will be overridden when requested	%1$d Felder werden bei der Abfrage überschrieben
%1$d gates selected	%1$d Schalter ausgewählt
%1$d minutes left	Noch %1$d Minuten
%1$d rejected	%1$d abgelehnt
%1$d results	%1$d Ergebnisse
%1$d results so far	%1$d Ergebnisse bisher
%1$d results so far, and more not counted	%1$d Ergebnisse bisher, weitere nicht gezählt
%1$d results, filtered to %2$s	%1$d Ergebnisse, gefiltert nach %2$s
%1$d setting was not in that file and was left as it is	%1$d Einstellung stand nicht in dieser Datei und bleibt unverändert
%1$d settings were not in that file and were left as they are	%1$d Einstellungen standen nicht in dieser Datei und bleiben unverändert
%1$d unavailable	%1$d nicht verfügbar
%1$s (%2$s)	%1$s (%2$s)
%1$s (TikTok value)	%1$s (TikTok-Wert)
%1$s (custom, unverified)	%1$s (benutzerdefiniert, ungeprüft)
%1$s (override returned)	%1$s (Überschreibung zurückgegeben)
%1$s (will be returned when requested)	%1$s (wird bei der Abfrage zurückgegeben)
%1$s / current cache only	%1$s / nur aktueller Cache
%1$s / generated registry	%1$s / generiertes Register
%1$s / generated registry and current cache	%1$s / generiertes Register und aktueller Cache
%1$s / local catalog	%1$s / lokaler Katalog
%1$s and above	Ab %1$s
%1$s appears more than once in this file.	%1$s kommt in dieser Datei mehrmals vor.
%1$s changed	%1$s geändert
%1$s is already hidden	%1$s ist bereits ausgeblendet
%1$s destinations must start with %2$s	%1$s-Ziele müssen mit %2$s beginnen
%1$s has an invalid value. %2$s	%1$s hat einen ungültigen Wert. %2$s
%1$s is a kind of value the Lab cannot override.	%1$s ist eine Art von Wert, die das Lab nicht überschreiben kann.
%1$s has type %2$s, but the file says %3$s.	%1$s hat den Typ %2$s, in der Datei steht %3$s.
%1$s is not a country code, so no video would ever match it. Use two letters, like GB, IE or US.	%1$s ist kein Ländercode, also würde kein Video jemals dazu passen. Nimm zwei Buchstaben, etwa GB, IE oder US.
%1$s is not in this Lab catalog.	%1$s ist nicht in diesem Lab-Katalog enthalten.
%1$s isn't installed or doesn't take links	%1$s ist nicht installiert oder nimmt keine Links an
%1$s left	Noch %1$s
%1$s min left	Noch %1$s Min.
%1$s to %2$s	%1$s bis %2$s
%1$s videos left	Noch %1$s Videos
%1$s was rejected. %2$s	%1$s wurde abgelehnt. %2$s
%1$s, %2$s, %3$s, %4$s, %5$s	%1$s, %2$s, %3$s, %4$s, %5$s
%1$s, selected	%1$s, ausgewählt
%1$s. %2$s	%1$s. %2$s
%1$s: %2$d found, %3$d missing	%1$s: %2$d gefunden, %3$d fehlen
%1$s: %2$d found, %3$d missing, and more it stopped counting	%1$s: %2$d gefunden, %3$d fehlen, und weitere, die nicht mehr gezählt wurden
%1$s: %2$d found, %3$d missing, and more it stopped counting. First missing: %4$s	%1$s: %2$d gefunden, %3$d fehlen, und weitere, die nicht mehr gezählt wurden. Zuerst fehlte: %4$s
%1$s: %2$d found, %3$d missing. First missing: %4$s	%1$s: %2$d gefunden, %3$d fehlen. Zuerst fehlte: %4$s
%1$s: %2$s	%1$s: %2$s
1 field overridden	1 Feld überschrieben
Draw TikTok's text in your device's font instead of TikTok Sans. Icons, gift animations and the @ and # glyphs keep their own fonts. Restart TikTok to apply this.	TikToks Text in der Schrift deines Geräts statt in TikTok Sans anzeigen. Symbole, Geschenkanimationen und die @- und #-Zeichen behalten ihre eigene Schrift. TikTok neu starten, damit das gilt.
Hide the notification saying somebody new followed you before it reaches the drawer. Every other notification is left alone, and the follower still appears in the Inbox.	Die Benachrichtigung, dass dir jemand Neues folgt, ausblenden, bevor sie in der Leiste landet. Alle anderen Benachrichtigungen bleiben unberührt, und der Follower erscheint weiterhin im Posteingang.
Each area, how many of the things it looks for are in this build and how many are not.	Jeder Bereich, wie viel von dem, was er sucht, in diesem Build steckt und wie viel nicht.
Empty	Leer
Empty the menu that opens when you press and hold TikTok's icon on the home screen. Turning this off asks TikTok to build them again. Tapping the icon still opens the app, and a shortcut you pinned yourself stays where you put it.	Das Menü leeren, das sich beim langen Drücken des TikTok-Symbols auf dem Startbildschirm öffnet. Wird dies ausgeschaltet, wird TikTok gebeten, sie wieder aufzubauen. Ein Tippen auf das Symbol öffnet die App weiterhin, und eine selbst angeheftete Verknüpfung bleibt dort, wo sie abgelegt wurde.
Enable	Einschalten
Log diagnostics	Diagnose protokollieren
Lock the hold speed with a pull down	Halte-Geschwindigkeit per Herunterziehen sperren
Apply overrides	Überschreibungen anwenden
Enabled	Eingeschaltet
Enter a JSON object or array.	Gib ein JSON-Objekt oder -Array ein.
Enter a creator handle or id	Gib einen Creator-Handle oder eine ID ein
Enter a finite number.	Gib eine endliche Zahl ein.
Enter a number	Gib eine Zahl ein
Enter a number.	Gib eine Zahl ein.
Enter a valid structured value.	Gib einen gültigen strukturierten Wert ein.
Enter a valid two-letter country code	Gib einen gültigen Ländercode aus zwei Buchstaben ein
Enter a whole number, or one like 20K, 1.5M or 2B	Gib eine ganze Zahl ein, oder eine wie 20K, 1.5M oder 2B
Enter a whole number.	Gib eine ganze Zahl ein.
Enter true or false.	Gib true oder false ein.
Enter up to %1$d comma-separated speeds from %2$s to %3$s	Bis zu %1$d durch Kommas getrennte Geschwindigkeiten von %2$s bis %3$s eingeben
Enter valid JSON.	Gib gültiges JSON ein.
Entry %1$d has a field with the wrong data type.	Eintrag %1$d enthält ein Feld mit dem falschen Datentyp.
Entry %1$d is not an object.	Eintrag %1$d ist kein Objekt.
Errors	Fehler
Expand activity list	Aktivitätsliste ausklappen
Explore	Entdecken
Export diagnostic report	Diagnosebericht exportieren
Export loaded values	Geladene Werte exportieren
Exported %1$d loaded values	%1$d geladene Werte exportiert
Exported 1 loaded value	1 geladener Wert exportiert
Fade the feed out before the hold	Feed vor dem Anhalten ausblenden
Feature Gate Lab	Feature Gate Lab
Feature gate override reset	Überschreibung des Schalters zurückgesetzt
Feature gate override saved	Überschreibung des Schalters gespeichert
Feed and navigation	Feed und Navigation
Feed button size	Größe der Feed-Schaltflächen
Feed filter	Feed-Filter
Feed screen	Feed-Ansicht
Feed tabs	Feed-Tabs
Field %1$s can't be changed on this build. Take it out of the override, or reset the override.	Das Feld %1$s lässt sich in diesem Build nicht ändern. Nimm es aus der Überschreibung heraus oder setze die Überschreibung zurück.
Field edits were discarded	Die Feldänderungen wurden verworfen
Field edits were not saved	Die Feldänderungen wurden nicht gespeichert
Files	Dateien
Filter bottom tabs	Untere Tabs filtern
Filter comments by keyword	Kommentare nach Stichwort filtern
Filter feed tabs	Feed-Tabs filtern
Filter TikTok's offline videos	TikToks Offline-Videos filtern
Filter settings	Filtereinstellungen
Filter the list	Liste filtern
Filter: %1$s	Filter: %1$s
Filters, translation and copy options	Filter, Übersetzung und Kopieroptionen
Find a setting by name or description	Einstellung nach Name oder Beschreibung finden
First caller	Erster Aufrufer
First rejection:	Erste Ablehnung:
Fit the video to the screen	Video an den Bildschirm anpassen
Fill the screen with the video	Bildschirm mit dem Video füllen
Crop the video until it covers the whole window. On a tall phone the black strip TikTok leaves under a video goes and so does a little of each side.	Das Video wird beschnitten bis es das ganze Fenster bedeckt. Auf einem hohen Telefon verschwindet der schwarze Streifen unter dem Video und mit ihm ein wenig von jeder Seite.
Focus	Fokus
Follow probe	Folgen-Prüfung
Following	Gefolgt
For You	Für dich
For com.deniscerri.ytdl only. Ask YTDLnis for audio or video when the save button hands it a link.	Nur für com.deniscerri.ytdl. Beim Übergeben eines Links kann die Speichertaste YTDLnis um Audio oder Video bitten.
For com.deniscerri.ytdl only. Hide its download card and start the handoff in the background.	Nur für com.deniscerri.ytdl. Die Downloadkarte wird ausgeblendet und die Übergabe im Hintergrund gestartet.
Forced %1$d gates of %2$d. The rest do not take a true or false value. Restart TikTok to apply this.	%1$d von %2$d Schaltern erzwungen. Die übrigen nehmen kein true oder false. TikTok neu starten, damit das gilt.
Forced %1$d gates. Restart TikTok to apply this.	%1$d Schalter erzwungen. TikTok neu starten, damit das gilt.
Forced 1 gate of %2$d. The rest do not take a true or false value. Restart TikTok to apply this.	1 von %2$d Schaltern erzwungen. Die übrigen nehmen kein true oder false. TikTok neu starten, damit das gilt.
Forced 1 gate. Restart TikTok to apply this.	1 Schalter erzwungen. TikTok neu starten, damit das gilt.
Forced result	Erzwungenes Ergebnis
Forget seen videos after	Gesehene Videos vergessen nach
Forget the %1$s seen videos.	Die %1$s gesehenen Videos vergessen.
Forget what has been counted today and end any hold. The budgets themselves are left alone.	Vergessen, was heute gezählt wurde, und jede Sperre beenden. Die Budgets selbst bleiben unverändert.
Friends	Freunde
Full comment sort options	Vollständige Sortieroptionen für Kommentare
Full license	Vollständige Lizenz
Full report saved to %1$s	Vollständiger Bericht gespeichert unter %1$s
GIF	GIF
Gate data unavailable	Schalterdaten nicht verfügbar
Gate details	Schalterdetails
Generated defaults	Erzeugte Standardwerte
Gestures	Gesten
Ghost mode	Geistermodus
Hand-off	Weitergabe
Handle or id	Handle oder ID
Hidden %1$s on this phone	%1$s auf diesem Gerät ausgeblendet
Hidden commenters	Ausgeblendete Kommentierende
Blocked and hidden creators	Gesperrte und ausgeblendete Creator
Hidden: %1$s	Ausgeblendet: %1$s
Hide	Ausblenden
Hide AI-generated videos	KI-generierte Videos ausblenden
Hide CAPTCHA popups	CAPTCHA-Popups ausblenden
Hide LIVE replays	LIVE-Wiederholungen ausblenden
Hide LIVE videos	LIVE-Videos ausblenden
Hide Series	Serien ausblenden
Hide the Tako bubble	Tako-Blase ausblenden
Hide TikTok Shop	TikTok Shop ausblenden
Hide TikTok Shop posts from the feed.	TikTok-Shop-Beiträge aus dem Feed ausblenden.
Shop order updates and coupon messages no longer take up rows in the Inbox. Your orders are unchanged.	Bestell-Updates und Gutschein-Nachrichten vom Shop belegen keine Zeilen mehr im Posteingang. Deine Bestellungen bleiben unverändert.
Hide the Tako chat	Tako-Chat ausblenden
Hide the quick emoji row and automatic sticker suggestions that appear while you type. The emoji and sticker buttons still work.	Blende die Schnell-Emoji-Zeile und automatische Sticker-Vorschläge aus, die beim Tippen erscheinen. Die Emoji- und Sticker-Schaltflächen funktionieren weiterhin.
Hide activity	Aktivität ausblenden
Hide activity status	Aktivitätsstatus ausblenden
Hide archive	Archiv ausblenden
Hide bottom tabs TikTok adds later unless you allow them.	Untere Tabs ausblenden, die TikTok später hinzufügt, sofern du sie nicht erlaubst.
Hide the CAPTCHA dialogs raised while you browse or watch LIVE. Login, account verification and any CAPTCHA raised over a follow, like, comment or repost stay visible.	CAPTCHA-Dialoge ausblenden, die beim Stöbern oder in LIVE kommen. Anmeldung, Kontobestätigung und jedes CAPTCHA, das bei Folgen, Liken, Kommentieren oder Reposten kommt, bleiben sichtbar.
Hide buttons in the right column	Schaltflächen in der rechten Spalte ausblenden
Hide comment polls	Kommentarumfragen ausblenden
Show poll results before voting	Umfrageergebnisse vor dem Abstimmen zeigen
A comment poll shows how many picked each answer before you vote. Tapping an answer still votes.	Eine Kommentarumfrage zeigt schon vor deiner Stimme, wie viele welche Antwort gewählt haben. Ein Tipp auf eine Antwort stimmt weiterhin ab.
Hide comment popup ads	Werbe-Popups in Kommentaren ausblenden
Hide comments made of an image or a sticker instead of words.	Kommentare ausblenden, die aus einem Bild oder Sticker statt aus Worten bestehen.
Hide comments that contain any of the words below, or that come from the accounts below.	Kommentare ausblenden, die eines der Wörter unten enthalten oder von den Konten unten stammen.
Hide controls after each video starts. Tap to restore them.	Bedienelemente nach dem Start jedes Videos ausblenden. Tippe, um sie wieder einzublenden.
Hide conversations	Unterhaltungen ausblenden
Hide every direct message conversation. Leaves the Inbox empty apart from whatever else is still turned on.	Jede Direktnachrichten-Unterhaltung ausblenden. Der Posteingang bleibt leer, abgesehen von allem, was sonst noch eingeschaltet ist.
Hide the save button on the feed	Speichern-Schaltfläche im Feed ausblenden
Hide the search button on the feed	Suchschaltfläche im Feed ausblenden
Hide the tab names above the feed	Tab-Namen über dem Feed ausblenden
The Following and For You names above the feed go away. Swiping between the feeds and the search button stay as they are.	Die Namen Folge ich und Für dich über dem Feed verschwinden. Das Wischen zwischen den Feeds und die Suchschaltfläche bleiben wie sie sind.
Hide floating promotion badges, coins, and timer banners on the feed.	Schwebende Werbe-Abzeichen, Münzen und Timer-Banner auf der Startseite ausblenden.
Hide floating promotions	Schwebende Werbeaktionen ausblenden
Hide inserted cards	Eingeschobene Karten ausblenden
Hide message requests	Nachrichtenanfragen ausblenden
Hide message streaks	Nachrichten-Serien ausblenden
Hide new follower notifications	Follower-Hinweise ausblenden
Hide new followers	Neue Follower ausblenden
Hide paid partnerships	Bezahlte Partnerschaften ausblenden
Hide people and options by name	Personen und Optionen nach Name ausblenden
Hide photo posts	Fotobeiträge ausblenden
Hide picture comments	Bild-Kommentare ausblenden
Hide playlist videos	Playlist-Videos ausblenden
Hide promotional music	Werbemusik ausblenden
Hide comment typing suggestions	Kommentarvorschläge beim Tippen ausblenden
Hide rows by title	Zeilen nach Titel ausblenden
Hide the Inbox search button	Suchschaltfläche im Posteingang ausblenden
Hide suggestions on the search page	Vorschläge auf der Suchseite ausblenden
Hide sharing apps	Apps zum Teilen ausblenden
Hide stories tray	Story-Leiste ausblenden
Hide stories	Storys ausblenden
The accounts TikTok suggests you follow no longer take up rows in the Inbox.	Die Konten, die TikTok dir zum Folgen vorschlägt, belegen keine Zeilen mehr im Posteingang.
Hide suggested accounts	Vorgeschlagene Konten ausblenden
Hide surveys	Umfragen ausblenden
Hide tabs TikTok adds later unless you allow them.	Tabs ausblenden, die TikTok später hinzufügt, sofern du sie nicht erlaubst.
Hide the "Search this image" prompt shown over videos. The feed search button and suggestions above comments are separate settings.	Blende den Hinweis „Dieses Bild suchen“ über Videos aus. Die Suchschaltfläche im Feed und die Vorschläge über Kommentaren haben eigene Einstellungen.
The Activity row of likes and comments on your posts leaves the Inbox. Notifications about them still arrive.	Die Zeile Aktivität mit Likes und Kommentaren zu deinen Beiträgen verschwindet aus dem Posteingang. Benachrichtigungen dazu kommen weiterhin an.
The Archive row leaves the Inbox. Archived chats are kept.	Die Zeile Archiv verschwindet aus dem Posteingang. Archivierte Chats bleiben erhalten.
Hide the LIVE button	LIVE-Knopf ausblenden
Hide the LIVE button in the top left corner of the feed.	Den LIVE-Knopf in der linken oberen Ecke des Feeds ausblenden.
Hide LIVE videos from the feed.	LIVE-Videos aus dem Feed ausblenden.
The Message requests row leaves the Inbox. Requests keep arriving and wait there until you turn this off.	Die Zeile Nachrichtenanfragen verschwindet aus dem Posteingang. Anfragen kommen weiterhin an und warten dort, bis du das ausschaltest.
The New followers row leaves the top of the Inbox. The accounts still follow you.	Die Zeile Neue Follower verschwindet oben aus dem Posteingang. Die Konten folgen dir weiterhin.
Hide the Send to row	Zeile „Senden an“ ausblenden
Hide the Tako AI bubble above the profile button, the Ask bar under videos, the Ask Tako button on the search page, the Ask Tako tab on search results and the Tako bar above comments.	Die Tako-AI-Blase über der Profil-Schaltfläche, die Tako-Leiste unter Videos, die Schaltfläche „Tako fragen“ auf der Suchseite, den Tab „Tako fragen“ in den Suchergebnissen und die Tako-Leiste über den Kommentaren ausblenden.
The Tako assistant's conversation leaves the Inbox list. The Tako bubble on the feed has its own switch under Feed tabs.	Die Unterhaltung mit dem Tako-Assistenten verschwindet aus der Liste im Posteingang. Die Tako-Blase im Feed hat einen eigenen Schalter unter Feed-Tabs.
The activity status control leaves the Inbox header. Whether others see you as active is unchanged.	Das Steuerelement für den Aktivitätsstatus verschwindet aus der Kopfzeile des Posteingangs. Ob andere dich als aktiv sehen, ändert sich nicht.
Hide the add people icon	Symbol Personen hinzufügen ausblenden
The add people icon leaves the Inbox header. Only the shortcut goes, so friend suggestions elsewhere are unchanged.	Das Symbol Personen hinzufügen verschwindet aus der Kopfzeile des Posteingangs. Nur die Verknüpfung geht weg, Freundesvorschläge an anderen Stellen bleiben unverändert.
Hide the caption	Beschreibung ausblenden
Hide the description under the creator's name on the feed.	Die Beschreibung unter dem Namen des Creators im Feed ausblenden.
Hide the event badge	Event-Abzeichen ausblenden
Hide the floating promotional badge over the feed.	Das schwebende Werbe-Abzeichen über dem Feed ausblenden.
Hide the follow button on the feed	Folgen-Knopf im Feed ausblenden
Hide the friend recommendation card and the other cards TikTok slots between videos.	Die Freundesvorschlagskarte und die anderen Karten ausblenden, die TikTok zwischen Videos einschiebt.
Hide the launcher shortcuts	Launcher-Verknüpfungen ausblenden
Hide the music line	Musikzeile ausblenden
Hide photo posts from the feed.	Fotobeiträge aus dem Feed ausblenden.
Hide the playlist bar	Playlist-Leiste ausblenden
Hide the playlist bar along the bottom of videos that belong to a series.	Die Playlist-Leiste am unteren Rand von Videos ausblenden, die zu einer Serie gehören.
Hide the plus button under the creator's picture in the right column. Ticking Avatar and follow button above hides the picture with it.	Blendet das Plus unter dem Bild des Creators in der rechten Spalte aus. Mit dem Häkchen bei Avatar und Folgen-Button oben verschwindet auch das Bild.
Hide the purple rewards button beside Add friends on your profile.	Die violette Belohnungs-Schaltfläche neben „Freunde hinzufügen“ in deinem Profil ausblenden.
Hide the question cards TikTok slides over a video near its end.	Die Fragekarten ausblenden, die TikTok gegen Ende eines Videos einblendet.
Hide the rewards shortcut	Belohnungs-Schaltfläche ausblenden
Hide the right column	Rechte Spalte ausblenden
The row of story avatars across the top of the Inbox goes. Stories still play from the feed and from profiles.	Die Reihe der Story-Avatare oben im Posteingang verschwindet. Stories laufen weiterhin im Feed und auf Profilen.
Hide the save button in the right column. Ticking Save in the list above hides it too.	Den Speichern-Button in der rechten Spalte ausblenden. Ist Speichern in der Liste oben angehakt, ist er ebenfalls weg.
Hide the magnifying glass at the top right of the feed. Search in Inbox and suggestions above comments stay unchanged.	Blende die Lupe oben rechts im Feed aus. Die Suche im Posteingang und die Vorschläge über Kommentaren bleiben unverändert.
Hide the magnifying glass at the top of Inbox. Search on the feed and in comments is unchanged.	Die Lupe oben im Posteingang ausblenden. Die Suche im Feed und in Kommentaren bleibt unverändert.
Hide recommended searches before you type on TikTok's search page. Your search history stays. This doesn't hide suggestions above comments.	Blende empfohlene Suchen auf TikToks Suchseite aus, bevor du etwas eingibst. Dein Suchverlauf bleibt erhalten. Vorschläge über Kommentaren werden dadurch nicht ausgeblendet.
Hide the share prompt after a like	Die Teilen-Aufforderung nach einem Like ausblenden
Hide the spinning music cover and the track name beside the caption.	Das drehende Musik-Cover und den Titelnamen neben der Beschreibung ausblenden.
Hide the status bar	Statusleiste ausblenden
Hide stories from the feed.	Storys aus dem Feed ausblenden.
Hide the whole column on the right, from the avatar down to the music disc.	Die ganze rechte Spalte ausblenden, vom Avatar bis zur Musikscheibe.
Hide this creator on this phone	Diesen Creator auf diesem Gerät ausblenden
Hide verified accounts	Verifizierte Konten ausblenden
Hide video actions	Videoaktionen ausblenden
Hide videos carrying TikTok's AI-generated label.	Videos mit TikToks Kennzeichnung für KI-generierte Inhalte ausblenden.
Hide videos marked as paid partnership or branded content.	Videos ausblenden, die als bezahlte Partnerschaft oder Markeninhalt gekennzeichnet sind.
Hide videos posted as part of a playlist.	Videos ausblenden, die als Teil einer Playlist veröffentlicht wurden.
Hide videos posted by verified accounts.	Videos von verifizierten Konten ausblenden.
Hide videos that belong to a paid Series.	Videos ausblenden, die zu einer bezahlten Serie gehören.
Hide videos with a lot of views and few comments. Works the same way as views per like. Zero turns it off.	Blendet Videos mit vielen Aufrufen und wenigen Kommentaren aus. Funktioniert genauso wie Aufrufe pro Like. Null schaltet es aus.
Hide videos with a lot of views and few likes. Lower numbers are stricter, zero turns the rule off, and one video is kept back if everything the feed just sent would go.	Videos mit vielen Aufrufen und wenigen Likes ausblenden. Kleinere Zahlen sind strenger, null schaltet die Regel ab, und ein Video bleibt übrig, wenn alles wegfiele, was der Feed gerade geschickt hat.
Hide videos you have already seen	Bereits gesehene Videos ausblenden
Hide Search this image prompts	Hinweise zur Bildsuche ausblenden
Hiding	Ausblenden
Highest	Höchste
Historical	Historisch
Historical values	Frühere Werte
Hold a gate to choose several	Halte ein Gate gedrückt, um mehrere auszuwählen
Hold the feed after the budget	Feed nach dem Budget anhalten
Home	Startseite
Hook status	Funktionsprüfung
How far each edge press moves the video.	Wie weit ein Druck am Rand das Video bewegt.
Hushfeed cannot read the creator pattern %1$s	Hushfeed kann das Creator-Muster %1$s nicht lesen
Hushfeed hid a TikTok CAPTCHA. Turn off Hide CAPTCHA popups if something stops working.	Hushfeed hat ein TikTok-CAPTCHA ausgeblendet. Schalte „CAPTCHA-Popups ausblenden“ aus, wenn etwas nicht mehr funktioniert.
Hushfeed is active	Hushfeed ist aktiv
Ignore the creator's choice so the Duet and Stitch entries appear. Everything else the app checks still applies, and whether the upload is accepted is the server's decision.	Die Wahl der erstellenden Person übergehen, damit die Einträge Duett und Stitch erscheinen. Alle übrigen Prüfungen der App gelten weiterhin, und ob der Upload angenommen wird, entscheidet der Server.
Import finished	Import abgeschlossen
Import loaded values	Geladene Werte importieren
Imported %1$d values	%1$d Werte importiert
Imported %1$d values. Undo last Lab change is in the menu.	%1$d Werte importiert. Letzte Lab-Änderung rückgängig machen steht im Menü.
Inbox	Posteingang
Include diagnostic events	Diagnoseereignisse einschließen
Included diagnostics	Enthaltene Diagnosedaten
Includes all diagnostic events.	Enthält alle Diagnoseereignisse.
Includes these events: %1$s	Enthält diese Ereignisse: %1$s
Inserted cards	Eingefügte Karten
Keep a local record of what you have watched and hide those videos when the feed sends them again.	Lokal festhalten, was du gesehen hast, und diese Videos ausblenden, wenn der Feed sie noch einmal schickt.
Keep a paused video paused	Pausiertes Video pausiert lassen
Move to the next video when the current one ends. Pauses, open dialogs and screen-time holds stop it. Restart TikTok after changing this.	Zum nächsten Video wechseln, wenn das aktuelle endet. Pausen, offene Dialoge und Bildschirmzeit-Sperren halten dies an. Starte TikTok nach einer Änderung neu.
Keep captions in clear display	Untertitel in der freien Ansicht behalten
Keep going	Weitermachen
Keep the Favorites tab	Favoriten-Tab behalten
Keep the clock and status icons off the screen while TikTok is open. Swipe down from the top to peek at them.	Uhr und Statussymbole ausblenden, solange TikTok geöffnet ist. Wische von oben nach unten, um sie kurz zu sehen.
Keep the screen's refresh rate	Bildwiederholrate des Bildschirms behalten
Keep the speed you chose for the next video. Off, each new video starts at 1x and a manual choice lasts for that video only.	Behalte die gewählte Geschwindigkeit für das nächste Video. Aus, startet jedes neue Video mit 1x und eine manuelle Wahl gilt nur für dieses Video.
Keep this string to %1$s characters or fewer.	Halte diese Zeichenkette bei %1$s Zeichen oder weniger.
Keep this structured value to %1$s KB or less.	Begrenze diesen strukturierten Wert auf höchstens %1$s KB.
Kept to %1$s, the nearest value this row allows	Auf %1$s gesetzt, den nächsten Wert, den diese Zeile zulässt
Kinds of post	Beitragsarten
LIVE	LIVE
LIVE replays	LIVE-Wiederholungen
LIVE settings	Live-Einstellungen
LIVE share actions	Share-Aktionen bei LIVE
LIVE videos	LIVE-Videos
Lab data reset. Undo last Lab change is in the menu. Restart TikTok to apply this.	Lab-Daten zurückgesetzt. Letzte Lab-Änderung rückgängig machen steht im Menü. TikTok neu starten, damit das gilt.
Lab data was over its rule limit, so it was cleared without an undo copy. Restart TikTok to apply this.	Die Lab-Daten überschritten das Regellimit und wurden daher ohne Rückgängig-Kopie gelöscht. TikTok neu starten, damit das gilt.
Lab overrides reset. Undo last Lab change is in the menu. Restart TikTok to apply this.	Lab-Überschreibungen zurückgesetzt. Letzte Lab-Änderung rückgängig machen steht im Menü. TikTok neu starten, damit das gilt.
Larger (1.25x)	Größer (1,25x)
Last original value	Letzter Originalwert
Last recording: %1$d gates.	Letzte Aufzeichnung: %1$d Gates.
Last recording: 1 gate.	Letzte Aufzeichnung: 1 Gate.
Layout	Layout
Layout, player, search and system	Layout, Player, Suche und System
Leave maximum empty to keep it unlimited.	Lass das Maximum leer, damit es unbegrenzt bleibt.
Leave the sound out of the saved video. Save the sound as well still writes the .m4a beside it if you want both.	Den Ton aus dem gespeicherten Video weglassen. Ton ebenfalls speichern schreibt die .m4a weiterhin daneben, wenn du beides willst.
Length and views per like	Länge und Aufrufe pro Like
Less than a minute left	Weniger als eine Minute übrig
Let screenshots, screen recording and Circle to Search work on TikTok again. Restart TikTok to apply this.	Screenshots, Bildschirmaufnahme und Circle to Search auf TikTok wieder zulassen. TikTok neu starten, damit das gilt.
Let the Offline videos menu use your own limit instead of TikTok's fixed one. Restart TikTok to apply this.	Das Menü Offline-Videos deine eigene Grenze statt TikToks fester verwenden lassen. TikTok neu starten, damit das gilt.
Licenses	Lizenzen
Like	Gefällt mir
Limits	Grenzen
Link copied	Link kopiert
Links	Links
Links in comments open	Links in Kommentaren lassen sich öffnen
More opens the comments	Mehr öffnet die Kommentare
Tapping more under a video opens its comments with the whole caption at the top instead of spreading the caption over the video. A tap on the caption itself does the same. Photo posts keep TikTok's own page for this.	Ein Tippen auf mehr unter einem Video öffnet seine Kommentare mit der ganzen Beschreibung oben, statt die Beschreibung über das Video zu legen. Ein Tippen auf die Beschreibung selbst macht dasselbe. Fotobeiträge behalten dafür TikToks eigene Seite.
Caption above comments	Beschreibung über den Kommentaren
The comment button also opens a video's comments with its caption at the top. The caption over the video goes away while this is on.	Auch der Kommentar-Button öffnet die Kommentare eines Videos mit seiner Beschreibung oben. Die Beschreibung über dem Video verschwindet, solange das an ist.
Loaded current values. Loading all known gates...	Aktuelle Werte geladen. Alle bekannten Schalter werden geladen ...
Loaded values are still being read. Try again in a moment.	Die geladenen Werte werden noch gelesen. Versuche es gleich noch einmal.
Loaded-value file export failed	Der Export der geladenen Werte ist fehlgeschlagen
Loading gates...	Schalter werden geladen ...
Loading local catalog and current TikTok cache...	Lokaler Katalog und aktueller TikTok-Cache werden geladen ...
Creators hidden on this phone	Auf diesem Gerät ausgeblendete Creator
Lock today's budget	Heutiges Budget sperren
Logging, hook status and reports	Protokolle, Hook-Status und Berichte
Long press	Langes Drücken
Hold speed on Comment	Halte-Geschwindigkeit auf Kommentare
A long press on Comment plays the video at the hold speed instead of opening the emoji row. It needs Long press on TikTok default and Seek from the edges off.	Langes Drücken auf Kommentare spielt das Video mit der Halte-Geschwindigkeit ab, statt die Emoji-Leiste zu öffnen. Dafür muss Langes Drücken auf TikTok-Standard stehen und Von den Rändern springen aus sein.
Hold speed on Share	Halte-Geschwindigkeit auf Teilen
A long press on Share plays the video at the hold speed instead of opening the quick share row. It needs Long press on TikTok default and Seek from the edges off.	Langes Drücken auf Teilen spielt das Video mit der Halte-Geschwindigkeit ab, statt die Schnell-Teilen-Leiste zu öffnen. Dafür muss Langes Drücken auf TikTok-Standard stehen und Von den Rändern springen aus sein.
Hold speed on Favorites	Halte-Geschwindigkeit auf Favoriten
A long press on Favorites plays the video at the hold speed instead of offering a new collection. It needs Long press on TikTok default and Seek from the edges off.	Langes Drücken auf Favoriten spielt das Video mit der Halte-Geschwindigkeit ab, statt eine neue Sammlung anzubieten. Dafür muss Langes Drücken auf TikTok-Standard stehen und Von den Rändern springen aus sein.
Lowest	Niedrigste
Make TikTok yours.	Mach TikTok zu deinem TikTok.
Manager	Manager
Marked as not interested	Als „Kein Interesse“ markiert
Match locale and timezone to country	Sprache und Zeitzone an das Land anpassen
Maximum	Maximum
Maximum post age	Höchstalter von Beiträgen
Maximum video length	Maximale Videolänge
Maximum views per comment	Maximale Aufrufe pro Kommentar
Maximum views per like	Maximale Aufrufe pro Like
Media	Medien
Media config (VE)	Medienkonfiguration (VE)
