# Settings text, English on the left, Indonesian on the right, one entry per line, tab separated.
# scripts/gen-l10n.py turns this into a table inside L10nTranslations.java.
# Keep %s and %d placeholders, {tokens} and product names as they are.
%1$s destinations must start with %2$s	Tujuan %1$s harus diawali %2$s
%1$s isn't installed or doesn't take links	%1$s tidak terpasang atau tidak menerima tautan
%d languages excluded	%d bahasa dikecualikan
%s on	%s aktif
Quality, files, subtitles and hand-off	Kualitas, berkas, subtitel, dan penerusan
Quality, speed and automatic advance	Kualitas, kecepatan, dan lanjut otomatis
Recorded gate reads (%d)	Pembacaan gate yang terekam (%d)
Recording gate reads. Use a feature, then return here to stop.	Merekam pembacaan gate. Pakai sebuah fitur, lalu kembali ke sini untuk berhenti.
Recover the settings saved before the last restore or reset.	Ambil kembali pengaturan yang tersimpan sebelum pemulihan atau penyetelan ulang terakhir.
Region settings	Pengaturan wilayah
Remove ads from feed.	Hapus iklan dari feed.
Remove feed ads	Hapus iklan di feed
Remove secure window flags. Restart TikTok after changing.	Hapus flag jendela aman. Mulai ulang TikTok setelah mengubahnya.
Remove the actions row from the share sheet.	Hapus baris aksi dari menu bagikan.
Remove the ads TikTok puts between videos.	Hapus iklan yang TikTok sisipkan di antara video.
Remove the row of friends from the top of the share sheet.	Hapus baris teman dari bagian atas menu bagikan.
Remove the Share via row.	Hapus baris Bagikan lewat.
Remove tracking parameters from shared links.	Hapus parameter pelacakan dari tautan yang dibagikan.
Remove watermark	Hapus tanda air
Report saved to %1$s	Laporan disimpan di %1$s
Reset settings	Setel ulang pengaturan
Restore failed. Some settings may still be changed.	Pemulihan gagal. Beberapa pengaturan mungkin masih berubah.
Restore failed. Some settings may still be changed. Use Undo to recover.	Pemulihan gagal. Beberapa pengaturan mungkin masih berubah. Gunakan Urungkan untuk memulihkannya.
Restore defaults immediately. Your current settings are kept for Undo.	Kembalikan ke bawaan sekarang juga. Pengaturanmu yang sekarang disimpan untuk Urungkan.
Restore settings	Pulihkan pengaturan
Resume videos after scrolling	Lanjutkan video setelah menggulir
Return after using a TikTok feature to see every gate read during the recording.	Kembali ke sini setelah memakai fitur TikTok untuk melihat semua gate yang dibaca selama perekaman.
Sanitize sharing links	Bersihkan tautan berbagi
Save	Simpan
Save a profile picture on a long press	Simpan foto profil dengan tekan lama
Save a story on a long press	Simpan Story dengan tekan lama
Save every photo in the post directly from its source URL, without rendering it again.	Simpan setiap foto dalam unggahan langsung dari URL sumbernya, tanpa dirender ulang.
Save JSON	Simpan JSON
Save patch settings and Feature Gate Lab rules to a JSON file.	Simpan pengaturan patch dan aturan Feature Gate Lab ke berkas JSON.
Save SRT files with the video. Paired saves use Movies on Android 11+, Download on Android 10, and your video folder on older versions.	Simpan berkas SRT bersama videonya. Penyimpanan berpasangan memakai Movies di Android 11+, Download di Android 10, dan folder videomu di versi lama.
Save subtitles beside videos	Simpan subtitle bersama video
Save the latest available TikTok crash report for diagnostic export.	Simpan laporan mogok TikTok terbaru yang tersedia untuk diekspor sebagai diagnostik.
Save the sound as well	Simpan suaranya juga
Save videos without sound	Simpan video tanpa suara
Saved %1$s of %2$s photos before the story failed	%1$s dari %2$s foto tersimpan sebelum Story gagal
Saved %1$s original photos	%1$s foto asli tersimpan
Saved %1$s photos. The rest failed, so try again.	%1$s foto tersimpan. Sisanya gagal, coba lagi.
Saving %1$s original photos	Menyimpan %1$s foto asli
Saving settings backup	Menyimpan cadangan pengaturan
Saving sticker	Menyimpan stiker
Saving the selected video quality	Menyimpan kualitas video pilihan
Saving the selected video quality without sound	Menyimpan kualitas video pilihan tanpa suara
Saving the story	Menyimpan Story
Saving video and subtitles to %1$s	Menyimpan video dan subtitel ke %1$s
Search and override gate flags	Cari dan timpa flag gate
Search language or code	Cari bahasa atau kode
Search local TikTok gate metadata and configure isolated typed overrides.	Cari metadata gate TikTok yang tersimpan di perangkat dan atur penimpaan bertipe secara terpisah.
Search the comments	Cari di komentar
Search these comments	Cari di komentar ini
Search without personalisation, whatever your account is set to.	Cari tanpa personalisasi, apa pun setelan akunmu.
Seconds. Zero keeps every length. If a whole batch would be filtered out, the video closest to your limit is kept so the feed is not empty.	Detik. Nol menyimpan semua durasi. Kalau satu batch penuh akan tersaring habis, video yang paling dekat dengan batasmu tetap ada agar feed tidak kosong.
Seconds. Zero keeps every length. If only quality rules reject a page, keep the nearest allowed candidate.	Dalam detik. Nol berarti semua durasi ditampilkan. Jika hanya aturan kualitas yang menolak satu halaman, video terdekat yang masih diizinkan tetap dipertahankan.
second	detik
seconds	detik
Seek by	Jarak lompatan
Seek from the edges	Lompat dari tepi layar
Seen video history cleared	Riwayat video yang sudah ditonton dihapus
Seen video history cleared. Tap again to put it back.	Riwayat video yang sudah ditonton dihapus. Ketuk lagi untuk mengembalikannya.
Seen video history put back	Riwayat video yang sudah ditonton dikembalikan
Could not put back the seen video history. Try again.	Riwayat video yang sudah ditonton tidak dapat dikembalikan. Coba lagi.
Send links to another app	Kirim tautan ke aplikasi lain
Sending feedback	Mengirim masukan
Settings	Pengaturan
Settings backup saved	Cadangan pengaturan disimpan
Settings saved. Restart TikTok to apply all changes.	Pengaturan tersimpan. Mulai ulang TikTok untuk menerapkan semua perubahan.
Share links through another host	Bagikan tautan lewat host lain
Share sheet	Menu bagikan
Show @username beside a video instead of the display name the creator chose.	Tampilkan @namapengguna di samping video, bukan nama tampilan pilihan kreator.
Show a video preview thumbnail while dragging the seekbar.	Tampilkan pratinjau video saat bilah progres digeser.
Show block button on videos	Tampilkan tombol blokir di video
Show Live search	Tampilkan pencarian LIVE
Show seekbar	Tampilkan bilah progres
Show seekbar thumbnail	Tampilkan pratinjau video di bilah progres
Show the country a video was posted from next to the creator's name.	Tampilkan negara asal unggahan video di sebelah nama kreator.
Show the current spoken caption while the other controls are hidden.	Tampilkan teks ucapan yang sedang berjalan meski kontrol lain disembunyikan.
Show the handle instead of the name	Tampilkan nama pengguna, bukan nama tampilan
Show the native seekbar on videos where TikTok would normally hide it.	Tampilkan bilah progres bawaan pada video yang biasanya disembunyikan TikTok.
Show the whole Activity and New followers lists instead of stopping at a View all button.	Tampilkan seluruh daftar Aktivitas dan Pengikut baru, bukan berhenti di tombol Lihat semua.
Show the whole video instead of cropping it to the window. Nothing changes on a tall phone, where it already fits. On a folding phone opened up, a squarer screen or a split view the sides or the ends stop being cut off.	Tampilkan video secara utuh, bukan dipotong mengikuti jendela. Di ponsel yang tinggi tidak ada yang berubah karena videonya memang sudah pas. Di ponsel lipat yang dibuka, layar yang lebih persegi, atau mode layar terbagi, sisi atau ujung videonya tidak lagi terpotong.
Show TikTok's own progress bar on videos where it is normally hidden.	Tampilkan bilah progres TikTok pada video yang biasanya menyembunyikannya.
Show TikTok's search entry in the Live drawer where supported.	Tampilkan kolom cari TikTok di laci LIVE bila didukung.
Show where a video was posted	Tampilkan asal unggahan video
SIM country preset	Praset negara SIM
SIM preset saved	Pratata SIM disimpan
SIM preset saved. Restart TikTok to apply it.	Pratata SIM disimpan. Mulai ulang TikTok agar berlaku.
Skip blocked sounds	Lewati suara yang diblokir
Skip content warnings	Lewati peringatan konten
Skip recorded LIVE broadcasts in the feed.	Lewati rekaman siaran LIVE di feed.
Skip videos marked as using promotional music.	Lewati video yang ditandai memakai musik promosi.
Skip videos that use a sound blocked with the player's sound button, or named below.	Lewati video yang memakai suara yang diblokir lewat tombol suara di pemutar, atau yang namanya ada di bawah.
Skipping videos with %1$s	Melewati video dengan %1$s
Sound saved to %1$s	Suara disimpan di %1$s
Source code and releases	Kode sumber dan rilis
sp	sp
view per like	tayangan per like
views per like	tayangan per like
Speed menu choices	Pilihan di menu kecepatan
Split comment minimum width	Lebar minimum tata letak terbagi
Start each new video at your default. A manual choice lasts until the video changes.	Mulai tiap video baru pada kecepatan pilihanmu. Pilihan manual bertahan sampai videonya berganti.
Start feature gate recording	Mulai merekam feature gate
Sticker	Stiker
Sticker destination	Lokasi simpan stiker
Sticker saved as %1$s	Stiker disimpan sebagai %1$s
Still reading the record. Tap again in a moment.	Catatannya masih dibaca. Ketuk lagi sebentar lagi.
Still saving the last one	Yang sebelumnya masih disimpan
Stop ByteDance AppLog events, AppsFlyer attribution, explicit Firebase screen reports and crash reporting from being sent. TikTok's own diagnostics go quiet with them.	Hentikan pengiriman peristiwa AppLog ByteDance, atribusi AppsFlyer, laporan layar Firebase, dan laporan mogok. Diagnostik milik TikTok ikut diam bersamanya.
Stop feature gate recording	Hentikan rekaman feature gate
Stop the brand animation that plays over the comments when what someone typed matches an advertiser's trigger.	Hentikan animasi merek yang muncul di atas komentar saat ketikan seseorang cocok dengan pemicu pengiklan.
Stop TikTok asking the screen to run at the frame rate of the video it is playing. On a 90 or 120 Hz phone that ask slows the whole app down to the video's rate, scrolling included.	Hentikan TikTok meminta layar berjalan pada laju bingkai video yang sedang diputar. Di ponsel 90 atau 120 Hz, permintaan itu memperlambat seluruh aplikasi sampai ke laju videonya, termasuk saat menggulir.
Stop TikTok reporting that you viewed a story or a profile, that you are typing. Online status is unchanged. It cannot undo what the server has already recorded.	Hentikan TikTok melaporkan bahwa kamu melihat Story atau profil, dan bahwa kamu sedang mengetik. Status online tidak berubah. Ini tidak bisa membatalkan yang sudah tercatat di server.
Stop video looping	Hentikan pengulangan video
Stop videos at the end instead of replaying them.	Hentikan video di akhir, bukan memutarnya ulang.
Storage permission is needed to save a story	Izin penyimpanan dibutuhkan untuk menyimpan Story
Story saved to %1$s	Story disimpan ke %1$s
Subtitle language	Bahasa subtitle
Take away the streak button in a chat and the reminder message that goes with it.	Hilangkan tombol rentetan di obrolan beserta pesan pengingatnya.
Tap %1$s again to send	Ketuk %1$s lagi untuk mengirim
Tap again to %1$s	Ketuk lagi untuk %1$s
Tap the feed Follow button twice within four seconds.	Ketuk tombol Ikuti di feed dua kali dalam empat detik.
Tap the like heart twice within four seconds. Removing a like stays immediate.	Ketuk ikon hati dua kali dalam empat detik. Membatalkan suka tetap langsung berlaku.
That creator pattern is too long to use, so it was skipped: %1$s	Pola kreator itu terlalu panjang, jadi dilewati: %1$s
That creator pattern is too long to use: %1$s	Pola kreator itu terlalu panjang: %1$s
That is not an app name. Try something like com.example.downloader, or leave the box empty to keep saving in TikTok.	Itu bukan nama aplikasi. Coba seperti com.example.downloader, atau kosongkan saja biar tetap disimpan di TikTok.
That settings change did not go through. Nothing was altered.	Perubahan itu tidak berhasil. Tidak ada yang diubah.
The settings backup was rejected. Nothing was altered.	Cadangan pengaturan ditolak. Tidak ada yang diubah.
That sticker is in a format Hushfeed cannot read	Stiker itu formatnya tidak bisa dibaca Hushfeed
The destination contains an invalid folder name	Ada nama folder yang tidak sah di tujuannya
The file picker is not available on this device.	Pemilih berkas tidak tersedia di perangkat ini.
The minimum or maximum comments on a video to show.	Jumlah komentar minimum atau maksimum agar video ditampilkan.
The minimum or maximum favourites of a video to show.	Jumlah favorit minimum atau maksimum agar video ditampilkan.
The minimum or maximum likes of a video to show.	Jumlah suka minimum atau maksimum agar video ditampilkan.
The minimum or maximum shares of a video to show.	Jumlah bagikan minimum atau maksimum agar video ditampilkan.
The minimum or maximum views of a video to show.	Jumlah tayangan minimum atau maksimum agar video ditampilkan.
The original photos aren't available, so TikTok's own save runs instead	Foto aslinya tidak tersedia, jadi TikTok yang menyimpannya
The profile picture couldn't be saved.	Foto profilnya tidak bisa disimpan.
The report could not be saved.	Laporannya tidak bisa disimpan.
The sound couldn't be saved.	Suaranya tidak bisa disimpan.
The sticker could not be downloaded	Stikernya tidak bisa diunduh
The sticker could not be saved	Stikernya tidak bisa disimpan
The story couldn't be saved.	Story-nya tidak bisa disimpan.
The thumbs down on each comment blocks the account that posted it instead of disliking. The comment dims, an undo banner follows, and a second tap unblocks.	Jempol ke bawah pada tiap komentar memblokir akun penulisnya, bukan memberi dislike. Komentarnya meredup, ada spanduk untuk membatalkan, dan ketukan kedua membuka blokirnya.
The thumbs down on each comment blocks the account that posted it instead of disliking. The comment dims, an undo banner follows, and a second tap unblocks. Takes effect after a restart.	Jempol ke bawah pada tiap komentar memblokir akun yang menulisnya, bukan menandai tidak suka. Komentarnya meredup, muncul spanduk untuk mengurungkan, dan ketukan kedua membuka blokirnya. Berlaku setelah mulai ulang.
The video couldn't be saved. Try again, or choose Automatic.	Videonya tidak bisa disimpan. Coba lagi, atau pilih Otomatis.
Too many media saves are already running. Try again shortly.	Terlalu banyak penyimpanan media yang sedang berjalan. Coba lagi sebentar.
There was nothing to clear	Tidak ada yang bisa dihapus
There was nothing to put back	Tidak ada yang bisa dikembalikan
This deletes the local record only. Your TikTok account history is not touched.	Ini hanya menghapus catatan di perangkat. Riwayat akun TikTok-mu tidak disentuh.
This profile picture isn't available to save	Foto profil ini tidak bisa disimpan
This quality isn't available as a complete file, so TikTok's own save runs instead	Kualitas ini tidak tersedia sebagai berkas utuh, jadi TikTok yang menyimpannya
This story isn't available to save	Story ini tidak bisa disimpan
This video has no link to send, so TikTok's own save runs instead	Video ini tidak punya tautan untuk dikirim, jadi TikTok yang menyimpannya
Thumbs down blocks the commenter	Jempol ke bawah memblokir pengomentar
TikTok default	Bawaan TikTok
TikTok default (2x hold, quick share)	Bawaan TikTok (tahan 2x, bagikan cepat)
TikTok didn't accept the feedback. Try again later.	TikTok tidak menerima masukannya. Coba lagi nanti.
TikTok patches for Morphe, built on the Metra patches by icysymmetra and the community sets before them. Tap to open the project page.	Patch TikTok untuk Morphe, dibangun di atas patch Metra buatan icysymmetra dan kumpulan komunitas sebelumnya. Ketuk untuk membuka halaman proyek.
TikTok refused the follow: %1$s	TikTok menolak permintaan mengikuti: %1$s
Tokens: {creator}, {date}, {video_id}, {index}. The file extension is kept automatically.	Token: {creator}, {date}, {video_id}, {index}. Ekstensi berkas dipertahankan otomatis.
Tokens: {creator}, {date}, {video_id}. The file extension is kept automatically.	Token: {creator}, {date}, {video_id}. Ekstensi berkas dipertahankan otomatis.
Tokens: {date}, {media_id}. Works for image and video stickers.	Token: {date}, {media_id}. Berlaku untuk stiker gambar dan video.
Translate comments as they load, using TikTok's own translator.	Terjemahkan komentar saat dimuat, memakai penerjemah TikTok sendiri.
Transparent	Transparan
Try a country name, or a two-letter code	Coba nama negara, atau kode dua huruf
Two letters, like us, gb or jp.	Dua huruf, misalnya us, gb atau jp.
Unblocked %1$s	%1$s dibuka blokirnya
Undo	Urungkan
Undo last restore	Urungkan pemulihan terakhir
Unlimited	Tanpa batas
Up to 8 speeds from 0.5 to 3, separated by commas. Example: 0.5, 1, 1.5, 2, 2.5, 3. Leave empty for TikTok's list. Restart after changing this list.	Sampai 8 kecepatan dari 0.5 hingga 3, dipisahkan koma. Contoh: 0.5, 1, 1.5, 2, 2.5, 3. Kosongkan untuk memakai daftar TikTok. Mulai ulang setelah mengubah daftar ini.
Updating settings	Memperbarui pengaturan
us, gb, jp, ...	us, gb, jp, ...
Use 0 for TikTok's size, or 12 to 48 sp. Applies to the next caption.	Pakai 0 untuk ukuran bawaan TikTok, atau 12 sampai 48 sp. Berlaku untuk keterangan berikutnya.
Use a default playback speed	Pakai kecepatan pemutaran bawaan
Use non-personalized search	Pakai pencarian nonpersonal
Use Save JSON for this large report	Pakai Simpan JSON untuk laporan sebesar ini
Use the preset for TikTok's account and store region getters too. May affect search. Requires the locale option and a restart.	Pakai praset itu untuk pembaca wilayah akun dan toko TikTok juga. Bisa memengaruhi pencarian. Perlu opsi lokal dan mulai ulang.
Use the selected country and operator values. Restart TikTok after changing region settings.	Pakai nilai negara dan operator yang dipilih. Mulai ulang TikTok setelah mengubah pengaturan wilayah.
Use the split layout on wider screens. Restart TikTok after changing this option or unfolding if the old layout remains.	Pakai tata letak terbagi pada layar yang lebih lebar. Mulai ulang TikTok setelah mengubah opsi ini atau setelah membuka lipatan jika tata letak lama masih muncul.
Use TikTok's native hold, slide down, and release gesture to lock 2x speed.	Pakai gestur bawaan TikTok, tahan lalu geser ke bawah dan lepas, untuk mengunci kecepatan 2x.
Use TikTok's non-personalized search state instead of the saved account choice.	Pakai mode pencarian nonpersonal milik TikTok, bukan pilihan akun yang tersimpan.
Video	Video
Video (MP4)	Video (MP4)
Video destination	Lokasi simpan video
Video download quality	Kualitas unduhan video
Video filename	Nama berkas video
Video playback quality	Kualitas pemutaran video
Video saved	Video disimpan
Video saved in %1$s, but only %2$s of %3$s subtitles came with it	Video disimpan di %1$s, tapi cuma %2$s dari %3$s subtitel yang ikut
Video saved with %1$s subtitles in %2$s	Video disimpan dengan %1$s subtitel di %2$s
videos	video
Wait before hiding the controls.	Tunggu sebelum kontrol disembunyikan.
WebP, exactly as TikTok sent it	WebP, persis seperti yang dikirim TikTok
Window width needed to enable the layout. Restart after changing.	Lebar jendela yang dibutuhkan agar tata letak ini aktif. Mulai ulang setelah mengubahnya.
Write the video's sound beside it as an .m4a. Android 10 and later file audio separately, so it lands in Music under the same folder name as your videos.	Simpan suara video di sebelahnya sebagai .m4a. Android 10 ke atas menyimpan audio secara terpisah, jadi berkasnya masuk ke Music dengan nama folder yang sama seperti folder videomu.
YOUR EXPERIENCE	PENGALAMANMU
Your operator's name, like T-Mobile.	Nama operatormu, misalnya T-Mobile.
Your operator's numeric code, like 310260.	Kode angka operatormu, misalnya 310260.
Clear search	Hapus pencarian
Could not open settings search	Pencarian setelan tidak bisa dibuka
Find a setting by title or description	Temukan setelan berdasarkan judul atau deskripsi
No matching settings	Tidak ada setelan yang cocok
Search a title, description or category.	Cari judul, deskripsi, atau kategori.
Search settings	Cari setelan
Search translated titles and descriptions, then open the original setting.	Cari judul dan deskripsi terjemahan, lalu buka setelan asli.
Try a different word or clear the search.	Coba kata lain atau hapus pencarian.
Type to search settings	Ketik untuk mencari setelan
