%1$d already matched	%1$d ya coincidían
%1$d areas were checked and everything they need is here.	Se comprobaron %1$d áreas y está todo lo que necesitan.
%1$d fields overridden	%1$d campos sobrescritos
%1$d fields will be overridden when requested	%1$d campos se sobrescribirán cuando se soliciten
%1$d gates selected	%1$d interruptores seleccionados
%1$d minutes left	Quedan %1$d minutos
%1$d rejected	%1$d rechazados
%1$d results	%1$d resultados
%1$d results so far	%1$d resultados hasta ahora
%1$d results so far, and more not counted	%1$d resultados hasta ahora, y más sin contar
%1$d results, filtered to %2$s	%1$d resultados, filtrados por %2$s
%1$d setting was not in that file and was left as it is.	%1$d ajuste no estaba en ese archivo y se dejó como estaba.
%1$d settings were not in that file and were left as they are.	%1$d ajustes no estaban en ese archivo y se dejaron como estaban.
%1$d unavailable	%1$d no disponibles
%1$s (%2$s)	%1$s (%2$s)
%1$s (custom, unverified)	%1$s (personalizado, sin verificar)
%1$s (override returned)	%1$s (se devolvió la sobrescritura)
%1$s (TikTok value)	%1$s (valor de TikTok)
%1$s (will be returned when requested)	%1$s (se devolverá cuando se solicite)
%1$s / current cache only	%1$s / solo caché actual
%1$s / generated registry	%1$s / registro generado
%1$s / generated registry and current cache	%1$s / registro generado y caché actual
%1$s / local catalog	%1$s / catálogo local
%1$s and above	%1$s y superior
%1$s appears more than once in this file.	%1$s aparece más de una vez en este archivo.
%1$s changed	%1$s cambiados
%1$s destinations must start with %2$s	Los destinos de %1$s deben empezar por %2$s
%1$s has an invalid value. %2$s	%1$s tiene un valor no válido. %2$s
%1$s has no supported override boundary in this Lab build.	%1$s no tiene un límite de sobrescritura compatible en esta compilación del Lab.
%1$s has type %2$s, but the file says %3$s.	%1$s tiene el tipo %2$s, pero el archivo indica %3$s.
%1$s is not a country code, so no video would ever match it. Use two letters, like GB, IE or US.	%1$s no es un código de país, así que ningún vídeo coincidiría nunca. Usa dos letras, como GB, IE o US.
%1$s is not in this Lab catalog.	%1$s no está en este catálogo del Lab.
%1$s isn't installed or doesn't take links	%1$s no está instalado o no acepta enlaces
%1$s left	Queda %1$s
%1$s min left	Quedan %1$s min
%1$s to %2$s	De %1$s a %2$s
%1$s videos left	Quedan %1$s videos
%1$s was rejected. %2$s	%1$s fue rechazado. %2$s
%1$s, %2$s, %3$s, %4$s, %5$s	%1$s, %2$s, %3$s, %4$s, %5$s
%1$s, selected	%1$s, seleccionado
%1$s. %2$s	%1$s. %2$s
%1$s: %2$d found, %3$d missing	%1$s: %2$d encontrados, %3$d faltan
%1$s: %2$d found, %3$d missing, and more it stopped counting	%1$s: %2$d encontrados, %3$d faltan, y más que dejó de contar
%1$s: %2$d found, %3$d missing, and more it stopped counting. First missing: %4$s	%1$s: %2$d encontrados, %3$d faltan, y más que dejó de contar. El primero que faltó: %4$s
%1$s: %2$d found, %3$d missing. First missing: %4$s	%1$s: %2$d encontrados, %3$d faltan. El primero que faltó: %4$s
1 field overridden	1 campo sobrescrito
Hide people and options by name	Ocultar personas y opciones por nombre
Hide photo posts	Ocultar las publicaciones de fotos
Hide picture comments	Ocultar los comentarios con imagen
Hide playlist videos	Ocultar los vídeos de listas de reproducción
Hide promotional music	Ocultar la música promocional
Hide quick comment reactions	Ocultar las reacciones rápidas a los comentarios
Hide rows by title	Ocultar filas por título
Hide search	Ocultar la búsqueda
Hide search suggestions	Ocultar las sugerencias de búsqueda
Hide Series	Ocultar Series
Hide sharing apps	Ocultar las apps para compartir
Hide stories tray	Ocultar la bandeja de historias
Hide story	Ocultar las historias
Hide suggested account rows.	Ocultar las filas de cuentas sugeridas.
Hide suggested accounts	Ocultar las cuentas sugeridas
Hide surveys	Ocultar las encuestas
Hide tabs TikTok adds later unless you allow them.	Ocultar las pestañas que TikTok añada más adelante salvo que las permitas.
Hide Tako AI	Ocultar Tako AI
Hide the "Search this image" prompt TikTok shows over videos when it spots something to shop for.	Ocultar el aviso "Buscar esta imagen" que TikTok pone sobre los vídeos cuando ve algo que vender.
Hide the Activity row of likes and comments on your posts.	Ocultar la fila de Actividad con los me gusta y los comentarios en tus publicaciones.
Hide the activity status control in the Inbox header.	Ocultar el control de estado de actividad en la cabecera de la bandeja.
Hide the add people icon	Ocultar el icono de añadir personas
Hide the add people icon in the Inbox header.	Ocultar el icono de añadir personas en la cabecera de la bandeja.
Hide the Archive row.	Ocultar la fila de Archivo.
Hide the arrow and its count in the right column.	Ocultar la flecha y su número en la columna derecha.
Hide the avatar and follow button	Ocultar la foto y el botón de seguir
Hide the caption	Ocultar la descripción
Hide the comments button	Ocultar el botón de comentarios
Hide the counts on the right column	Ocultar los números de la columna derecha
Hide the creator's picture and the plus button at the top of the right column. Hide the follow button on the feed hides the plus button on its own.	Ocultar la foto del creador y el botón más de la parte de arriba de la columna derecha. Ocultar el botón de seguir del feed oculta solo el botón más.
Hide the description under the creator's name on the feed.	Ocultar la descripción bajo el nombre del creador en el feed.
Hide the event badge	Ocultar la insignia de evento
Hide the floating promotional badge over the feed.	Ocultar la insignia promocional flotante sobre el feed.
Hide the follow button on the feed	Ocultar el botón de seguir del feed
Hide the friend recommendation card and the other cards TikTok slots between videos.	Ocultar la tarjeta de amigos recomendados y las demás tarjetas que TikTok mete entre vídeos.
Hide the heart and its count in the right column.	Ocultar el corazón y su número en la columna derecha.
Hide the launcher shortcuts	Ocultar los accesos directos del lanzador
Hide the like button	Ocultar el botón de me gusta
Hide the LIVE button	Ocultar el botón de LIVE
Hide the LIVE button in the top left corner of the feed.	Ocultar el botón de LIVE en la esquina superior izquierda del feed.
Hide the LIVE videos from the feed.	Ocultar del feed los vídeos LIVE.
Hide the Message requests row.	Ocultar la fila de Solicitudes de mensaje.
Hide the music disc	Ocultar el disco de música
Hide the music line	Ocultar la línea de música
Hide the New followers row.	Ocultar la fila de Nuevos seguidores.
Hide the numbers under the like, comment, favorite and share buttons. The buttons stay.	Ocultar los números bajo los botones de me gusta, comentar, favoritos y compartir. Los botones se quedan.
Hide the photo posts from the feed.	Ocultar del feed las publicaciones de fotos.
Hide the playlist bar	Ocultar la barra de la lista de reproducción
Hide the playlist bar along the bottom of videos that belong to a series.	Ocultar la barra de la lista de reproducción en la parte de abajo de los vídeos que pertenecen a una serie.
Hide the plus button under the creator's picture in the right column. Hide the avatar and follow button hides the picture with it.	Ocultar el botón más bajo la foto del creador en la columna derecha. Ocultar la foto y el botón de seguir se lleva también la foto.
Hide the question cards TikTok slides over a video near its end.	Ocultar las tarjetas con preguntas que TikTok desliza sobre un vídeo cerca del final.
Hide the right column	Ocultar la columna derecha
Hide the row of story avatars across the top of the Inbox.	Ocultar la fila de fotos de historias en la parte de arriba de la bandeja.
Hide the save button	Ocultar el botón de guardar
Hide the save button and its count in the right column.	Ocultar el botón de guardar y su número en la columna derecha.
Hide the save button in the right column.	Ocultar el botón de guardar en la columna derecha.
Hide the search button in the top right corner of the feed.	Ocultar el botón de buscar en la esquina superior derecha del feed.
Hide the search icon in the Inbox header.	Ocultar el icono de buscar en la cabecera de la bandeja.
Hide the searches TikTok offers before you type. Your own search history stays.	Ocultar las búsquedas que TikTok propone antes de que escribas. Tu propio historial de búsqueda se queda.
Hide the Send to row	Ocultar la fila Enviar a
Hide the share button	Ocultar el botón de compartir
Hide the share prompt after a like	Ocultar la sugerencia de compartir tras un me gusta
Hide the speech bubble and its count in the right column.	Ocultar el bocadillo y su número en la columna derecha.
Hide the spinning music cover and the track name beside the caption.	Ocultar la portada giratoria de la música y el nombre de la pista junto a la descripción.
Hide the spinning record at the bottom of the right column.	Ocultar el disco giratorio en la parte de abajo de la columna derecha.
Hide the status bar	Ocultar la barra de estado
Hide the stories from the feed.	Ocultar las historias del feed.
Hide the Tako AI feed bubble above the profile button.	Ocultar la burbuja de Tako AI del feed, encima del botón de perfil.
Hide the TikTok Tako assistant conversation.	Ocultar la conversación con el asistente TikTok Tako.
Hide the whole column on the right, from the avatar down to the music disc.	Ocultar toda la columna derecha, desde la foto hasta el disco de música.
Hide this creator locally	Ocultar a este creador en el dispositivo
Hide TikTok Shop	Ocultar TikTok Shop
Hide TikTok Shop posts from the feed.	Ocultar las publicaciones de TikTok Shop en el feed.
Hide TikTok Shop updates and coupon messages.	Ocultar las novedades de TikTok Shop y los mensajes de cupones.
Hide TikTok Tako	Ocultar TikTok Tako
Hide TikTok's exposed quick emoji row in supported comment inputs.	Ocultar la fila de emojis rápidos que TikTok deja a la vista en los campos de comentario compatibles.
Hide verified accounts	Ocultar las cuentas verificadas
Hide video actions	Ocultar las acciones del vídeo
Hide videos carrying TikTok's AI generated label.	Ocultar los vídeos con la etiqueta de generado por IA de TikTok.
Hide videos marked as paid partnership or branded content.	Ocultar los vídeos marcados como colaboración pagada o contenido de marca.
Hide videos posted as part of a playlist.	Ocultar los vídeos publicados dentro de una lista de reproducción.
Hide videos posted by verified accounts.	Ocultar los vídeos publicados por cuentas verificadas.
Hide videos that belong to a paid Series.	Ocultar los vídeos que pertenecen a una Serie de pago.
Hide videos with a lot of views and few likes. Lower numbers are stricter, zero turns the rule off, and one video is kept back if a whole batch would go.	Ocultar los vídeos con muchas visualizaciones y pocos me gusta. Los números más bajos son más estrictos, cero desactiva la regla, y se deja un vídeo si un lote entero se fuera a ir.
Hide videos you have already seen	Ocultar los vídeos que ya has visto
Hide visual search prompt	Ocultar el aviso de búsqueda visual
Highest	La más alta
Historical	Histórico
Historical values	Valores históricos
Hold the feed after the budget	Pausar el feed después del presupuesto
Home	Inicio
Hook status	Comprobación de funciones
How far each edge press moves the video.	Cuánto avanza el vídeo con cada toque en el borde.
Hushfeed cannot read the creator pattern %1$s	Hushfeed no puede leer el patrón de creador %1$s
Hushfeed hid a TikTok puzzle. Turn off Hide CAPTCHA popups if something stops working.	Hushfeed ocultó un rompecabezas de TikTok. Desactiva Ocultar las ventanas de CAPTCHA si algo deja de funcionar.
Ignore the creator's choice so the Duet and Stitch entries appear. Everything else the app checks still applies, and whether the upload is accepted is the server's decision.	Ignorar la decisión del creador para que aparezcan las entradas de Dúo y Unir. Todo lo demás que comprueba la app sigue aplicándose, y que se acepte la subida lo decide el servidor.
Import finished	Importación finalizada
Import loaded values	Importar los valores cargados
Imported %1$d values	%1$d valores importados
Imported %1$d values. Undo last Lab change is in the menu.	%1$d valores importados. Deshacer el último cambio del Lab está en el menú.
Inbox	Bandeja de entrada
Include diagnostic events	Incluir eventos de diagnóstico
Included diagnostics	Diagnóstico incluido
Includes all diagnostic events.	Incluye todos los eventos de diagnóstico.
Includes these events: %1$s	Incluye estos eventos: %1$s
Inserted cards	Tarjetas insertadas
Interface	Interfaz
Invalid SIM preset	Ajuste preestablecido de SIM no válido
Keep a local record of what you have watched and drop those videos from later feed pages.	Guardar en el dispositivo un registro de lo que has visto y quitar esos vídeos de las páginas siguientes del feed.
Keep automatic advance enabled, and show TikTok's own Auto scroll action in the video panel even if your account never had it. Pauses and open dialogs still stop scrolling. Restart TikTok to apply this. Then use this switch to turn it off.	Mantener el avance automático activado y mostrar la acción Desplazamiento automático de TikTok en el panel del vídeo aunque tu cuenta nunca la haya tenido. Las pausas y los diálogos abiertos siguen deteniendo el desplazamiento. Reinicia TikTok para que se aplique. Luego usa este interruptor para desactivarlo.
Keep captions in clear display	Mantener los subtítulos con los controles ocultos
Keep the clock and status icons off the screen while TikTok is open. Swipe down from the top to peek at them.	Mantener el reloj y los iconos de estado fuera de la pantalla mientras TikTok está abierto. Desliza desde arriba para verlos.
Keep the Favorites tab	Mantener la pestaña Favoritos
Keep the screen's refresh rate	Mantener la tasa de refresco de la pantalla
Keep the speed you chose for the next video. Off, each new video starts at 1x and a manual choice lasts for that video only.	Mantiene la velocidad elegida para el siguiente video. Desactivado, cada video nuevo empieza a 1x y una elección manual dura solo ese video.
Keep this string to 4,096 characters or fewer.	Limita esta cadena a 4096 caracteres o menos.
Keep this structured value to 64 KB or less.	Limita este valor estructurado a 64 KB o menos.
Kept to %1$s, the nearest value this row allows	Ajustado a %1$s, el valor más cercano que permite esta fila
Kinds of post	Tipos de publicación
Lab data reset. Undo last Lab change is in the menu. Restart TikTok to apply this.	Datos del Lab restablecidos. Deshacer el último cambio del Lab está en el menú. Reinicia TikTok para que se aplique.
Lab data was over its rule limit, so it was cleared without an undo copy. Restart TikTok to apply this.	Los datos del Lab superaban el límite de reglas, así que se borraron sin una copia para deshacer. Reinicia TikTok para que se aplique.
Lab overrides reset. Undo last Lab change is in the menu. Restart TikTok to apply this.	Sustituciones del Lab restablecidas. Deshacer el último cambio del Lab está en el menú. Reinicia TikTok para que se aplique.
Last original value	Último valor original
Layout	Diseño
Leave maximum empty to keep it unlimited.	Deja el máximo vacío para que no tenga límite.
Leave the sound out of the saved video. Save the sound as well still writes the .m4a beside it if you want both.	Dejar el sonido fuera del vídeo guardado. Guardar también el sonido sigue escribiendo el .m4a al lado si quieres los dos.
Length and views per like	Duración y visualizaciones por me gusta
Less than a minute left	Queda menos de un minuto
Let screenshots, screen recording and Circle to Search work on TikTok again. Restart TikTok to apply this.	Dejar que las capturas de pantalla, la grabación de pantalla y Círculo para buscar vuelvan a funcionar en TikTok. Reinicia TikTok para que se aplique.
Let the Offline videos menu use your own limit instead of TikTok's fixed one. Restart TikTok to apply this.	Dejar que el menú de Vídeos sin conexión use tu propio límite en vez del fijo de TikTok. Reinicia TikTok para que se aplique.
Licenses	Licencias
Limits	Límites
Link copied	Enlace copiado
Links	Enlaces
Links in comments open	Los enlaces de los comentarios se abren
Links, privacy and player tools	Enlaces, privacidad y herramientas del reproductor
Lists	Listas
Live	LIVE
LIVE	LIVE
LIVE replays	Repeticiones de LIVE
Live Settings	Ajustes de Live
LIVE videos	Vídeos LIVE
Loaded current values. Loading all known gates...	Valores actuales cargados. Cargando todos los interruptores conocidos...
Loaded values are still being read. Try again in a moment.	Los valores cargados aún se están leyendo. Inténtalo de nuevo en un momento.
Loaded-value file export failed	Ha fallado la exportación de los valores cargados
Loaded-value file export failed; cleanup also failed	Ha fallado la exportación de los valores cargados y la limpieza también
Loaded-value file is invalid or too large	El archivo de valores cargados no es válido o es demasiado grande
Loading gates...	Cargando los interruptores...
Loading local catalog and current TikTok cache...	Cargando el catálogo local y la caché actual de TikTok...
Locally hidden creators	Creadores ocultos en el dispositivo
Lock today's budget	Bloquear el presupuesto de hoy
Long press	Pulsación larga
Lowest	La más baja
Make TikTok yours.	Haz que TikTok sea tuyo.
Manager	Gestor
Marked as not interested	Marcado como no me interesa
Match locale and timezone to country	Ajustar el idioma y la zona horaria al país
Maximum	Máximo
Maximum post age	Antigüedad máxima de la publicación
Maximum video length	Duración máxima del vídeo
Maximum views per like	Visualizaciones máximas por me gusta
Media	Contenido
Media Config (VE)	Configuración de medios (VE)
Messages, profiles and search still work.	Los mensajes, los perfiles y la búsqueda siguen funcionando.
millisecond	milisegundo
milliseconds	milisegundos
Min/Max comments	Comentarios mín./máx.
Min/Max favorites	Favoritos mín./máx.
Min/Max likes	Me gusta mín./máx.
Min/Max shares	Veces compartido mín./máx.
Min/Max views	Visualizaciones mín./máx.
Minimum	Mínimo
minute	minuto
minutes	minutos
More options	Más opciones
Move down	Mover hacia abajo
Move left	Mover hacia la izquierda
Move right	Mover hacia la derecha
Move up	Mover hacia arriba
ms	ms
Mutes the video behind the comment sheet while you read. Sound comes back when the sheet closes.	Silencia el video detrás de los comentarios mientras lees. El sonido vuelve cuando se cierran.
Nearby	Cerca de ti
Never from these countries	Nunca desde estos países
No	No
No creator to block on this video	No hay creador para bloquear en este video
No creator to hide on this video	No hay creador para ocultar en este video
No creators are hidden yet. Hide one from a video, or add a handle above.	Todavia no hay creadores ocultos. Oculta uno desde un video o agrega un nombre arriba.
No current value	Sin valor actual
No current value and no active override	No hay ningún valor actual ni una sobrescritura activa
No gate data is available. Refresh values from the menu to try again.	No hay datos de los interruptores. Actualiza los valores desde el menú para intentarlo otra vez.
No gate reads were recorded. Use a TikTok feature while recording.	No se registró ninguna lectura de interruptores. Usa una función de TikTok mientras grabas.
No gates match this filter.	Ningún interruptor coincide con este filtro.
No gates match this search and filter.	Ningún interruptor coincide con esta búsqueda y este filtro.
No hidden creators match this search. Clear the search to see them all.	Ningun creador oculto coincide con esta busqueda. Borra la busqueda para verlos todos.
No limit	Sin límite
No matching comments. Try a different word, or clear the search with the X in the box.	No hay comentarios que coincidan. Prueba otra palabra o borra la búsqueda con la X del campo.
No matching countries. Try a country name or a two-letter code.	No hay paises coincidentes. Prueba un nombre de pais o un codigo de dos letras.
No matching diagnostics found.	No se encontraron diagnósticos que coincidan.
No matching settings	Ningún ajuste coincide
No preset selected. Choose a preset above.	No hay preset seleccionado. Elige un preset arriba.
No recording yet. Start one, use a feature, then return here.	Todavía no hay ninguna grabación. Inicia una, usa una función y vuelve aquí.
No share actions have been observed yet	Todavía no se ha visto ninguna acción de compartir
No share actions match this search	Ninguna acción de compartir coincide con esta búsqueda
No sound to block on this video	No hay ningún sonido que bloquear en este vídeo
No suggested accounts to clear	No hay cuentas sugeridas que borrar
No video selected. Open a video first.	No hay video seleccionado. Abre un video primero.
None of these gates had an override to reset.	Ninguno de estos interruptores tenía una sustitución que restablecer.
None of these gates takes a true or false value.	Ninguno de estos interruptores acepta un valor true o false.
None recorded	Nada registrado
Not blocked	Sin bloquear
Not interested in this video	No me interesa este vídeo
Not read yet	Aún sin leer
Not requested in this process yet	Aún no se ha pedido en este proceso
Not saved yet	Sin guardar todavía
Not seen	No vistos
Not seen yet	Aún no visto
Nothing has been checked yet, so there is nothing to report.	Todavía no se ha comprobado nada, así que no hay nada que contar.
Nothing has been looked up yet. Use the app for a moment, then come back.	Todavía no se ha buscado nada. Usa la app un momento y vuelve.
Nothing is playing to seek	No hay nada reproduciéndose que avanzar
Nothing new was imported. %1$d already matched, %2$d unavailable, %3$d rejected.	No se importó nada nuevo. %1$d ya coincidían, %2$d no están disponibles, %3$d se rechazaron.
Nothing new was imported. %1$d already matched, %2$d unavailable, %3$d rejected. First rejection: %4$s	No se importó nada nuevo. %1$d ya coincidían, %2$d no estaban disponibles y %3$d fueron rechazados. Primer rechazo: %4$s
Nothing on this page changes what TikTok does until they are on.	Nada de esta página cambia lo que hace TikTok mientras estén desactivadas.
Nothing to undo yet.	Todavía no hay nada que deshacer.
Notices from this project and the ones it is built on	Avisos de este proyecto y de aquellos en los que se basa
Off	Desactivado
Off forces false; on forces true. Reset returns control to TikTok	Apagado fuerza false y encendido fuerza true. Restablecer devuelve el control a TikTok
Offline videos limit	Límite de vídeos sin conexión
Older overrides were kept disabled. Review their values before enabling them on TikTok %1$s.	Las sustituciones anteriores se han dejado desactivadas. Revisa sus valores antes de activarlas en TikTok %1$s.
On mobile data	Con datos móviles
Once today's budget runs out, the hold stays and cannot be dismissed. The budget settings are locked until the day starts over. Turn this off any time before the budget runs out.	Una vez que se agote el presupuesto de hoy, la pausa se queda y no se puede cerrar. Los ajustes de presupuesto se bloquean hasta que comience el nuevo día. Desactiva esto en cualquier momento antes de que se agote.
One area was checked and everything it needs is here.	Se comprobó un área y está todo lo que necesita.
One minute left	Queda un minuto
One of the quote marks in that list has nothing to close it, so the rest of the line reads as one phrase. Add the missing quote or take the stray one out.	Una de las comillas de esa lista no tiene con qué cerrarse, así que el resto de la línea se lee como una sola frase. Añade la comilla que falta o quita la que sobra.
One value per line	Un valor por línea
Only bottom tabs TikTok has loaded on this device are shown here. This does not force unavailable tabs to appear.	Aquí solo están las pestañas inferiores que TikTok ha cargado en este dispositivo. Esto no hace aparecer las que no están disponibles.
Only enable when recording logs to report an issue. Leaving it on for too long can make TikTok feel laggy and may lead to crashes.	Actívalo solo cuando estés grabando registros para informar de un problema. Dejarlo activado mucho tiempo puede hacer que TikTok vaya lento y provocar fallos.
Only fields that can be type-checked and applied to a copied configuration object are shown.	Solo se muestran los campos cuyo tipo se puede comprobar y aplicar a una copia de la configuración.
Only from these countries	Solo desde estos países
Only internal storage folders are supported	Solo se admiten carpetas del almacenamiento interno
Only tabs TikTok has loaded on this device are shown here. This does not force unavailable tabs to appear.	Aquí solo están las pestañas que TikTok ha cargado en este dispositivo. Esto no hace aparecer las que no están disponibles.
Open a share sheet once, then return here to choose its actions.	Abre una vez el panel de compartir y vuelve aquí para elegir sus acciones.
Open comments	Abrir los comentarios
Open external links directly	Abrir los enlaces externos directamente
Open messages	Abrir los mensajes
Open profile and story website links in your system browser instead of TikTok's in-app browser.	Abrir los enlaces web de perfiles e historias en tu navegador del sistema en vez de en el navegador interno de TikTok.
Open the feed anyway	Abrir el feed de todas formas
Open the feed anyway, %1$d left today	Abrir el feed de todas formas, quedan %1$d hoy
Open the feed anyway, the last time today	Abrir el feed de todas formas, por última vez hoy
Open the profile again and try once more	Abre el perfil otra vez e inténtalo de nuevo
Open the story again and try once more	Abre la historia otra vez e inténtalo de nuevo
Open TikTok home feed to detect loaded tabs.	Abre el feed de inicio de TikTok para detectar las pestañas cargadas.
Open TikTok home to detect loaded bottom tabs.	Abre el inicio de TikTok para detectar las pestañas inferiores cargadas.
Operator MCC/MNC	MCC/MNC del operador
Operator name	Nombre del operador
or	o
Original language	Idioma original
Other	Otros
Other feed filters	Otros filtros del feed
Overridden	Sustituidos
Override	Sustitución
Override set, not read yet	Sustitución fijada, aún sin leer
Override SIM details	Sustituir los datos de la SIM
Override store region (experimental)	Sustituir la región de la tienda (experimental)
Override this configuration	Sustituir esta configuración
Override this gate	Sustituir este interruptor
Overrides are disabled in the Feature Gate Lab.	Las sustituciones están desactivadas en el Laboratorio de interruptores.
Overrides disabled. Restart TikTok to apply this.	Sustituciones desactivadas. Reinicia TikTok para que se aplique.
Overrides enabled. Restart TikTok to apply this.	Sustituciones activadas. Reinicia TikTok para que se aplique.
Paid partnerships	Colaboraciones pagadas
People, shortcuts and sending controls	Personas, atajos y controles de envío
Photo	Foto
Photo and image posts	Publicaciones de fotos e imágenes
Photo destination	Destino de las fotos
Photo filename	Nombre de archivo de la foto
Play videos TikTok has classified without the overlay asking to be tapped through first.	Reproducir los vídeos que TikTok ha clasificado sin la capa que pide tocar para pasar.
Playback	Reproducción
Player	Reproductor
Player Config	Configuración del reproductor
Playlist posts	Publicaciones de listas de reproducción
point	punto
points	puntos
Popular	Popular
Press and hold a profile picture to save the full size original to your photo destination.	Mantén pulsada una foto de perfil para guardar el original a tamaño completo en tu destino de fotos.
Press and hold a story to save it. Stories have no save button of their own, and holding one is how TikTok pauses it, so this takes that gesture over.	Mantén pulsada una historia para guardarla. Las historias no tienen botón de guardar propio, y mantenerlas pulsadas es como TikTok las pausa, así que esto se queda con ese gesto.
Press and hold the left or right third of the screen to jump back or forward. The middle third keeps the Long press action.	Mantén pulsado el tercio izquierdo o derecho de la pantalla para saltar atrás o adelante. El tercio central mantiene la acción de Pulsación larga.
Preview shortened. Save JSON includes the full report.	Vista previa recortada. Guardar JSON incluye el informe completo.
Privacy	Privacidad
Profile	Perfil
Profile picture saved to %1$s	Foto de perfil guardada en %1$s
Promotional music	Música promocional
Proof	Prueba
Publication age	Antigüedad de la publicación
Put a box above the comments that narrows them to the ones matching what you type, by what they say or who said it. Clearing the box brings the rest back.	Poner encima de los comentarios un campo que los reduce a los que coinciden con lo que escribes, por lo que dicen o por quién lo dijo. Al vaciar el campo vuelven los demás.
Putting the settings back to their defaults	Devolviendo los ajustes a sus valores de fábrica
Quality	Calidad
Quality, files, subtitles and hand-off	Calidad, archivos, subtítulos y traspaso
Quality, speed and automatic advance	Calidad, velocidad y avance automático
Quieten the feed while comments are open	Silenciar el feed mientras los comentarios están abiertos
Recorded gate reads (%1$d)	Lecturas de interruptores registradas (%1$d)
Recording gate reads. Use a feature, then return here to stop.	Registrando las lecturas de los interruptores. Usa una función y vuelve aquí para parar.
Recover the settings saved before the last restore or reset.	Recuperar los ajustes guardados antes de la última restauración o reinicio.
Recovered an interrupted settings change. Restart TikTok to apply this.	Se recuperó un cambio de ajustes interrumpido. Reinicia TikTok para que se aplique.
Refresh values	Actualizar los valores
Refreshing current TikTok cache...	Actualizando la caché actual de TikTok...
Region rules	Reglas de la región
Region settings	Ajustes de región
Remember the last speed	Recordar la última velocidad
Remind me every	Recordármelo cada
Remove	Quitar
Remove %1$s	Quitar %1$s
Remove all overrides	Quitar todas las sustituciones
Remove feed ads	Quitar los anuncios del feed
Remove feed ads, including videos with a creator commission disclosure.	Quita los anuncios del feed, incluidos los vídeos con un aviso de comisión para creadores.
Remove polls from the comments before TikTok shows them.	Elimina las encuestas de los comentarios antes de que TikTok las muestre.
Remove the actions row from the share sheet.	Quitar la fila de acciones del panel de compartir.
Remove the row of friends from the top of the share sheet.	Quitar la fila de amigos de la parte de arriba del panel de compartir.
Remove the Share via row.	Quitar la fila Compartir con.
Remove tracking parameters from shared links.	Quitar los parámetros de seguimiento de los enlaces compartidos.
Remove watermark	Quitar la marca de agua
Removed %1$s	Se quitó %1$s
Replace values when TikTok asks for them	Reemplazar valores cuando TikTok los pide
Report saved to %1$s	Informe guardado en %1$s
Required	Obligatorio
Researched	Investigado
Researched values	Valores investigados
Reset	Restablecer
Reset %1$d gates of %2$d. Restart TikTok to apply this.	%1$d interruptores de %2$d restablecidos. Reinicia TikTok para aplicar esto.
Reset %1$d gates. Restart TikTok to apply this.	%1$d interruptores restablecidos. Reinicia TikTok para aplicar esto.
Reset 1 gate of %1$d. Restart TikTok to apply this.	1 interruptor de %1$d restablecido. Reinicia TikTok para aplicar esto.
Reset 1 gate. Restart TikTok to apply this.	1 interruptor restablecido. Reinicia TikTok para aplicar esto.
Reset override	Restablecer la sustitución
Reset position	Restablecer la posición
Reset settings	Reiniciar los ajustes
Restart pending	Reinicio pendiente
Restart TikTok to apply %1$d changes	Reinicia TikTok para aplicar %1$d cambios
Restart TikTok to apply this change	Reinicia TikTok para aplicar este cambio
Restart TikTok to apply this.	Reinicia TikTok para que se aplique.
Restore defaults immediately. Your current settings are kept for Undo.	Restaurar los valores de fábrica ahora mismo. Tus ajustes actuales se guardan para Deshacer.
Restore failed. Some settings may still be changed.	La restauración falló. Puede que algunos ajustes hayan cambiado igualmente.
Restore failed. Some settings may still be changed. Use Undo to recover.	La restauración falló. Puede que algunos ajustes hayan cambiado igualmente. Usa Deshacer para recuperarlos.
Restore settings	Restaurar los ajustes
Restored the previous Lab settings. Restart TikTok to apply this.	Se restauraron los ajustes anteriores del Lab. Reinicia TikTok para que se aplique.
Restoring your settings	Restaurando tus ajustes
Resume videos after scrolling	Continuar los vídeos después de desplazarte
Retry	Reintentar
Return a copied object with the selected fields changed	Devolver un objeto copiado con los campos seleccionados cambiados
Return after using a TikTok feature to see every gate read during the recording.	Vuelve después de usar una función de TikTok para ver cada lectura de interruptor durante la grabación.
Returns %1$s	Devuelve %1$s
Rows	Filas
s	s
Sanitize sharing links	Limpiar los enlaces al compartir
Save	Guardar
Save a profile picture on a long press	Guardar una foto de perfil con una pulsación larga
Save a story on a long press	Guardar una historia con una pulsación larga
Save every photo in the post directly from its source URL, without rendering it again.	Guardar cada foto de la publicación directamente desde su URL de origen, sin volver a renderizarla.
Save field values	Guardar los valores de los campos
Save full report	Guardar informe completo
Save JSON	Guardar JSON
Save media	Guardar el contenido
Save patch settings and Feature Gate Lab rules to a JSON file.	Guardar los ajustes de los parches y las reglas del Laboratorio de interruptores en un archivo JSON.
Save SRT files with the video. Paired saves use Movies on Android 11+, Download on Android 10, and your video folder on older versions.	Guardar los archivos SRT junto al vídeo. Los guardados emparejados usan Movies en Android 11 y superior, Download en Android 10, y tu carpeta de vídeos en versiones anteriores.
Save subtitles beside videos	Guardar los subtítulos junto a los vídeos
Save the latest available TikTok crash report for diagnostic export.	Guardar el último informe de fallo de TikTok disponible para exportarlo con el diagnóstico.
Save the original sound	Guardar el sonido original
Save the sound as well	Guardar también el sonido
Save videos without sound	Guardar los vídeos sin sonido
